BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-0.258588,-0.258588,0
2,-0.304097,-0.281343,0.0160897
3,-0.315438,-0.292708,0.0141834
4,-0.327968,-0.301523,0.0130934
5,-0.365343,-0.314287,0.0154937
6,-0.404253,-0.329281,0.0188166
7,-0.351693,-0.332483,0.0163986
8,-0.40487,-0.341531,0.0166592
9,-0.425575,-0.35087,0.0172277
10,-0.370575,-0.35284,0.0156172
11,-0.358429,-0.353348,0.0142058
12,-0.364578,-0.354284,0.0130527
13,-0.37848,-0.356145,0.0121807
14,-0.343239,-0.355223,0.0113454
15,-0.350161,-0.354886,0.0105941
16,-0.325008,-0.353019,0.0100952
17,-0.362411,-0.353571,0.00951647
18,-0.424608,-0.357518,0.00977189
19,-0.394562,-0.359467,0.00945008
20,-0.406545,-0.361821,0.0092661
21,-0.365128,-0.361979,0.0088262
22,-0.396036,-0.363527,0.00855969
23,-0.371828,-0.363888,0.00819514
24,-0.284332,-0.360573,0.00849767
25,-0.353503,-0.36029,0.00816247
26,-0.397897,-0.361736,0.00797565
27,-0.38348,-0.362542,0.00772081
28,-0.487405,-0.367001,0.00863741
29,-0.517295,-0.372184,0.00977144
30,-0.427317,-0.374021,0.00961699
31,-0.440599,-0.376169,0.00954356
32,-0.45967,-0.378778,0.00959543
33,-0.427444,-0.380253,0.0094173
34,-0.398722,-0.380796,0.00915597
35,-0.41434,-0.381755,0.00894439
36,-0.460901,-0.383953,0.00896206
37,-0.467591,-0.386214,0.00900041
38,-0.472321,-0.38848,0.0090443
39,-0.538639,-0.39233,0.00959701
40,-0.502106,-0.395074,0.00974158
41,-0.469138,-0.396881,0.00967002
42,-0.455026,-0.398265,0.00953837
43,-0.427706,-0.39895,0.00934109
44,-0.320104,-0.397158,0.00929908
45,-0.34871,-0.396081,0.00915455
46,-0.336049,-0.394776,0.00904808
47,-0.365793,-0.39416,0.00887656
48,-0.386571,-0.394002,0.00869304
49,-0.373333,-0.39358,0.00852585
50,-0.318044,-0.392069,0.00848813
51,-0.428387,-0.392781,0.00835151
52,-0.43455,-0.393584,0.00822944
53,-0.371568,-0.393169,0.00808465
54,-0.371099,-0.39276,0.00794525
55,-0.350137,-0.391985,0.0078385
56,-0.351018,-0.391254,0.00773259
57,-0.478055,-0.392777,0.00774543
58,-0.433436,-0.393478,0.00764354
59,-0.414205,-0.393829,0.00752206
60,-0.424676,-0.394343,0.00741424
61,-0.422647,-0.394807,0.0073072
62,-0.401352,-0.394913,0.00719011
63,-0.465442,-0.396032,0.0071626
64,-0.499041,-0.397642,0.00722926
65,-0.482265,-0.398944,0.00723432
66,-0.443403,-0.399617,0.007156
67,-0.493559,-0.401019,0.00718525
68,-0.462436,-0.401922,0.00713612
69,-0.446632,-0.40257,0.00706206
70,-0.466902,-0.403489,0.00702071
71,-0.416732,-0.403676,0.00692431
72,-0.509131,-0.405141,0.00698132
73,-0.441339,-0.405636,0.00690328
74,-0.374502,-0.405216,0.0068228
75,-0.435928,-0.405625,0.0067441
76,-0.456867,-0.406299,0.00668898
77,-0.411858,-0.406372,0.0066025
78,-0.432072,-0.406701,0.00652607
79,-0.434698,-0.407056,0.00645308
80,-0.376073,-0.406668,0.00638403
81,-0.385719,-0.40641,0.00631045
82,-0.390727,-0.406218,0.00623639
83,-0.399158,-0.406133,0.00616183
84,-0.455452,-0.40672,0.00611638
85,-0.419559,-0.406871,0.00604629
86,-0.452906,-0.407407,0.00599963
87,-0.393191,-0.407243,0.0059329
88,-0.493013,-0.408218,0.005945
89,-0.503206,-0.409285,0.00597323
90,-0.406815,-0.409258,0.00590693
91,-0.374442,-0.408875,0.00585439
92,-0.362927,-0.408376,0.00581202
93,-0.394301,-0.408224,0.0057515
94,-0.391856,-0.40805,0.00569295
95,-0.377745,-0.407731,0.00564195
96,-0.443723,-0.408106,0.00559562
97,-0.476669,-0.408813,0.0055824
98,-0.419126,-0.408918,0.00552643
99,-0.368413,-0.408509,0.00548573
100,-0.38008,-0.408225,0.00543824
101,-0.31381,-0.40729,0.00546415
102,-0.375488,-0.406978,0.00541946
103,-0.288187,-0.405825,0.00548819
104,-0.402485,-0.405793,0.00543552
105,-0.378564,-0.405534,0.00538993
106,-0.390117,-0.405388,0.00534104
107,-0.386227,-0.405209,0.00529413
108,-0.371507,-0.404897,0.0052543
109,-0.333326,-0.40424,0.00524696
110,-0.420029,-0.404384,0.00520123
111,-0.37093,-0.404082,0.00516309
112,-0.411132,-0.404145,0.00511738
113,-0.421,-0.404295,0.00507426
114,-0.435379,-0.404567,0.00503707
115,-0.44039,-0.404879,0.00500289
116,-0.477542,-0.405505,0.00499883
117,-0.407203,-0.40552,0.00495612
118,-0.423546,-0.405672,0.00491648
119,-0.428329,-0.405863,0.00487885
120,-0.36043,-0.405484,0.00485286
121,-0.333619,-0.40489,0.00484896
122,-0.357361,-0.404501,0.00482484
123,-0.392134,-0.4044,0.00478666
124,-0.360406,-0.404045,0.00476119
125,-0.321585,-0.403386,0.00476858
126,-0.341191,-0.402892,0.00475622
127,-0.392548,-0.402811,0.00471946
128,-0.422873,-0.402967,0.00468519
129,-0.510024,-0.403797,0.0047218
130,-0.456312,-0.404201,0.00470273
131,-0.46241,-0.404646,0.00468778
132,-0.382694,-0.404479,0.00465521
133,-0.368417,-0.404208,0.0046281
134,-0.396775,-0.404153,0.00459389
135,-0.415543,-0.404237,0.00456064
136,-0.440557,-0.404504,0.00453492
137,-0.442686,-0.404783,0.00451037
138,-0.422466,-0.404911,0.00447951
139,-0.446517,-0.40521,0.00445727
140,-0.391452,-0.405112,0.00442652
141,-0.401171,-0.405084,0.00439521
142,-0.408223,-0.405106,0.00436431
143,-0.433511,-0.405305,0.00433831
144,-0.437192,-0.405526,0.00431383
145,-0.444409,-0.405794,0.00429241
146,-0.439161,-0.406023,0.00426909
147,-0.413479,-0.406074,0.00424035
148,-0.403183,-0.406054,0.00421174
149,-0.367718,-0.405797,0.00419133
150,-0.382195,-0.405639,0.00416634
151,-0.469554,-0.406063,0.00416019
152,-0.46207,-0.406431,0.00414911
153,-0.493216,-0.406998,0.00416058
154,-0.470481,-0.407411,0.00415393
155,-0.475466,-0.40785,0.00415027
156,-0.461355,-0.408193,0.00413782
157,-0.458158,-0.408511,0.00412368
158,-0.463491,-0.408859,0.00411224
159,-0.42974,-0.40899,0.00408847
160,-0.463377,-0.40933,0.00407703
161,-0.485301,-0.409802,0.00407892
162,-0.485071,-0.410267,0.00408012
163,-0.427514,-0.410372,0.00405646
164,-0.428476,-0.410483,0.00403322
165,-0.436902,-0.410643,0.00401196
166,-0.443551,-0.410841,0.00399268
167,-0.314511,-0.410264,0.00401023
168,-0.383314,-0.410104,0.00398956
169,-0.399849,-0.410043,0.00396642
170,-0.380152,-0.409867,0.00394698
171,-0.372825,-0.409651,0.00392984
172,-0.389908,-0.409536,0.00390867
