BLOCK,ACTUAL_P,P_AVE,ERROR
1,-0.0230753,-0.0230753,0
2,-0.0158273,-0.0194513,0.00256253
3,-0.0113274,-0.0167434,0.00279413
4,-0.00934443,-0.0148936,0.00263774
5,-0.00615657,-0.0131462,0.00262596
6,-0.00084934,-0.0110967,0.00287905
7,0.00229231,-0.00918401,0.00303738
8,0.00383316,-0.00755687,0.00306269
9,0.00698491,-0.00594111,0.00311962
10,0.0107485,-0.00427215,0.00322332
11,0.0121459,-0.0027796,0.00325758
12,0.0153392,-0.0012697,0.00331763
13,0.0143556,-6.7754e-05,0.00327292
14,0.0137533,0.000919464,0.00318455
15,0.0118333,0.00164705,0.00305424
16,0.0101768,0.00218017,0.0029095
17,0.0116944,0.00273982,0.00279166
18,0.0129098,0.00330482,0.00269314
19,0.0132871,0.00383021,0.00260213
20,0.0151467,0.00439603,0.0025328
21,0.0129504,0.00480338,0.00244473
22,0.0115133,0.00510838,0.00235255
23,0.0151832,0.00554641,0.00229068
24,0.0143845,0.00591467,0.00222464
25,0.010433,0.0060954,0.00214299
26,0.0134971,0.00638008,0.00207939
27,0.0148477,0.0066937,0.00202588
28,0.0171155,0.0070659,0.00198743
29,0.0142067,0.00731214,0.00193409
30,0.0167051,0.00762523,0.00189479
31,0.0173063,0.00793753,0.00185923
32,0.0216749,0.00836682,0.00185003
33,0.0194067,0.00870136,0.00182396
34,0.0184335,0.0089876,0.00179264
35,0.0195639,0.00928978,0.0017667
36,0.0277071,0.00980138,0.00179017
37,0.0253901,0.0102227,0.00179068
38,0.0234834,0.0105717,0.00177723
39,0.0219501,0.0108634,0.00175545
40,0.0197966,0.0110867,0.00172571
41,0.0209592,0.0113275,0.00170033
42,0.0193094,0.0115176,0.00167044
43,0.0206471,0.0117299,0.00164503
44,0.0221826,0.0119675,0.0016247
45,0.0233295,0.01222,0.0016081
46,0.0234229,0.0124635,0.00159147
47,0.0261911,0.0127556,0.00158419
48,0.0315975,0.0131481,0.00159908
49,0.0293814,0.0134794,0.00160039
50,0.0258606,0.013727,0.00158743
51,0.0275032,0.0139971,0.00157912
52,0.0317967,0.0143394,0.00158541
53,0.0284018,0.0146048,0.00157755
54,0.030113,0.014892,0.00157426
55,0.0304706,0.0151752,0.00157091
56,0.0319806,0.0154753,0.00157126
57,0.0341963,0.0158037,0.00157765
58,0.0305327,0.0160577,0.00157075
59,0.0284396,0.0162676,0.00155808
60,0.029171,0.0164826,0.00154689
61,0.0314759,0.0167284,0.00154093
62,0.0283216,0.0169154,0.00152738
63,0.0284367,0.0170983,0.00151405
64,0.0276926,0.0172638,0.00149941
65,0.0284444,0.0174358,0.00148618
66,0.0248409,0.017548,0.00146789
67,0.0245174,0.017652,0.00144966
68,0.0230626,0.0177316,0.00143052
69,0.0246874,0.0178324,0.00141334
70,0.0225157,0.0178993,0.00139473
71,0.0221288,0.0179589,0.00137636
72,0.0213869,0.0180065,0.00135807
73,0.0215989,0.0180557,0.00134035
74,0.0237251,0.0181323,0.00132443
75,0.0244597,0.0182167,0.00130945
76,0.0244871,0.0182992,0.00129482
77,0.0257293,0.0183957,0.0012816
78,0.0286814,0.0185276,0.00127193
79,0.0257516,0.018619,0.00125911
80,0.024298,0.01869,0.00124537
81,0.0262735,0.0187836,0.00123351
82,0.0256016,0.0188668,0.00122127
83,0.0233516,0.0189208,0.00120775
84,0.0190977,0.0189229,0.00119337
85,0.0188675,0.0189222,0.00117933
86,0.0197838,0.0189323,0.00116566
87,0.0243104,0.0189941,0.0011539
88,0.0264066,0.0190783,0.00114386
89,0.0242207,0.0191361,0.00113247
90,0.0206551,0.019153,0.00112001
91,0.0252141,0.0192196,0.00110968
92,0.0249855,0.0192822,0.00109939
93,0.0241639,0.0193347,0.00108882
94,0.0277354,0.0194241,0.0010809
95,0.0287556,0.0195223,0.00107397
96,0.0326007,0.0196586,0.00107139
97,0.0292101,0.019757,0.00106486
98,0.0292685,0.0198541,0.00105841
99,0.0292612,0.0199491,0.00105197
100,0.0318463,0.0200681,0.00104816
101,0.0306374,0.0201727,0.00104299
102,0.0332526,0.020301,0.00104062
103,0.0314303,0.020409,0.00103611
104,0.0347396,0.0205468,0.00103527
105,0.0297972,0.0206349,0.00102915
106,0.0308167,0.020731,0.00102392
107,0.0303376,0.0208207,0.00101828
108,0.0295968,0.020902,0.00101209
109,0.0301103,0.0209865,0.00100632
110,0.033282,0.0210983,0.00100336
111,0.0320598,0.021197,0.000999169
112,0.0327622,0.0213003,0.00099557
113,0.0311528,0.0213875,0.00099057
114,0.0333616,0.0214925,0.000987434
115,0.0343994,0.0216047,0.000985205
116,0.033267,0.0217053,0.000981828
117,0.0329526,0.0218014,0.000978132
118,0.0331835,0.0218979,0.000974587
119,0.0314109,0.0219778,0.00096967
120,0.0330818,0.0220703,0.000965995
121,0.0284892,0.0221234,0.000959467
122,0.0333509,0.0222154,0.000956006
123,0.0303648,0.0222817,0.000950526
124,0.0310039,0.022352,0.00094546
125,0.0281523,0.0223984,0.000939034
126,0.0308931,0.0224658,0.000933998
127,0.0317963,0.0225393,0.000929529
128,0.0302868,0.0225998,0.000924236
129,0.0272889,0.0226362,0.000917786
130,0.0297076,0.0226906,0.000912336
131,0.0282203,0.0227328,0.000906348
132,0.030299,0.0227901,0.000901292
133,0.0294697,0.0228403,0.000895914
134,0.0324479,0.022912,0.000892092
135,0.0335935,0.0229911,0.000888986
136,0.0347262,0.0230774,0.000886627
137,0.033369,0.0231526,0.000883332
138,0.0317365,0.0232148,0.000879118
139,0.0326803,0.0232829,0.000875427
140,0.027962,0.0233163,0.000869812
141,0.0294806,0.02336,0.000864741
142,0.0276762,0.0233904,0.000859185
143,0.0284197,0.0234256,0.000853897
144,0.0275836,0.0234544,0.000848455
145,0.0287985,0.0234913,0.000843404
146,0.0293252,0.0235313,0.000838573
