BLOCK,ACTUAL_T,T_AVE,ERROR
1,1.200000e+00,1.200000e+00,0.000000e+00
2,1.200000e+00,1.200000e+00,0.000000e+00
3,1.200000e+00,1.200000e+00,0.000000e+00
4,1.200000e+00,1.200000e+00,0.000000e+00
5,1.200000e+00,1.200000e+00,0.000000e+00
6,1.200000e+00,1.200000e+00,0.000000e+00
7,1.200000e+00,1.200000e+00,0.000000e+00
8,1.200000e+00,1.200000e+00,0.000000e+00
9,1.200000e+00,1.200000e+00,0.000000e+00
10,1.200000e+00,1.200000e+00,0.000000e+00
11,1.200000e+00,1.200000e+00,0.000000e+00
12,1.200000e+00,1.200000e+00,0.000000e+00
13,1.200000e+00,1.200000e+00,0.000000e+00
14,1.200000e+00,1.200000e+00,0.000000e+00
15,1.200000e+00,1.200000e+00,0.000000e+00
16,1.200000e+00,1.200000e+00,0.000000e+00
17,1.200000e+00,1.200000e+00,0.000000e+00
18,1.200000e+00,1.200000e+00,0.000000e+00
19,1.200000e+00,1.200000e+00,0.000000e+00
20,1.200000e+00,1.200000e+00,0.000000e+00
21,1.200000e+00,1.200000e+00,0.000000e+00
22,1.200000e+00,1.200000e+00,0.000000e+00
23,1.200000e+00,1.200000e+00,0.000000e+00
24,1.200000e+00,1.200000e+00,0.000000e+00
25,1.200000e+00,1.200000e+00,0.000000e+00
26,1.200000e+00,1.200000e+00,0.000000e+00
27,1.200000e+00,1.200000e+00,0.000000e+00
28,1.200000e+00,1.200000e+00,0.000000e+00
29,1.200000e+00,1.200000e+00,3.913237e-09
30,1.200000e+00,1.200000e+00,3.847463e-09
31,1.200000e+00,1.200000e+00,5.984450e-09
32,1.200000e+00,1.200000e+00,5.890201e-09
33,1.200000e+00,1.200000e+00,5.800269e-09
34,1.200000e+00,1.200000e+00,6.761292e-09
35,1.200000e+00,1.200000e+00,6.664002e-09
36,1.200000e+00,1.200000e+00,6.570794e-09
37,1.200000e+00,1.200000e+00,7.349207e-09
38,1.200000e+00,1.200000e+00,7.251863e-09
39,1.200000e+00,1.200000e+00,7.158286e-09
40,1.200000e+00,1.200000e+00,8.161702e-09
41,1.200000e+00,1.200000e+00,8.061555e-09
42,1.200000e+00,1.200000e+00,7.965006e-09
43,1.200000e+00,1.200000e+00,7.871845e-09
44,1.200000e+00,1.200000e+00,8.405389e-09
45,1.200000e+00,1.200000e+00,8.311471e-09
46,1.200000e+00,1.200000e+00,8.220632e-09
47,1.200000e+00,1.200000e+00,8.132708e-09
48,1.200000e+00,1.200000e+00,8.047547e-09
49,1.200000e+00,1.200000e+00,8.777009e-09
50,1.200000e+00,1.200000e+00,8.688795e-09
51,1.200000e+00,1.200000e+00,8.603189e-09
52,1.200000e+00,1.200000e+00,8.520065e-09
53,1.200000e+00,1.200000e+00,8.439304e-09
54,1.200000e+00,1.200000e+00,8.360797e-09
55,1.200000e+00,1.200000e+00,7.518008e-09
56,1.200000e+00,1.200000e+00,7.450581e-09
57,1.200000e+00,1.200000e+00,6.837122e-09
58,1.200000e+00,1.200000e+00,6.777925e-09
59,1.200000e+00,1.200000e+00,6.720239e-09
60,1.200000e+00,1.200000e+00,5.771195e-09
61,1.200000e+00,1.200000e+00,5.723695e-09
62,1.200000e+00,1.200000e+00,5.677348e-09
63,1.200000e+00,1.200000e+00,4.967054e-09
64,1.200000e+00,1.200000e+00,4.928096e-09
65,1.200000e+00,1.200000e+00,4.890040e-09
66,1.200000e+00,1.200000e+00,4.101410e-09
67,1.200000e+00,1.200000e+00,4.070687e-09
68,1.200000e+00,1.200000e+00,4.040645e-09
69,1.200000e+00,1.200000e+00,4.011258e-09
70,1.200000e+00,1.200000e+00,2.518756e-09
71,1.200000e+00,1.200000e+00,2.500955e-09
72,1.200000e+00,1.200000e+00,2.483527e-09
73,1.200000e+00,1.200000e+00,2.466458e-09
74,1.200000e+00,1.200000e+00,0.000000e+00
75,1.200000e+00,1.200000e+00,0.000000e+00
76,1.200000e+00,1.200000e+00,0.000000e+00
77,1.200000e+00,1.200000e+00,0.000000e+00
78,1.200000e+00,1.200000e+00,2.922358e-09
79,1.200000e+00,1.200000e+00,2.903803e-09
80,1.200000e+00,1.200000e+00,2.885597e-09
81,1.200000e+00,1.200000e+00,2.867730e-09
82,1.200000e+00,1.200000e+00,2.850190e-09
83,1.200000e+00,1.200000e+00,3.657346e-09
84,1.200000e+00,1.200000e+00,3.635511e-09
85,1.200000e+00,1.200000e+00,3.614062e-09
86,1.200000e+00,1.200000e+00,3.592989e-09
87,1.200000e+00,1.200000e+00,3.572280e-09
88,1.200000e+00,1.200000e+00,3.551925e-09
89,1.200000e+00,1.200000e+00,4.179017e-09
90,1.200000e+00,1.200000e+00,4.155735e-09
91,1.200000e+00,1.200000e+00,4.132839e-09
92,1.200000e+00,1.200000e+00,4.110316e-09
93,1.200000e+00,1.200000e+00,4.088158e-09
94,1.200000e+00,1.200000e+00,4.066354e-09
95,1.200000e+00,1.200000e+00,4.834575e-09
96,1.200000e+00,1.200000e+00,4.809329e-09
97,1.200000e+00,1.200000e+00,4.784475e-09
98,1.200000e+00,1.200000e+00,4.760001e-09
99,1.200000e+00,1.200000e+00,4.735900e-09
100,1.200000e+00,1.200000e+00,4.712161e-09
101,1.200000e+00,1.200000e+00,4.688775e-09
102,1.200000e+00,1.200000e+00,4.665735e-09
103,1.200000e+00,1.200000e+00,5.086185e-09
104,1.200000e+00,1.200000e+00,5.061673e-09
105,1.200000e+00,1.200000e+00,5.037512e-09
106,1.200000e+00,1.200000e+00,5.013694e-09
107,1.200000e+00,1.200000e+00,4.555418e-09
108,1.200000e+00,1.200000e+00,4.534279e-09
109,1.200000e+00,1.200000e+00,3.776208e-09
110,1.200000e+00,1.200000e+00,3.759004e-09
111,1.200000e+00,1.200000e+00,3.742033e-09
112,1.200000e+00,1.200000e+00,3.148445e-09
113,1.200000e+00,1.200000e+00,3.134483e-09
114,1.200000e+00,1.200000e+00,2.417288e-09
115,1.200000e+00,1.200000e+00,2.406755e-09
116,1.200000e+00,1.200000e+00,0.000000e+00
117,1.200000e+00,1.200000e+00,0.000000e+00
118,1.200000e+00,1.200000e+00,0.000000e+00
119,1.200000e+00,1.200000e+00,1.931798e-09
120,1.200000e+00,1.200000e+00,1.923732e-09
121,1.200000e+00,1.200000e+00,3.029092e-09
