BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.8,1.8,0
2,1.8,1.8,0
3,1.8,1.8,0
4,1.8,1.8,0
5,1.8,1.8,1.63234e-08
6,1.8,1.8,0
7,1.8,1.8,0
8,1.8,1.8,0
9,1.8,1.8,0
10,1.8,1.8,1.15424e-08
11,1.8,1.8,8.98574e-09
12,1.8,1.8,1.21667e-08
13,1.8,1.8,1.16894e-08
14,1.8,1.8,1.12642e-08
15,1.8,1.8,1.21667e-08
16,1.8,1.8,1.17804e-08
17,1.8,1.8,1.14287e-08
18,1.8,1.8,1.11067e-08
19,1.8,1.8,1.27911e-08
20,1.8,1.8,1.3328e-08
21,1.8,1.8,1.30068e-08
22,1.8,1.8,1.1887e-08
23,1.8,1.8,1.16257e-08
24,1.8,1.8,1.13809e-08
25,1.8,1.8,1.1151e-08
26,1.8,1.8,1.23985e-08
27,1.8,1.8,1.21667e-08
28,1.8,1.8,1.19475e-08
29,1.8,1.8,1.17397e-08
30,1.8,1.8,1.15424e-08
31,1.8,1.8,1.13547e-08
32,1.8,1.8,1.11759e-08
33,1.8,1.8,1.10052e-08
34,1.8,1.8,1.08422e-08
35,1.8,1.8,1.06862e-08
36,1.8,1.8,1.05367e-08
37,1.8,1.8,1.03933e-08
38,1.8,1.8,1.02557e-08
39,1.8,1.8,1.01233e-08
40,1.8,1.8,1.05367e-08
41,1.8,1.8,1.04074e-08
42,1.8,1.8,1.07847e-08
43,1.8,1.8,1.20244e-08
44,1.8,1.8,1.1887e-08
45,1.8,1.8,1.21667e-08
46,1.8,1.8,1.24284e-08
47,1.8,1.8,1.22955e-08
48,1.8,1.8,1.25412e-08
49,1.8,1.8,1.24126e-08
50,1.8,1.8,1.26441e-08
51,1.8,1.8,1.25195e-08
52,1.8,1.8,1.27383e-08
53,1.8,1.8,1.26175e-08
54,1.8,1.8,1.25001e-08
55,1.8,1.8,1.27078e-08
56,1.8,1.8,1.25938e-08
57,1.8,1.8,1.27911e-08
58,1.8,1.8,1.26803e-08
59,1.8,1.8,1.25724e-08
60,1.8,1.8,1.27606e-08
61,1.8,1.8,1.26556e-08
62,1.8,1.8,1.25531e-08
63,1.8,1.8,1.27329e-08
64,1.8,1.8,1.26331e-08
65,1.8,1.8,1.25355e-08
66,1.8,1.8,1.27078e-08
67,1.8,1.8,1.26126e-08
68,1.8,1.8,1.25195e-08
69,1.8,1.8,1.24284e-08
70,1.8,1.8,1.25938e-08
71,1.8,1.8,1.25048e-08
72,1.8,1.8,1.19106e-08
73,1.8,1.8,1.13027e-08
74,1.8,1.8,1.14903e-08
75,1.8,1.8,1.08823e-08
76,1.8,1.8,1.05367e-08
77,1.8,1.8,9.9018e-09
78,1.8,1.8,9.24131e-09
79,1.8,1.8,9.48378e-09
80,1.8,1.8,8.49497e-09
81,1.8,1.8,7.76585e-09
