BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-0.380978,-0.380978,0
2,-0.408173,-0.394575,0.00961473
3,-0.451244,-0.413465,0.0167022
4,-0.494758,-0.433788,0.0216031
5,-0.496685,-0.446368,0.0206222
6,-0.402627,-0.439078,0.0184287
7,-0.500971,-0.447919,0.0177911
8,-0.434148,-0.446198,0.0156503
9,-0.431858,-0.444605,0.0139922
10,-0.326834,-0.432828,0.0168349
11,-0.430824,-0.432645,0.0153055
12,-0.445543,-0.43372,0.0140677
13,-0.375359,-0.429231,0.0136831
14,-0.354992,-0.423928,0.0136948
15,-0.379317,-0.420954,0.0131008
16,-0.397137,-0.419465,0.0123662
17,-0.400907,-0.418374,0.0116869
18,-0.398769,-0.417285,0.0110883
19,-0.502771,-0.421784,0.011381
20,-0.39576,-0.420483,0.010886
21,-0.405293,-0.419759,0.0103917
22,-0.447446,-0.421018,0.00999523
23,-0.404229,-0.420288,0.00958727
24,-0.478923,-0.422731,0.00949399
25,-0.449547,-0.423804,0.00917463
26,-0.417021,-0.423543,0.00882547
27,-0.463692,-0.42503,0.00862296
28,-0.513053,-0.428174,0.00886955
29,-0.435932,-0.428441,0.00856774
30,-0.404445,-0.427641,0.0083194
31,-0.413463,-0.427184,0.00806359
32,-0.356264,-0.424968,0.00811045
33,-0.407498,-0.424438,0.00788194
34,-0.377363,-0.423054,0.00777077
35,-0.421038,-0.422996,0.00754896
36,-0.425647,-0.42307,0.00733963
37,-0.4166,-0.422895,0.00714334
38,-0.408621,-0.422519,0.00696523
39,-0.407569,-0.422136,0.00679717
40,-0.462755,-0.423151,0.00670267
41,-0.437377,-0.423498,0.00654816
42,-0.41216,-0.423228,0.00639782
43,-0.372764,-0.422055,0.00635576
44,-0.396852,-0.421482,0.00623706
45,-0.375448,-0.420459,0.00618179
46,-0.34028,-0.418716,0.00628833
47,-0.361459,-0.417498,0.00627143
48,-0.381219,-0.416742,0.00618616
49,-0.407634,-0.416556,0.0060627
50,-0.481719,-0.417859,0.00607991
51,-0.404924,-0.417606,0.00596598
52,-0.45751,-0.418373,0.0059004
53,-0.517883,-0.420251,0.00608046
54,-0.440275,-0.420621,0.00597915
55,-0.445157,-0.421068,0.00588706
56,-0.384795,-0.42042,0.00581746
57,-0.437622,-0.420722,0.00572322
58,-0.444476,-0.421131,0.00563918
59,-0.433177,-0.421335,0.00554729
60,-0.466573,-0.422089,0.00550584
61,-0.439048,-0.422367,0.00542259
62,-0.440138,-0.422654,0.0053427
63,-0.414575,-0.422526,0.00525944
64,-0.363174,-0.421598,0.00525838
65,-0.421366,-0.421595,0.00517748
66,-0.357452,-0.420623,0.00518945
67,-0.383721,-0.420072,0.00514114
68,-0.431394,-0.420239,0.00506823
69,-0.414619,-0.420157,0.00499543
70,-0.418125,-0.420128,0.00492415
71,-0.367467,-0.419386,0.00491034
72,-0.400718,-0.419127,0.00484898
73,-0.406786,-0.418958,0.0047855
74,-0.433686,-0.419157,0.00472497
75,-0.466262,-0.419785,0.00470353
76,-0.424612,-0.419849,0.00464207
77,-0.500655,-0.420898,0.00469891
78,-0.496212,-0.421864,0.00473683
79,-0.471671,-0.422494,0.00471864
80,-0.514636,-0.423646,0.00479817
81,-0.514118,-0.424763,0.0048672
82,-0.506394,-0.425758,0.0049086
83,-0.50526,-0.426716,0.00494203
84,-0.482634,-0.427382,0.00492782
85,-0.495714,-0.428186,0.00493499
86,-0.505311,-0.429083,0.00495842
87,-0.532628,-0.430273,0.00504224
88,-0.475917,-0.430791,0.00501155
89,-0.396001,-0.430401,0.00497046
90,-0.37693,-0.429806,0.00495062
