BLOCK,ACTUAL_P,P_AVE,ERROR
1,0.0531525,0.0531525,0
2,0.0531646,0.0531586,4.27963e-06
3,0.0532557,0.053191,2.65992e-05
4,0.0532709,0.0532109,2.64042e-05
5,0.0531985,0.0532084,2.12408e-05
6,0.0532452,0.0532146,1.85636e-05
7,0.0532332,0.0532172,1.61003e-05
8,0.0531923,0.0532141,1.4386e-05
9,0.0531594,0.053208,1.4014e-05
10,0.0532199,0.0532092,1.26625e-05
11,0.0532716,0.0532149,1.2718e-05
12,0.0532757,0.05322,1.26274e-05
13,0.0531634,0.0532156,1.23824e-05
14,0.0531959,0.0532142,1.15775e-05
15,0.0532093,0.0532139,1.08102e-05
16,0.0531205,0.053208,1.16034e-05
17,0.0530983,0.0532016,1.25885e-05
18,0.0532867,0.0532063,1.27459e-05
19,0.0531364,0.0532026,1.25953e-05
20,0.0531427,0.0531996,1.23165e-05
21,0.053209,0.0532001,1.17381e-05
22,0.0531785,0.0531991,1.12456e-05
23,0.0533549,0.0532059,1.26327e-05
24,0.0532602,0.0532081,1.23073e-05
25,0.0532463,0.0532097,1.19091e-05
26,0.053205,0.0532095,1.14524e-05
27,0.053272,0.0532118,1.12598e-05
28,0.0532981,0.0532149,1.12719e-05
29,0.0531549,0.0532128,1.10715e-05
30,0.0531733,0.0532115,1.07807e-05
31,0.0533087,0.0532146,1.08793e-05
32,0.0532236,0.0532149,1.05429e-05
33,0.0533619,0.0532194,1.11246e-05
34,0.0531571,0.0532175,1.0947e-05
35,0.0532636,0.0532188,1.0713e-05
36,0.0531759,0.0532177,1.04816e-05
37,0.0532111,0.0532175,1.01998e-05
38,0.0532875,0.0532193,1.00966e-05
39,0.0533522,0.0532227,1.03967e-05
40,0.0532117,0.0532225,1.01404e-05
41,0.0532158,0.0532223,9.89441e-06
42,0.053236,0.0532226,9.66421e-06
43,0.0531537,0.053221,9.5715e-06
44,0.0531744,0.05322,9.41252e-06
45,0.0532347,0.0532203,9.20907e-06
46,0.0532244,0.0532204,9.00931e-06
47,0.0531779,0.0532195,8.86278e-06
48,0.0533089,0.0532213,8.87201e-06
49,0.0532656,0.0532222,8.73672e-06
50,0.0531689,0.0532212,8.62691e-06
51,0.0532603,0.0532219,8.4918e-06
52,0.0530898,0.0532194,8.7004e-06
53,0.0530945,0.053217,8.84957e-06
54,0.0531724,0.0532162,8.72414e-06
55,0.0531632,0.0532152,8.61866e-06
56,0.0532172,0.0532153,8.46483e-06
57,0.0531314,0.0532138,8.44332e-06
58,0.0531247,0.0532123,8.43648e-06
