BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-3.71516,-3.71516,0
2,-3.68293,-3.69904,0.0113926
3,-3.65907,-3.68572,0.0132681
4,-3.62997,-3.67178,0.0156433
5,-3.71427,-3.68028,0.0146421
6,-3.77669,-3.69635,0.0190802
7,-3.79612,-3.7106,0.0210142
8,-3.72032,-3.71182,0.0184225
9,-3.7239,-3.71316,0.0164244
10,-3.7971,-3.72155,0.0167906
11,-3.79198,-3.72796,0.0164395
12,-3.85813,-3.7388,0.018302
13,-3.92377,-3.75303,0.0217318
14,-3.87913,-3.76204,0.0219668
15,-3.80709,-3.76504,0.0207066
16,-3.77998,-3.76598,0.0194335
17,-3.81582,-3.76891,0.0185103
18,-3.76746,-3.76883,0.0174821
19,-3.7728,-3.76904,0.0165632
20,-3.68225,-3.7647,0.0162936
21,-3.76725,-3.76482,0.0155181
22,-3.84369,-3.7684,0.0152213
23,-3.76551,-3.76828,0.01456
24,-3.71513,-3.76606,0.0141207
25,-3.64806,-3.76134,0.0143232
26,-3.61501,-3.75572,0.0148369
27,-3.5897,-3.74957,0.0155092
28,-3.64268,-3.74575,0.015418
29,-3.66154,-3.74285,0.0151573
30,-3.76237,-3.7435,0.014666
31,-3.81303,-3.74574,0.0143634
32,-3.79841,-3.74739,0.0140085
33,-3.84987,-3.75049,0.013924
34,-3.78508,-3.75151,0.0135516
35,-3.87563,-3.75505,0.0136205
36,-3.82984,-3.75713,0.0133996
37,-3.8888,-3.76069,0.0135018
38,-3.94272,-3.76548,0.0139704
39,-3.93833,-3.76991,0.0142979
40,-3.95732,-3.7746,0.0146881
41,-3.90336,-3.77774,0.0146618
42,-3.77707,-3.77772,0.0143127
43,-3.83071,-3.77896,0.0140328
44,-3.78048,-3.77899,0.0137139
45,-3.79182,-3.77928,0.0134121
46,-3.87292,-3.78131,0.0132741
47,-3.82321,-3.7822,0.0130216
48,-3.87802,-3.7842,0.0129024
49,-3.9454,-3.78749,0.0130518
50,-3.92159,-3.79017,0.0130634
51,-3.8997,-3.79232,0.0129826
52,-3.85052,-3.79344,0.0127811
53,-3.76635,-3.79293,0.0125502
54,-3.84778,-3.79394,0.0123588
55,-3.79646,-3.79399,0.0121342
56,-3.78458,-3.79382,0.0119187
57,-3.71581,-3.79245,0.0117879
58,-3.70178,-3.79089,0.0116879
59,-3.786,-3.79081,0.01149
60,-3.87603,-3.79223,0.011386
61,-3.87839,-3.79364,0.0112866
62,-3.8396,-3.79438,0.0111289
63,-3.84488,-3.79518,0.0109811
64,-3.74084,-3.79433,0.0108423
65,-3.82981,-3.79488,0.0106892
66,-3.77565,-3.79459,0.0105312
67,-3.70964,-3.79332,0.0104501
68,-3.7377,-3.7925,0.0103284
69,-3.77954,-3.79231,0.0101804
70,-3.7859,-3.79222,0.0100354
71,-3.79358,-3.79224,0.00989404
72,-3.75424,-3.79171,0.00977069
73,-3.71731,-3.79069,0.00968987
74,-3.79132,-3.7907,0.00955892
75,-3.63803,-3.78867,0.00964577
76,-3.6688,-3.78709,0.00964694
77,-3.68253,-3.78573,0.00961675
78,-3.69472,-3.78456,0.00956399
79,-3.7076,-3.78359,0.00949242
80,-3.5563,-3.78075,0.00978971
81,-3.64038,-3.77902,0.00982102
82,-3.64564,-3.77739,0.00983503
83,-3.71911,-3.77669,0.00974157
84,-3.69803,-3.77575,0.0096705
85,-3.67357,-3.77455,0.00963115
86,-3.67184,-3.77335,0.00959293
87,-3.7737,-3.77336,0.00948266
88,-3.83579,-3.77407,0.00940141
89,-3.81886,-3.77457,0.00930924
90,-3.93592,-3.77636,0.00937683
91,-3.93195,-3.77807,0.00942838
92,-3.9339,-3.77977,0.00947681
93,-3.94475,-3.78154,0.00953951
94,-3.89574,-3.78276,0.00951507
95,-3.93054,-3.78431,0.00954123
96,-3.97757,-3.78632,0.00965188
97,-3.96047,-3.78812,0.0097179
98,-3.91536,-3.78942,0.00970508
99,-3.96905,-3.79123,0.0097752
100,-3.91551,-3.79248,0.00975613
101,-3.96709,-3.7942,0.00981151
102,-3.95599,-3.79579,0.00984269
103,-3.88429,-3.79665,0.00978456
