STEP,DISTANCE,AVE_GOFR,ERROR
1,0,0,0
2,0.0323165,0,0
3,0.064633,0,0
4,0.0969496,0,0
5,0.129266,0,0
6,0.161583,0,0
7,0.193899,0,0
8,0.226216,0,0
9,0.258532,0,0
10,0.290849,0,0
11,0.323165,0,0
12,0.355482,0,0
13,0.387798,0,0
14,0.420115,0,0
15,0.452431,0,0
16,0.484748,0,0
17,0.517064,0,0
18,0.549381,0,0
19,0.581697,0,0
20,0.614014,0,0
21,0.64633,0,0
22,0.678647,0,0
23,0.710963,0,0
24,0.74328,0,0
25,0.775596,0,0
26,0.807913,0,0
27,0.84023,4.97358e-06,3.51685e-06
28,0.872546,0.00179659,6.43607e-05
29,0.904863,0.0387073,0.000288241
30,0.937179,0.249838,0.000708393
31,0.969496,0.740997,0.00118039
32,1.00181,1.36603,0.00155356
33,1.03413,1.88422,0.00177392
34,1.06645,2.18722,0.00185069
35,1.09876,2.28645,0.00184229
36,1.13108,2.25198,0.00177368
37,1.16339,2.15298,0.00168955
38,1.19571,2.02082,0.0015913
39,1.22803,1.89469,0.00149602
40,1.26034,1.77809,0.00141497
41,1.29266,1.6637,0.00133336
42,1.32498,1.57051,0.0012649
43,1.35729,1.48898,0.00120167
44,1.38961,1.42156,0.00114498
45,1.42193,1.36265,0.00109742
46,1.45424,1.3107,0.00105296
47,1.48656,1.26994,0.00101392
48,1.51888,1.2307,0.000976607
49,1.55119,1.20272,0.000947845
50,1.58351,1.17558,0.000917537
51,1.61583,1.15206,0.000889317
52,1.64814,1.1332,0.00086699
53,1.68046,1.11745,0.000842076
54,1.71278,1.10543,0.000823271
55,1.74509,1.09525,0.000803648
56,1.77741,1.08584,0.000786799
57,1.80973,1.07646,0.000767369
58,1.84204,1.07015,0.000751214
59,1.87436,1.06525,0.000738244
60,1.90667,1.0639,0.000727012
61,1.93899,1.06149,0.000713917
62,1.97131,1.05835,0.000701554
63,2.00362,1.05802,0.000689756
64,2.03594,1.05657,0.000678335
65,2.06826,1.05613,0.000667244
66,2.10057,1.05517,0.000656936
67,2.13289,1.05183,0.000647074
68,2.16521,1.05107,0.000637027
69,2.19752,1.04961,0.000626767
70,2.22984,1.04815,0.000617977
71,2.26216,1.04515,0.000607571
72,2.29447,1.04147,0.000598831
73,2.32679,1.03839,0.000588732
74,2.35911,1.03573,0.00058024
75,2.39142,1.03341,0.000572419
76,2.42374,1.03063,0.000563115
77,2.45606,1.0268,0.000554778
78,2.48837,1.02538,0.000546743
79,2.52069,1.02232,0.000539171
80,2.55301,1.01961,0.000531429
81,2.58532,1.01768,0.000525669
82,2.61764,1.01556,0.000518307
83,2.64995,1.01433,0.000511728
84,2.68227,1.01094,0.000505062
85,2.71459,1.01128,0.000498692
86,2.7469,1.00959,0.000492211
87,2.77922,1.00797,0.000486559
88,2.81154,1.0064,0.000480576
89,2.84385,1.006,0.000474194
90,2.87617,1.00427,0.000469124
91,2.90849,1.00478,0.000464005
92,2.9408,1.00336,0.000458013
93,2.97312,1.00289,0.00045301
94,3.00544,0.999532,0.000447497
95,3.03775,1.00038,0.000443433
96,3.07007,0.999998,0.000438645
97,3.10239,0.998181,0.000434416
98,3.1347,0.998695,0.000429116
99,3.16702,0.998264,0.000424977
100,3.19934,0.996924,0.000419983
101,3.23165,0.99728,0.000416627
102,3.26397,0.996857,0.000412066
103,3.29629,0.996013,0.000407351
104,3.3286,0.995339,0.000402973
105,3.36092,0.996074,0.000400191
106,3.39323,0.99476,0.000395876
107,3.42555,0.993335,0.000391647
108,3.45787,0.99266,0.000387828
109,3.49018,0.992526,0.000383639
110,3.5225,0.993545,0.000380296
111,3.55482,0.993803,0.000377523
112,3.58713,0.992523,0.000374582
113,3.61945,0.991351,0.000370424
114,3.65177,0.991517,0.000367154
115,3.68408,0.99186,0.000364465
116,3.7164,0.990581,0.00036039
117,3.74872,0.990744,0.0003574
118,3.78103,0.991025,0.000354522
119,3.81335,0.990675,0.000352183
120,3.84567,0.990296,0.000347745
121,3.87798,0.990269,0.000346106
122,3.9103,0.989836,0.000342382
123,3.94262,0.98956,0.000339369
124,3.97493,0.990232,0.000337038
125,4.00725,0.989211,0.000334191
126,4.03957,0.989004,0.000331007
127,4.07188,0.988724,0.000328805
128,4.1042,0.989332,0.000326062
129,4.13651,0.989159,0.000323305
130,4.16883,0.989135,0.000320871
131,4.20115,0.988185,0.000318497
132,4.23346,0.988182,0.000315959
133,4.26578,0.988553,0.000313659
134,4.2981,0.988993,0.000311199
135,4.33041,0.988561,0.000308559
136,4.36273,0.98831,0.000306692
137,4.39505,0.987805,0.000304004
138,4.42736,0.987894,0.000301801
139,4.45968,0.987757,0.000299332
140,4.492,0.988288,0.000297596
141,4.52431,0.988588,0.000294933
142,4.55663,0.98736,0.000292663
143,4.58895,0.987045,0.000291108
144,4.62126,0.987884,0.000288756
145,4.65358,0.987057,0.000286846
146,4.6859,0.98727,0.000284942
147,4.71821,0.987315,0.000283093
148,4.75053,0.987312,0.000281308
149,4.78285,0.987265,0.000279659
150,4.81516,0.987144,0.000277469
151,4.84748,0.987767,0.000275583
152,4.87979,0.987204,0.000273432
153,4.91211,0.986398,0.00027155
154,4.94443,0.986656,0.000269396
155,4.97674,0.987183,0.000267946
156,5.00906,0.986336,0.000266087
157,5.04138,0.98643,0.000264379
158,5.07369,0.986391,0.000262779
159,5.10601,0.986539,0.000261278
160,5.13833,0.986385,0.000259693
161,5.17064,0.986285,0.000257964
162,5.20296,0.986164,0.000256459
163,5.23528,0.986283,0.000254743
164,5.26759,0.985898,0.000253102
165,5.29991,0.986028,0.000251596
166,5.33223,0.986517,0.000249811
