STEP,DISTANCE,AVE_GOFR,ERROR
1,0,0,0
2,0.0323165,0,0
3,0.064633,0,0
4,0.0969496,0,0
5,0.129266,0,0
6,0.161583,0,0
7,0.193899,0,0
8,0.226216,0,0
9,0.258532,0,0
10,0.290849,0,0
11,0.323165,0,0
12,0.355482,0,0
13,0.387798,0,0
14,0.420115,0,0
15,0.452431,0,0
16,0.484748,0,0
17,0.517064,0,0
18,0.549381,0,0
19,0.581697,0,0
20,0.614014,0,0
21,0.64633,0,0
22,0.678647,0,0
23,0.710963,0,0
24,0.74328,0,0
25,0.775596,0,0
26,0.807913,0,0
27,0.84023,1.98943e-05,7.03365e-06
28,0.872546,0.00180583,6.46083e-05
29,0.904863,0.0386127,0.00028801
30,0.937179,0.249387,0.000708345
31,0.969496,0.743843,0.00118488
32,1.00181,1.36693,0.00155414
33,1.03413,1.88351,0.0017665
34,1.06645,2.17957,0.00184359
35,1.09876,2.27743,0.0018366
36,1.13108,2.25326,0.00176948
37,1.16339,2.15464,0.00168766
38,1.19571,2.03045,0.00158941
39,1.22803,1.90125,0.00149927
40,1.26034,1.77381,0.00141033
41,1.29266,1.66363,0.00133204
42,1.32498,1.57191,0.00126551
43,1.35729,1.48986,0.0012022
44,1.38961,1.41925,0.00114848
45,1.42193,1.36026,0.00109677
46,1.45424,1.31312,0.00105401
47,1.48656,1.26635,0.00101214
48,1.51888,1.23206,0.00097872
49,1.55119,1.20356,0.000947466
50,1.58351,1.17595,0.000917221
51,1.61583,1.15375,0.000890008
52,1.64814,1.13357,0.00086499
53,1.68046,1.11937,0.000844063
54,1.71278,1.10498,0.000822384
55,1.74509,1.09524,0.000803768
56,1.77741,1.08612,0.000787022
57,1.80973,1.07668,0.0007698
58,1.84204,1.0736,0.000753221
59,1.87436,1.06862,0.000740353
60,1.90667,1.06477,0.000727146
61,1.93899,1.06189,0.000713721
62,1.97131,1.05933,0.000701729
63,2.00362,1.05814,0.00068928
64,2.03594,1.05606,0.000677843
65,2.06826,1.05533,0.000667688
66,2.10057,1.05449,0.00065777
67,2.13289,1.05474,0.00064737
68,2.16521,1.0514,0.000637557
69,2.19752,1.04903,0.000626499
70,2.22984,1.04809,0.00061673
71,2.26216,1.04214,0.000606676
72,2.29447,1.0407,0.000599318
73,2.32679,1.03709,0.000589826
74,2.35911,1.03511,0.000579346
75,2.39142,1.03306,0.000571593
76,2.42374,1.03068,0.000563237
77,2.45606,1.02663,0.000554372
78,2.48837,1.02607,0.000548638
79,2.52069,1.02369,0.00053921
80,2.55301,1.02063,0.000532883
81,2.58532,1.0175,0.000524853
82,2.61764,1.0168,0.000518335
83,2.64995,1.01501,0.000510853
84,2.68227,1.01185,0.000504632
85,2.71459,1.0118,0.000498361
86,2.7469,1.00947,0.000491946
87,2.77922,1.00818,0.000485634
88,2.81154,1.00636,0.000479399
89,2.84385,1.00535,0.000474584
90,2.87617,1.00498,0.00046833
91,2.90849,1.00302,0.000463279
92,2.9408,1.00327,0.000457863
93,2.97312,1.00114,0.00045199
94,3.00544,1.00128,0.000448016
95,3.03775,1.00009,0.000443485
96,3.07007,0.999431,0.000438322
97,3.10239,0.9996,0.00043329
98,3.1347,0.998631,0.000428621
99,3.16702,0.997601,0.000424182
100,3.19934,0.998232,0.000420665
101,3.23165,0.996447,0.000415481
102,3.26397,0.996319,0.000411886
103,3.29629,0.996573,0.000407624
104,3.3286,0.996039,0.000403248
105,3.36092,0.994373,0.000399313
106,3.39323,0.993905,0.000394999
107,3.42555,0.993606,0.00039144
108,3.45787,0.993915,0.000387964
109,3.49018,0.993297,0.000383982
110,3.5225,0.99295,0.000380052
111,3.55482,0.992586,0.000377233
112,3.58713,0.992924,0.000374036
113,3.61945,0.991343,0.000370149
114,3.65177,0.991124,0.000366794
115,3.68408,0.991035,0.000363169
116,3.7164,0.991429,0.000359564
117,3.74872,0.990836,0.000358377
118,3.78103,0.990533,0.000353912
119,3.81335,0.98983,0.000350886
120,3.84567,0.989798,0.000348141
121,3.87798,0.990251,0.000344991
122,3.9103,0.99046,0.000342081
123,3.94262,0.989992,0.000339657
124,3.97493,0.990634,0.000336618
125,4.00725,0.989165,0.000333865
126,4.03957,0.989372,0.000331691
127,4.07188,0.988759,0.000328866
128,4.1042,0.989258,0.000325958
129,4.13651,0.988531,0.000323572
130,4.16883,0.989314,0.000320935
131,4.20115,0.988031,0.000318418
132,4.23346,0.98879,0.000315595
133,4.26578,0.987967,0.000313163
134,4.2981,0.988627,0.000310713
135,4.33041,0.988853,0.000308928
136,4.36273,0.987828,0.000306556
137,4.39505,0.987709,0.000304247
138,4.42736,0.98708,0.000301409
139,4.45968,0.986643,0.000299054
140,4.492,0.987778,0.00029723
141,4.52431,0.987742,0.000295227
142,4.55663,0.987724,0.000292998
143,4.58895,0.98707,0.000290376
144,4.62126,0.986769,0.000288984
145,4.65358,0.987549,0.000286998
146,4.6859,0.987082,0.00028433
147,4.71821,0.987531,0.000282994
148,4.75053,0.987334,0.00028118
149,4.78285,0.987421,0.00027955
150,4.81516,0.987262,0.000277357
151,4.84748,0.986925,0.000275545
152,4.87979,0.987222,0.000273756
153,4.91211,0.986133,0.000271487
154,4.94443,0.987345,0.000270221
155,4.97674,0.987355,0.000268205
156,5.00906,0.986312,0.000266029
157,5.04138,0.986268,0.000264885
158,5.07369,0.986809,0.000262723
159,5.10601,0.986754,0.000260918
160,5.13833,0.986506,0.000259708
161,5.17064,0.985393,0.000257875
162,5.20296,0.986375,0.000256833
163,5.23528,0.985262,0.00025495
164,5.26759,0.985874,0.000253354
165,5.29991,0.986131,0.000251551
166,5.33223,0.985287,0.000250541
