STEP,DISTANCE,AVE_GOFR,ERROR
1,0,0,0
2,0.0128248,0,0
3,0.0256496,0,0
4,0.0384745,0,0
5,0.0512993,0,0
6,0.0641241,0,0
7,0.0769489,0,0
8,0.0897737,0,0
9,0.102599,0,0
10,0.115423,0,0
11,0.128248,0,0
12,0.141073,0,0
13,0.153898,0,0
14,0.166723,0,0
15,0.179547,0,0
16,0.192372,0,0
17,0.205197,0,0
18,0.218022,0,0
19,0.230847,0,0
20,0.243672,0,0
21,0.256496,0,0
22,0.269321,0,0
23,0.282146,0,0
24,0.294971,0,0
25,0.307796,0,0
26,0.32062,0,0
27,0.333445,0,0
28,0.34627,0,0
29,0.359095,0,0
30,0.37192,0,0
31,0.384745,0,0
32,0.397569,0,0
33,0.410394,0,0
34,0.423219,0,0
35,0.436044,0,0
36,0.448869,0,0
37,0.461694,0,0
38,0.474518,0,0
39,0.487343,0,0
40,0.500168,0,0
41,0.512993,0,0
42,0.525818,0,0
43,0.538642,0,0
44,0.551467,0,0
45,0.564292,0,0
46,0.577117,0,0
47,0.589942,0,0
48,0.602767,0,0
49,0.615591,0,0
50,0.628416,0,0
51,0.641241,0,0
52,0.654066,0,0
53,0.666891,0,0
54,0.679715,0,0
55,0.69254,0,0
56,0.705365,0,0
57,0.71819,0,0
58,0.731015,0,0
59,0.74384,0,0
60,0.756664,0,0
61,0.769489,0,0
62,0.782314,0,0
63,0.795139,0,0
64,0.807964,0,0
65,0.820788,0,0
66,0.833613,0,0
67,0.846438,0,0
68,0.859263,2.79827e-05,3.27489e-06
69,0.872088,0.000332016,1.11068e-05
70,0.884913,0.00225916,2.85395e-05
71,0.897737,0.0105616,6.08872e-05
72,0.910562,0.0370829,0.000112587
73,0.923387,0.102658,0.000184205
74,0.936212,0.226693,0.000269211
75,0.949037,0.42633,0.000363084
76,0.961861,0.699416,0.000456883
77,0.974686,1.02562,0.000542977
78,0.987511,1.37566,0.000616143
79,1.00034,1.71045,0.00067598
80,1.01316,2.00967,0.000721755
81,1.02599,2.25159,0.000752341
82,1.03881,2.42263,0.000771095
83,1.05164,2.52952,0.000779886
84,1.06446,2.57514,0.000778177
85,1.07728,2.56992,0.00076911
86,1.09011,2.52796,0.0007578
87,1.10293,2.45469,0.000739577
88,1.11576,2.36075,0.000719439
89,1.12858,2.25497,0.000695751
90,1.14141,2.14278,0.000671523
91,1.15423,2.03079,0.000646268
92,1.16706,1.91636,0.000622275
93,1.17988,1.80743,0.000599238
94,1.19271,1.70408,0.000576518
95,1.20553,1.60487,0.000554273
96,1.21836,1.51233,0.00053202
97,1.23118,1.42795,0.000511811
98,1.24401,1.35068,0.000493265
99,1.25683,1.27908,0.00047349
100,1.26966,1.21229,0.00045759
101,1.28248,1.15164,0.000442108
102,1.29531,1.09704,0.000426466
103,1.30813,1.04669,0.000411658
104,1.32096,1.00137,0.000399884
105,1.33378,0.9589,0.000387944
106,1.34661,0.922354,0.000376341
107,1.35943,0.887189,0.000365896
108,1.37226,0.85741,0.000356759
109,1.38508,0.829898,0.000347415
110,1.39791,0.803671,0.000338701
111,1.41073,0.783175,0.00033075
112,1.42355,0.7627,0.000323827
113,1.43638,0.746132,0.000317998
114,1.4492,0.730275,0.000311919
115,1.46203,0.717348,0.000306325
116,1.47485,0.705649,0.000301666
117,1.48768,0.695584,0.000296279
118,1.5005,0.686552,0.000292765
119,1.51333,0.681155,0.000289516
120,1.52615,0.676659,0.000286065
121,1.53898,0.672861,0.00028258
122,1.5518,0.671424,0.000279918
123,1.56463,0.671247,0.000277896
124,1.57745,0.671793,0.000275523
125,1.59028,0.673826,0.000273668
126,1.6031,0.677787,0.000272217
127,1.61593,0.683222,0.000271151
128,1.62875,0.688984,0.000269547
129,1.64158,0.697872,0.000269375
130,1.6544,0.706445,0.000269375
131,1.66723,0.717158,0.000269142
132,1.68005,0.72908,0.000268526
133,1.69288,0.742489,0.000269606
134,1.7057,0.756364,0.00027038
135,1.71853,0.772617,0.000270437
136,1.73135,0.789388,0.000271526
137,1.74418,0.805975,0.000272126
138,1.757,0.824875,0.000273864
139,1.76983,0.844105,0.000275113
140,1.78265,0.862597,0.000276691
141,1.79547,0.883755,0.000277187
142,1.8083,0.904907,0.0002789
143,1.82112,0.925059,0.000280156
144,1.83395,0.946881,0.00028109
145,1.84677,0.967769,0.000282433
146,1.8596,0.988454,0.000283135
147,1.87242,1.00844,0.00028404
148,1.88525,1.02858,0.000285429
149,1.89807,1.0488,0.000285574
150,1.9109,1.0679,0.000285998
151,1.92372,1.08622,0.000286376
152,1.93655,1.10447,0.000287473
153,1.94937,1.12209,0.000286839
154,1.9622,1.1383,0.00028671
155,1.97502,1.1543,0.00028698
156,1.98785,1.16787,0.000286585
157,2.00067,1.17973,0.000286365
158,2.0135,1.19057,0.000285768
159,2.02632,1.20036,0.000285187
160,2.03915,1.20677,0.000284013
161,2.05197,1.21122,0.00028244
162,2.0648,1.21506,0.000281204
163,2.07762,1.21595,0.000280266
164,2.09045,1.2149,0.000279231
165,2.10327,1.21099,0.000276799
166,2.1161,1.20574,0.000273899
167,2.12892,1.19934,0.000272297
168,2.14174,1.18933,0.000269478
169,2.15457,1.17945,0.000266755
170,2.16739,1.16912,0.000264215
171,2.18022,1.15651,0.000260981
172,2.19304,1.14499,0.000258243
173,2.20587,1.13064,0.000255586
174,2.21869,1.11685,0.000252715
175,2.23152,1.10262,0.000249709
176,2.24434,1.08809,0.000246452
177,2.25717,1.07436,0.00024387
178,2.26999,1.05931,0.000240311
179,2.28282,1.04556,0.00023746
180,2.29564,1.03259,0.000235214
181,2.30847,1.01805,0.000231991
182,2.32129,1.00557,0.000229205
183,2.33412,0.994102,0.00022666
184,2.34694,0.982139,0.00022352
185,2.35977,0.971143,0.000221033
186,2.37259,0.961561,0.000219208
187,2.38542,0.952262,0.000216957
188,2.39824,0.943536,0.000214998
189,2.41107,0.935553,0.000212874
190,2.42389,0.928239,0.000211147
191,2.43672,0.92135,0.000208607
192,2.44954,0.916068,0.00020751
193,2.46237,0.91079,0.000205865
194,2.47519,0.907265,0.000203996
195,2.48802,0.902577,0.000202669
196,2.50084,0.887728,0.000200535
197,2.51366,0.8865,0.000198155
198,2.52649,0.885572,0.000197438
