STEP,DISTANCE,AVE_GOFR,ERROR
1,0,0,0
2,0.0128248,0,0
3,0.0256496,0,0
4,0.0384745,0,0
5,0.0512993,0,0
6,0.0641241,0,0
7,0.0769489,0,0
8,0.0897737,0,0
9,0.102599,0,0
10,0.115423,0,0
11,0.128248,0,0
12,0.141073,0,0
13,0.153898,0,0
14,0.166723,0,0
15,0.179547,0,0
16,0.192372,0,0
17,0.205197,0,0
18,0.218022,0,0
19,0.230847,0,0
20,0.243672,0,0
21,0.256496,0,0
22,0.269321,0,0
23,0.282146,0,0
24,0.294971,0,0
25,0.307796,0,0
26,0.32062,0,0
27,0.333445,0,0
28,0.34627,0,0
29,0.359095,0,0
30,0.37192,0,0
31,0.384745,0,0
32,0.397569,0,0
33,0.410394,0,0
34,0.423219,0,0
35,0.436044,0,0
36,0.448869,0,0
37,0.461694,0,0
38,0.474518,0,0
39,0.487343,0,0
40,0.500168,0,0
41,0.512993,0,0
42,0.525818,0,0
43,0.538642,0,0
44,0.551467,0,0
45,0.564292,0,0
46,0.577117,0,0
47,0.589942,0,0
48,0.602767,0,0
49,0.615591,0,0
50,0.628416,0,0
51,0.641241,0,0
52,0.654066,0,0
53,0.666891,0,0
54,0.679715,0,0
55,0.69254,0,0
56,0.705365,0,0
57,0.71819,0,0
58,0.731015,0,0
59,0.74384,0,0
60,0.756664,0,0
61,0.769489,0,0
62,0.782314,0,0
63,0.795139,0,0
64,0.807964,0,0
65,0.820788,0,0
66,0.833613,0,0
67,0.846438,0,0
68,0.859263,2.26162e-05,2.9442e-06
69,0.872088,0.000334249,1.11564e-05
70,0.884913,0.00225807,2.85603e-05
71,0.897737,0.0106347,6.10684e-05
72,0.910562,0.0370132,0.000112399
73,0.923387,0.101773,0.000183456
74,0.936212,0.226311,0.000269094
75,0.949037,0.425218,0.000362981
76,0.961861,0.697278,0.000455323
77,0.974686,1.02329,0.000540702
78,0.987511,1.3731,0.000614603
79,1.00034,1.70976,0.000673099
80,1.01316,2.01024,0.000722385
81,1.02599,2.25042,0.000752598
82,1.03881,2.42428,0.000771324
83,1.05164,2.52973,0.000779819
84,1.06446,2.57522,0.00077691
85,1.07728,2.57155,0.00077065
86,1.09011,2.52637,0.000755917
87,1.10293,2.45544,0.000738621
88,1.11576,2.36322,0.000717625
89,1.12858,2.25518,0.000694955
90,1.14141,2.14511,0.000671308
91,1.15423,2.02903,0.000646235
92,1.16706,1.91789,0.00062339
93,1.17988,1.80628,0.00059796
94,1.19271,1.70464,0.000576761
95,1.20553,1.6071,0.000554301
96,1.21836,1.51424,0.000531578
97,1.23118,1.43039,0.000511015
98,1.24401,1.35153,0.000492537
99,1.25683,1.27915,0.000475097
100,1.26966,1.21207,0.000457306
101,1.28248,1.15259,0.000442221
102,1.29531,1.09806,0.000428005
103,1.30813,1.04635,0.000412378
104,1.32096,1.00255,0.000400298
105,1.33378,0.960929,0.000387923
106,1.34661,0.923021,0.000376973
107,1.35943,0.888809,0.000365183
108,1.37226,0.85821,0.00035663
109,1.38508,0.830324,0.000347419
110,1.39791,0.804159,0.00033908
111,1.41073,0.78322,0.00033104
112,1.42355,0.761933,0.000323853
113,1.43638,0.745253,0.000317069
114,1.4492,0.729931,0.000311176
115,1.46203,0.716947,0.000306505
116,1.47485,0.704105,0.00030087
117,1.48768,0.69534,0.000296331
118,1.5005,0.687041,0.000292096
119,1.51333,0.680247,0.000288615
120,1.52615,0.675003,0.000285102
121,1.53898,0.671099,0.000282086
122,1.5518,0.669558,0.000279922
123,1.56463,0.668848,0.000276802
124,1.57745,0.670228,0.0002756
125,1.59028,0.672453,0.000273336
126,1.6031,0.677165,0.000272329
127,1.61593,0.681007,0.000271129
128,1.62875,0.688606,0.000270207
129,1.64158,0.696436,0.000269475
130,1.6544,0.706127,0.000269048
131,1.66723,0.716333,0.000268905
132,1.68005,0.728134,0.00026884
133,1.69288,0.742556,0.000269471
134,1.7057,0.756103,0.000269518
135,1.71853,0.771678,0.000270172
136,1.73135,0.789259,0.000271771
137,1.74418,0.80579,0.000272534
138,1.757,0.825068,0.000273646
139,1.76983,0.844124,0.000275078
140,1.78265,0.863145,0.000276279
141,1.79547,0.884526,0.000277639
142,1.8083,0.905075,0.000279033
143,1.82112,0.925882,0.000280157
144,1.83395,0.946445,0.000280158
145,1.84677,0.967183,0.00028257
146,1.8596,0.988917,0.0002831
147,1.87242,1.00929,0.000283726
148,1.88525,1.02973,0.000285109
149,1.89807,1.0486,0.000285266
150,1.9109,1.06886,0.000285505
151,1.92372,1.08743,0.00028586
152,1.93655,1.10557,0.000287284
153,1.94937,1.12325,0.00028647
154,1.9622,1.13892,0.000286551
155,1.97502,1.15395,0.000286892
156,1.98785,1.1686,0.000285899
157,2.00067,1.18107,0.000286327
158,2.0135,1.19133,0.000285689
159,2.02632,1.20051,0.00028483
160,2.03915,1.2077,0.000283871
161,2.05197,1.21236,0.000282655
162,2.0648,1.21533,0.000281407
163,2.07762,1.21629,0.000279316
164,2.09045,1.21537,0.000278209
165,2.10327,1.21232,0.000276851
166,2.1161,1.20618,0.000273816
167,2.12892,1.1981,0.000272163
168,2.14174,1.1902,0.000268693
169,2.15457,1.18087,0.000266942
170,2.16739,1.16948,0.000264194
171,2.18022,1.15667,0.000260665
172,2.19304,1.14371,0.000258634
173,2.20587,1.13014,0.000255047
174,2.21869,1.11672,0.000252487
175,2.23152,1.10245,0.000249441
176,2.24434,1.08773,0.000246333
177,2.25717,1.07378,0.000243807
178,2.26999,1.05908,0.000240663
179,2.28282,1.0458,0.000238185
180,2.29564,1.03161,0.000234883
181,2.30847,1.019,0.000231714
182,2.32129,1.00564,0.000229278
183,2.33412,0.994178,0.000227066
184,2.34694,0.982104,0.000224577
185,2.35977,0.971462,0.000221749
186,2.37259,0.96136,0.000218862
187,2.38542,0.951264,0.000217158
188,2.39824,0.942253,0.000214145
189,2.41107,0.934041,0.000212745
190,2.42389,0.927408,0.000211001
191,2.43672,0.921497,0.000208747
192,2.44954,0.915163,0.000206792
193,2.46237,0.909995,0.000205747
194,2.47519,0.906115,0.000203937
195,2.48802,0.90174,0.000202242
196,2.50084,0.886897,0.000199922
197,2.51366,0.885444,0.000198521
198,2.52649,0.884882,0.000197411
