STEP,DISTANCE,AVE_GOFR,ERROR
1,0,0,0
2,0.0115332,0,0
3,0.0230664,0,0
4,0.0345996,0,0
5,0.0461329,0,0
6,0.0576661,0,0
7,0.0691993,0,0
8,0.0807325,0,0
9,0.0922657,0,0
10,0.103799,0,0
11,0.115332,0,0
12,0.126865,0,0
13,0.138399,0,0
14,0.149932,0,0
15,0.161465,0,0
16,0.172998,0,0
17,0.184531,0,0
18,0.196065,0,0
19,0.207598,0,0
20,0.219131,0,0
21,0.230664,0,0
22,0.242198,0,0
23,0.253731,0,0
24,0.265264,0,0
25,0.276797,0,0
26,0.28833,0,0
27,0.299864,0,0
28,0.311397,0,0
29,0.32293,0,0
30,0.334463,0,0
31,0.345996,0,0
32,0.35753,0,0
33,0.369063,0,0
34,0.380596,0,0
35,0.392129,0,0
36,0.403663,0,0
37,0.415196,0,0
38,0.426729,0,0
39,0.438262,0,0
40,0.449795,0,0
41,0.461329,0,0
42,0.472862,0,0
43,0.484395,0,0
44,0.495928,0,0
45,0.507461,0,0
46,0.518995,0,0
47,0.530528,0,0
48,0.542061,0,0
49,0.553594,0,0
50,0.565128,0,0
51,0.576661,0,0
52,0.588194,0,0
53,0.599727,0,0
54,0.61126,0,0
55,0.622794,0,0
56,0.634327,0,0
57,0.64586,0,0
58,0.657393,0,0
59,0.668926,0,0
60,0.68046,0,0
61,0.691993,0,0
62,0.703526,0,0
63,0.715059,0,0
64,0.726593,0,0
65,0.738126,0,0
66,0.749659,0,0
67,0.761192,0,0
68,0.772725,0,0
69,0.784259,0,0
70,0.795792,0,0
71,0.807325,0,0
72,0.818858,0,0
73,0.830391,0,0
74,0.841925,0,0
75,0.853458,0,0
76,0.864991,1.53198e-06,6.85118e-07
77,0.876524,1.61156e-05,2.19294e-06
78,0.888058,0.00014423,6.47289e-06
79,0.899591,0.00104045,1.71514e-05
80,0.911124,0.00572382,3.97707e-05
81,0.922657,0.0228472,7.86317e-05
82,0.93419,0.0713007,0.000137184
83,0.945724,0.184784,0.000219052
