BLOCK,GOFR_AVE,ERROR
1,0.693934,0.110807
2,0.696302,0.105901
3,0.694394,0.105976
4,0.695071,0.107191
5,0.694276,0.107233
6,0.69494,0.108379
7,0.695919,0.105951
8,0.694093,0.108289
9,0.695407,0.106587
10,0.69402,0.109342
11,0.695021,0.106416
12,0.695163,0.10688
13,0.694123,0.108207
14,0.69493,0.107886
15,0.69478,0.107252
16,0.694223,0.10762
17,0.694391,0.107683
18,0.695091,0.106474
19,0.694513,0.108488
20,0.693211,0.11182
21,0.694622,0.108203
22,0.695239,0.106118
23,0.694654,0.106848
24,0.695041,0.105773
25,0.695396,0.106323
26,0.695511,0.105598
27,0.693763,0.110315
28,0.694082,0.110079
29,0.694424,0.106889
30,0.694988,0.108152
31,0.693935,0.107549
32,0.695403,0.106586
33,0.693731,0.108735
34,0.693491,0.110128
35,0.69443,0.108075
36,0.694139,0.107756
37,0.69359,0.109563
38,0.694891,0.107263
39,0.695171,0.105804
40,0.694561,0.107292
41,0.695375,0.105075
42,0.694793,0.107061
43,0.695169,0.10671
44,0.694241,0.108374
45,0.693726,0.109227
46,0.694145,0.108092
47,0.695501,0.10674
48,0.695322,0.10576
49,0.693802,0.108032
50,0.693817,0.107802
51,0.695263,0.106486
52,0.694716,0.106875
53,0.695203,0.106659
54,0.693827,0.109543
55,0.694312,0.108468
56,0.695768,0.106922
57,0.69485,0.106921
58,0.694515,0.107069
59,0.695355,0.107621
60,0.694106,0.10919
61,0.694051,0.108664
62,0.694043,0.109151
63,0.694493,0.109431
64,0.69479,0.107072
65,0.69501,0.107689
66,0.695225,0.106848
67,0.695338,0.106667
68,0.695475,0.10622
69,0.695111,0.105801
70,0.696287,0.105508
71,0.694428,0.107965
72,0.694419,0.10992
73,0.694737,0.108625
74,0.694721,0.108664
75,0.695251,0.106014
76,0.693641,0.109848
77,0.693809,0.107183
78,0.693957,0.108839
79,0.694097,0.10804
80,0.695033,0.104358
81,0.695084,0.108591
82,0.695939,0.106376
83,0.694164,0.108752
84,0.694657,0.107508
85,0.695169,0.107257
86,0.694162,0.109409
87,0.694288,0.109557
88,0.694869,0.108581
89,0.694902,0.107013
90,0.693936,0.107836
91,0.694089,0.109329
92,0.693912,0.107465
93,0.694839,0.10806
94,0.694165,0.107263
95,0.695751,0.105525
96,0.69354,0.108611
97,0.695626,0.106488
98,0.695279,0.105928
99,0.694083,0.10779
100,0.694164,0.107522
