STEP,DISTANCE,AVE_GOFR,ERROR
1,0,0,0
2,0.0230664,0,0
3,0.0461329,0,0
4,0.0691993,0,0
5,0.0922657,0,0
6,0.115332,0,0
7,0.138399,0,0
8,0.161465,0,0
9,0.184531,0,0
10,0.207598,0,0
11,0.230664,0,0
12,0.253731,0,0
13,0.276797,0,0
14,0.299864,0,0
15,0.32293,0,0
16,0.345996,0,0
17,0.369063,0,0
18,0.392129,0,0
19,0.415196,0,0
20,0.438262,0,0
21,0.461329,0,0
22,0.484395,0,0
23,0.507461,0,0
24,0.530528,0,0
25,0.553594,0,0
26,0.576661,0,0
27,0.599727,0,0
28,0.622794,0,0
29,0.64586,0,0
30,0.668926,0,0
31,0.691993,0,0
32,0.715059,0,0
33,0.738126,0,0
34,0.761192,0,0
35,0.784259,0,0
36,0.807325,0,0
37,0.830391,0,0
38,0.853458,0,0
39,0.876524,9.20506e-05,1.20723e-05
40,0.899591,0.00350636,9.05711e-05
41,0.922657,0.0476945,0.000354661
42,0.945724,0.29379,0.00114488
43,0.96879,1.00899,0.00172344
44,0.991856,2.24036,0.00266171
45,1.01492,3.63195,0.00252727
46,1.03799,4.61336,0.00233226
47,1.06106,4.89481,0.00338907
48,1.08412,4.48697,0.00345533
49,1.10719,3.65476,0.00290052
50,1.13026,2.69465,0.00195703
51,1.15332,1.8164,0.00143847
52,1.17639,1.13236,0.00117107
53,1.19945,0.654877,0.00115121
54,1.22252,0.354845,0.000968746
55,1.24559,0.180382,0.00079488
56,1.26865,0.0891849,0.000588668
57,1.29172,0.0492836,0.000453242
58,1.31479,0.0425472,0.000378668
59,1.33785,0.0607414,0.000430773
60,1.36092,0.106449,0.000538665
61,1.38399,0.18506,0.000596924
62,1.40705,0.301265,0.000624993
63,1.43012,0.452652,0.000616812
64,1.45319,0.628678,0.000714664
65,1.47625,0.796931,0.000836878
66,1.49932,0.920666,0.00103995
67,1.52238,0.969016,0.00125629
68,1.54545,0.927903,0.00114389
69,1.56852,0.807793,0.000856959
70,1.59158,0.640762,0.000729816
71,1.61465,0.465541,0.000534457
72,1.63772,0.31781,0.000631318
73,1.66078,0.220509,0.000801911
74,1.68385,0.192814,0.000907052
75,1.70692,0.25591,0.00107221
76,1.72998,0.435152,0.00118703
77,1.75305,0.749314,0.00126348
78,1.77612,1.19949,0.00098995
79,1.79918,1.72795,0.000867225
80,1.82225,2.2345,0.00131407
81,1.84531,2.59571,0.00199522
82,1.86838,2.71281,0.00241152
83,1.89145,2.55296,0.00213639
84,1.91451,2.17792,0.00151166
85,1.93758,1.69085,0.000855617
86,1.96065,1.202,0.000828205
87,1.98371,0.803679,0.00107225
88,2.00678,0.54363,0.00126501
89,2.02985,0.43522,0.00126438
90,2.05291,0.462269,0.0010474
91,2.07598,0.587092,0.000652874
92,2.09905,0.757939,0.000475771
93,2.12211,0.916417,0.000621584
94,2.14518,1.01348,0.000913719
95,2.16824,1.02149,0.000800111
96,2.19131,0.919149,0.000699187
97,2.21438,0.781364,0.000534095
98,2.23744,0.654939,0.000627999
99,2.26051,0.573565,0.00101322
100,2.28358,0.574584,0.00118717
