BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-6.40649,-6.40649,0
2,-6.32752,-6.36701,0.0279205
3,-6.28106,-6.33836,0.0298927
4,-6.34119,-6.33907,0.0224279
5,-6.33707,-6.33867,0.0179459
6,-6.3733,-6.34444,0.0158559
7,-6.32976,-6.34234,0.0137287
8,-6.36904,-6.34568,0.0124117
9,-6.32104,-6.34294,0.0113306
10,-6.38636,-6.34728,0.0109979
11,-6.31576,-6.34442,0.0103647
12,-6.34654,-6.34459,0.00950248
13,-6.34875,-6.34491,0.00877689
14,-6.37325,-6.34694,0.00838006
15,-6.32106,-6.34521,0.00799695
16,-6.35493,-6.34582,0.00752017
17,-6.35688,-6.34647,0.00710588
18,-6.32592,-6.34533,0.00680225
19,-6.3774,-6.34702,0.00665035
20,-6.45079,-6.35221,0.00809263
21,-6.36792,-6.35295,0.00774179
22,-6.31662,-6.3513,0.00756396
23,-6.33138,-6.35044,0.00728453
24,-6.29814,-6.34826,0.00729963
25,-6.32293,-6.34724,0.00707761
26,-6.28993,-6.34504,0.00714045
27,-6.42908,-6.34815,0.00752386
28,-6.41709,-6.35061,0.00764742
29,-6.32156,-6.34961,0.00744906
30,-6.37477,-6.35045,0.00724781
31,-6.35098,-6.35047,0.00701403
32,-6.32977,-6.34982,0.00682459
33,-6.38382,-6.35085,0.0066951
34,-6.41864,-6.35285,0.00678854
35,-6.37195,-6.35339,0.00661648
36,-6.34169,-6.35307,0.00644066
37,-6.38677,-6.35398,0.00633068
38,-6.32458,-6.3532,0.00621116
39,-6.30499,-6.35197,0.00617371
40,-6.33578,-6.35156,0.00603261
41,-6.29203,-6.35011,0.00605768
42,-6.34269,-6.34993,0.00591602
43,-6.32531,-6.34936,0.0058061
44,-6.36674,-6.34976,0.00568756
45,-6.38182,-6.35047,0.00560564
46,-6.35885,-6.35065,0.00548674
47,-6.34735,-6.35058,0.00537045
48,-6.30021,-6.34953,0.00536012
49,-6.33391,-6.34921,0.0052602
50,-6.34226,-6.34907,0.00515683
51,-6.32117,-6.34853,0.00508467
52,-6.33558,-6.34828,0.00499298
53,-6.3276,-6.34789,0.00491399
54,-6.39688,-6.34879,0.00490602
55,-6.36841,-6.34915,0.00482976
56,-6.34325,-6.34905,0.00474467
57,-6.33992,-6.34889,0.00466413
58,-6.34696,-6.34885,0.00458383
59,-6.3724,-6.34925,0.00452348
60,-6.39288,-6.34998,0.00450617
61,-6.36754,-6.35027,0.00444148
62,-6.37888,-6.35073,0.00439376
63,-6.41313,-6.35172,0.00443425
64,-6.32902,-6.35136,0.00437912
65,-6.36192,-6.35153,0.00431476
66,-6.33133,-6.35122,0.00426022
67,-6.34833,-6.35118,0.00419686
68,-6.31506,-6.35065,0.00416862
69,-6.30446,-6.34998,0.0041616
70,-6.31064,-6.34941,0.00413991
71,-6.36376,-6.34962,0.00408653
72,-6.41109,-6.35047,0.004118
73,-6.38914,-6.351,0.00409552
74,-6.40201,-6.35169,0.00409777
75,-6.31651,-6.35122,0.00406989
76,-6.39588,-6.35181,0.00405853
77,-6.33495,-6.35159,0.00401173
78,-6.38554,-6.35202,0.00398383
79,-6.36734,-6.35222,0.00393812
80,-6.25145,-6.35096,0.00408535
81,-6.38802,-6.35142,0.00406045
82,-6.32941,-6.35115,0.00401979
83,-6.38181,-6.35152,0.0039883
84,-6.35077,-6.35151,0.00394083
85,-6.3416,-6.35139,0.00389619
86,-6.39845,-6.35194,0.00388912
87,-6.40184,-6.35251,0.00388648
88,-6.38744,-6.35291,0.00386253
89,-6.34301,-6.3528,0.00382073
90,-6.34648,-6.35273,0.00377892
91,-6.3945,-6.35319,0.00376517
92,-6.3448,-6.3531,0.00372535
93,-6.3631,-6.3532,0.00368685
94,-6.34108,-6.35307,0.00364988
95,-6.30863,-6.35261,0.00364132
96,-6.36444,-6.35273,0.00360547
97,-6.31414,-6.35233,0.00359018
98,-6.31838,-6.35199,0.00357022
99,-6.36014,-6.35207,0.00353511
100,-6.35691,-6.35212,0.00350009
