BLOCK,GOFR_AVE,ERROR
1,0.694911,0.107143
2,0.694781,0.10744
3,0.694769,0.10711
4,0.694865,0.107104
5,0.694896,0.106765
6,0.694738,0.107006
7,0.694311,0.108052
8,0.694448,0.107604
9,0.694476,0.10689
10,0.694353,0.108469
11,0.694817,0.10664
12,0.694374,0.107956
13,0.694614,0.107207
14,0.694531,0.108009
15,0.694623,0.107363
16,0.694208,0.108429
17,0.694072,0.108273
18,0.694718,0.107381
19,0.69428,0.108287
20,0.694352,0.107177
21,0.69441,0.107512
22,0.694788,0.107652
23,0.694701,0.107703
24,0.69458,0.107497
25,0.694585,0.107617
26,0.694608,0.107352
27,0.694421,0.107645
28,0.694437,0.107933
29,0.694821,0.107442
30,0.694277,0.107659
31,0.694682,0.107987
32,0.694587,0.107699
33,0.694434,0.108449
34,0.694582,0.107746
35,0.694412,0.107743
36,0.695005,0.106453
37,0.694622,0.107503
38,0.694302,0.107625
39,0.694531,0.107529
40,0.694883,0.106987
41,0.694648,0.107411
42,0.694359,0.107926
43,0.694889,0.10742
44,0.694633,0.107316
45,0.694675,0.107586
46,0.694697,0.107058
47,0.694745,0.107488
48,0.694566,0.107199
49,0.694386,0.10749
50,0.694522,0.10766
51,0.694608,0.10792
52,0.694631,0.107572
53,0.694525,0.107637
54,0.694412,0.107879
55,0.694899,0.106664
56,0.694386,0.107867
57,0.694468,0.107391
58,0.694652,0.107848
59,0.694547,0.107346
60,0.694706,0.107737
61,0.694509,0.107668
62,0.694983,0.106382
63,0.694544,0.107023
64,0.694526,0.107352
65,0.694619,0.10706
66,0.694848,0.107045
67,0.694423,0.107847
68,0.694523,0.107503
69,0.69455,0.107555
70,0.694742,0.10732
71,0.694321,0.107693
72,0.694541,0.107721
73,0.69479,0.107135
74,0.694539,0.107456
75,0.694864,0.107341
76,0.694892,0.106996
77,0.694965,0.106752
78,0.694499,0.107641
79,0.69465,0.107268
80,0.694618,0.107486
81,0.694881,0.106771
82,0.694728,0.107411
83,0.694237,0.107403
84,0.69496,0.106654
85,0.694458,0.107549
86,0.694407,0.107507
87,0.69474,0.107148
88,0.694706,0.107835
89,0.694408,0.108362
90,0.695085,0.106956
91,0.694517,0.107641
92,0.694565,0.107074
93,0.694338,0.107413
94,0.694582,0.107356
95,0.694605,0.107102
96,0.694455,0.108038
97,0.694483,0.107787
98,0.694644,0.10758
99,0.694863,0.107045
100,0.695035,0.106687
