STEP,DISTANCE,AVE_GOFR,ERROR
1,0.000000e+00,0.000000e+00,0.000000e+00
2,2.306643e-02,0.000000e+00,0.000000e+00
3,4.613286e-02,0.000000e+00,0.000000e+00
4,6.919929e-02,0.000000e+00,0.000000e+00
5,9.226572e-02,0.000000e+00,0.000000e+00
6,1.153321e-01,0.000000e+00,0.000000e+00
7,1.383986e-01,0.000000e+00,0.000000e+00
8,1.614650e-01,0.000000e+00,0.000000e+00
9,1.845314e-01,0.000000e+00,0.000000e+00
10,2.075979e-01,0.000000e+00,0.000000e+00
11,2.306643e-01,0.000000e+00,0.000000e+00
12,2.537307e-01,0.000000e+00,0.000000e+00
13,2.767971e-01,0.000000e+00,0.000000e+00
14,2.998636e-01,0.000000e+00,0.000000e+00
15,3.229300e-01,0.000000e+00,0.000000e+00
16,3.459964e-01,0.000000e+00,0.000000e+00
17,3.690629e-01,0.000000e+00,0.000000e+00
18,3.921293e-01,0.000000e+00,0.000000e+00
19,4.151957e-01,0.000000e+00,0.000000e+00
20,4.382621e-01,0.000000e+00,0.000000e+00
21,4.613286e-01,0.000000e+00,0.000000e+00
22,4.843950e-01,0.000000e+00,0.000000e+00
23,5.074614e-01,0.000000e+00,0.000000e+00
24,5.305279e-01,0.000000e+00,0.000000e+00
25,5.535943e-01,0.000000e+00,0.000000e+00
26,5.766607e-01,0.000000e+00,0.000000e+00
27,5.997271e-01,0.000000e+00,0.000000e+00
28,6.227936e-01,0.000000e+00,0.000000e+00
29,6.458600e-01,0.000000e+00,0.000000e+00
30,6.689264e-01,0.000000e+00,0.000000e+00
31,6.919929e-01,0.000000e+00,0.000000e+00
32,7.150593e-01,0.000000e+00,0.000000e+00
33,7.381257e-01,0.000000e+00,0.000000e+00
34,7.611922e-01,0.000000e+00,0.000000e+00
35,7.842586e-01,0.000000e+00,0.000000e+00
36,8.073250e-01,0.000000e+00,0.000000e+00
37,8.303914e-01,0.000000e+00,0.000000e+00
38,8.534579e-01,0.000000e+00,0.000000e+00
39,8.765243e-01,8.100455e-05,1.269097e-05
40,8.995907e-01,3.362942e-03,8.946723e-05
41,9.226572e-01,4.744490e-02,3.184626e-04
42,9.457236e-01,2.937015e-01,1.021577e-03
43,9.687900e-01,1.007582e+00,1.895185e-03
44,9.918564e-01,2.240441e+00,2.278710e-03
45,1.014923e+00,3.622134e+00,2.216321e-03
46,1.037989e+00,4.618596e+00,2.389149e-03
47,1.061056e+00,4.893677e+00,3.323652e-03
48,1.084122e+00,4.493174e+00,3.443304e-03
49,1.107189e+00,3.660482e+00,2.873436e-03
50,1.130255e+00,2.697650e+00,1.855484e-03
51,1.153321e+00,1.816732e+00,1.404469e-03
52,1.176388e+00,1.131070e+00,1.262402e-03
53,1.199454e+00,6.531717e-01,1.101776e-03
54,1.222521e+00,3.520237e-01,9.321147e-04
55,1.245587e+00,1.790909e-01,7.669841e-04
56,1.268654e+00,8.909840e-02,5.792903e-04
57,1.291720e+00,4.913352e-02,4.411418e-04
58,1.314786e+00,4.180305e-02,4.123905e-04
59,1.337853e+00,6.043392e-02,4.636293e-04
60,1.360919e+00,1.058420e-01,4.901038e-04
61,1.383986e+00,1.835927e-01,6.433597e-04
62,1.407052e+00,2.997156e-01,6.791992e-04
63,1.430119e+00,4.532055e-01,6.957569e-04
64,1.453185e+00,6.277413e-01,6.768343e-04
65,1.476251e+00,7.971504e-01,8.595098e-04
66,1.499318e+00,9.234652e-01,1.147658e-03
67,1.522384e+00,9.711503e-01,1.289069e-03
68,1.545451e+00,9.289459e-01,1.200096e-03
69,1.568517e+00,8.082886e-01,9.767577e-04
70,1.591584e+00,6.417315e-01,6.042393e-04
71,1.614650e+00,4.662709e-01,5.362858e-04
72,1.637716e+00,3.167487e-01,6.300550e-04
73,1.660783e+00,2.189759e-01,7.292862e-04
74,1.683849e+00,1.917351e-01,8.453826e-04
75,1.706916e+00,2.546253e-01,1.031240e-03
76,1.729982e+00,4.333430e-01,1.261900e-03
77,1.753049e+00,7.489137e-01,1.201556e-03
78,1.776115e+00,1.198550e+00,1.115317e-03
79,1.799181e+00,1.726832e+00,8.630850e-04
80,1.822248e+00,2.234832e+00,1.257114e-03
81,1.845314e+00,2.596249e+00,1.982202e-03
82,1.868381e+00,2.715631e+00,2.345327e-03
83,1.891447e+00,2.557701e+00,2.271258e-03
84,1.914514e+00,2.181841e+00,1.546091e-03
85,1.937580e+00,1.690170e+00,8.490180e-04
86,1.960646e+00,1.201498e+00,7.843903e-04
87,1.983713e+00,8.010869e-01,1.169974e-03
88,2.006779e+00,5.414961e-01,1.260444e-03
89,2.029846e+00,4.334290e-01,1.243512e-03
90,2.052912e+00,4.608155e-01,1.033294e-03
91,2.075979e+00,5.868461e-01,7.931070e-04
92,2.099045e+00,7.581075e-01,5.247259e-04
93,2.122111e+00,9.176788e-01,5.720626e-04
94,2.145178e+00,1.014699e+00,8.388917e-04
95,2.168244e+00,1.022265e+00,1.046159e-03
96,2.191311e+00,9.204032e-01,8.325603e-04
97,2.214377e+00,7.808192e-01,5.273338e-04
98,2.237444e+00,6.532972e-01,6.832687e-04
99,2.260510e+00,5.714674e-01,1.027626e-03
100,2.283576e+00,5.723591e-01,1.244185e-03
