BLOCK,ACTUAL_KE,KE_AVE,ERROR
1,1.200000e+00,1.200000e+00,0.000000e+00
2,1.200000e+00,1.200000e+00,0.000000e+00
3,1.200000e+00,1.200000e+00,0.000000e+00
4,1.200000e+00,1.200000e+00,0.000000e+00
5,1.200000e+00,1.200000e+00,0.000000e+00
6,1.200000e+00,1.200000e+00,8.603189e-09
7,1.200000e+00,1.200000e+00,7.965006e-09
8,1.200000e+00,1.200000e+00,7.450581e-09
9,1.200000e+00,1.200000e+00,7.024475e-09
10,1.200000e+00,1.200000e+00,6.664002e-09
11,1.200000e+00,1.200000e+00,6.353876e-09
12,1.200000e+00,1.200000e+00,6.083374e-09
13,1.200000e+00,1.200000e+00,5.844716e-09
14,1.200000e+00,1.200000e+00,5.632110e-09
15,1.200000e+00,1.200000e+00,0.000000e+00
16,1.200000e+00,1.200000e+00,0.000000e+00
17,1.200000e+00,1.200000e+00,0.000000e+00
18,1.200000e+00,1.200000e+00,4.967054e-09
19,1.200000e+00,1.200000e+00,4.834575e-09
20,1.200000e+00,1.200000e+00,4.712161e-09
21,1.200000e+00,1.200000e+00,4.598598e-09
22,1.200000e+00,1.200000e+00,7.103850e-09
23,1.200000e+00,1.200000e+00,6.947702e-09
24,1.200000e+00,1.200000e+00,6.801418e-09
25,1.200000e+00,1.200000e+00,6.664002e-09
26,1.200000e+00,1.200000e+00,6.534591e-09
27,1.200000e+00,1.200000e+00,6.412439e-09
28,1.200000e+00,1.200000e+00,7.450581e-09
29,1.200000e+00,1.200000e+00,7.320995e-09
30,1.200000e+00,1.200000e+00,7.197945e-09
31,1.200000e+00,1.200000e+00,7.080897e-09
32,1.200000e+00,1.200000e+00,6.969380e-09
33,1.200000e+00,1.200000e+00,6.862971e-09
34,1.200000e+00,1.200000e+00,6.761292e-09
35,1.200000e+00,1.200000e+00,6.664002e-09
36,1.200000e+00,1.200000e+00,6.570794e-09
37,1.200000e+00,1.200000e+00,6.481392e-09
38,1.200000e+00,1.200000e+00,6.395542e-09
39,1.200000e+00,1.200000e+00,7.545496e-09
40,1.200000e+00,1.200000e+00,7.450581e-09
41,1.200000e+00,1.200000e+00,7.359159e-09
42,1.200000e+00,1.200000e+00,7.271022e-09
43,1.200000e+00,1.200000e+00,7.185978e-09
44,1.200000e+00,1.200000e+00,7.103850e-09
45,1.200000e+00,1.200000e+00,7.024475e-09
46,1.200000e+00,1.200000e+00,6.947702e-09
47,1.200000e+00,1.200000e+00,6.873393e-09
48,1.200000e+00,1.200000e+00,6.801418e-09
49,1.200000e+00,1.200000e+00,6.731658e-09
50,1.200000e+00,1.200000e+00,6.664002e-09
51,1.200000e+00,1.200000e+00,6.598345e-09
52,1.200000e+00,1.200000e+00,6.534591e-09
53,1.200000e+00,1.200000e+00,6.472651e-09
54,1.200000e+00,1.200000e+00,6.412439e-09
55,1.200000e+00,1.200000e+00,5.316034e-09
56,1.200000e+00,1.200000e+00,5.268356e-09
57,1.200000e+00,1.200000e+00,4.413343e-09
58,1.200000e+00,1.200000e+00,4.375132e-09
59,1.200000e+00,1.200000e+00,2.743526e-09
60,1.200000e+00,1.200000e+00,2.720567e-09
61,1.200000e+00,1.200000e+00,0.000000e+00
62,1.200000e+00,1.200000e+00,0.000000e+00
63,1.200000e+00,1.200000e+00,2.655002e-09
64,1.200000e+00,1.200000e+00,2.634178e-09
65,1.200000e+00,1.200000e+00,2.613837e-09
66,1.200000e+00,1.200000e+00,4.101410e-09
67,1.200000e+00,1.200000e+00,4.070687e-09
68,1.200000e+00,1.200000e+00,4.040645e-09
69,1.200000e+00,1.200000e+00,4.746184e-09
70,1.200000e+00,1.200000e+00,4.712161e-09
71,1.200000e+00,1.200000e+00,4.678859e-09
72,1.200000e+00,1.200000e+00,5.553335e-09
73,1.200000e+00,1.200000e+00,5.515167e-09
74,1.200000e+00,1.200000e+00,5.477776e-09
75,1.200000e+00,1.200000e+00,5.960464e-09
76,1.200000e+00,1.200000e+00,5.921121e-09
77,1.200000e+00,1.200000e+00,5.882547e-09
78,1.200000e+00,1.200000e+00,5.844716e-09
79,1.200000e+00,1.200000e+00,6.272932e-09
80,1.200000e+00,1.200000e+00,6.233603e-09
81,1.200000e+00,1.200000e+00,6.195004e-09
82,1.200000e+00,1.200000e+00,6.157114e-09
83,1.200000e+00,1.200000e+00,6.743813e-09
84,1.200000e+00,1.200000e+00,6.703551e-09
85,1.200000e+00,1.200000e+00,6.664002e-09
86,1.200000e+00,1.200000e+00,6.625144e-09
87,1.200000e+00,1.200000e+00,6.963656e-09
88,1.200000e+00,1.200000e+00,6.923976e-09
89,1.200000e+00,1.200000e+00,6.884968e-09
90,1.200000e+00,1.200000e+00,6.846611e-09
91,1.200000e+00,1.200000e+00,6.808888e-09
92,1.200000e+00,1.200000e+00,7.286812e-09
93,1.200000e+00,1.200000e+00,7.247529e-09
94,1.200000e+00,1.200000e+00,7.208876e-09
95,1.200000e+00,1.200000e+00,7.170834e-09
96,1.200000e+00,1.200000e+00,7.133388e-09
97,1.200000e+00,1.200000e+00,7.412076e-09
98,1.200000e+00,1.200000e+00,7.374162e-09
99,1.200000e+00,1.200000e+00,7.336825e-09
100,1.200000e+00,1.200000e+00,7.300048e-09
