BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-7.57556,-7.57556,0
2,-7.5352,-7.55538,0.0142689
3,-7.48507,-7.53195,0.0213696
4,-7.5294,-7.53131,0.0160367
5,-7.55326,-7.5357,0.0134167
6,-7.54757,-7.53768,0.0113255
7,-7.55889,-7.54071,0.0101049
8,-7.55541,-7.54255,0.00900739
9,-7.56415,-7.54495,0.00832027
10,-7.53744,-7.5442,0.00752204
11,-7.54909,-7.54464,0.00685137
12,-7.59671,-7.54898,0.00753017
13,-7.52356,-7.54702,0.00720032
14,-7.55016,-7.54725,0.00668948
15,-7.56619,-7.54851,0.00636154
16,-7.5494,-7.54857,0.00596418
17,-7.52994,-7.54747,0.00571307
18,-7.55932,-7.54813,0.00543349
19,-7.58082,-7.54985,0.00541313
20,-7.53255,-7.54899,0.00521111
21,-7.56473,-7.54973,0.00501662
22,-7.49753,-7.54736,0.00532024
23,-7.502,-7.54539,0.00544227
24,-7.56757,-7.54631,0.00529342
25,-7.51747,-7.54516,0.00520589
26,-7.53977,-7.54495,0.0050098
27,-7.50149,-7.54334,0.00507631
28,-7.51727,-7.54241,0.00497968
29,-7.56677,-7.54325,0.00487831
30,-7.56112,-7.54385,0.00475192
31,-7.56277,-7.54446,0.00463769
32,-7.51495,-7.54354,0.00458354
33,-7.5323,-7.5432,0.00445727
34,-7.61506,-7.54531,0.0048013
35,-7.54588,-7.54533,0.00466414
36,-7.52639,-7.5448,0.00456415
37,-7.58745,-7.54595,0.00458404
38,-7.54617,-7.54596,0.00446341
39,-7.5263,-7.54545,0.00437733
40,-7.52159,-7.54486,0.00430837
41,-7.48425,-7.54338,0.00444968
42,-7.55461,-7.54365,0.00435177
43,-7.55524,-7.54392,0.0042589
44,-7.52637,-7.54352,0.00418073
45,-7.59352,-7.54463,0.00423294
46,-7.58103,-7.54542,0.00421422
47,-7.48855,-7.54421,0.00429478
48,-7.55076,-7.54435,0.00420747
49,-7.57688,-7.54501,0.00417366
50,-7.58423,-7.54579,0.00416326
51,-7.5107,-7.54511,0.00413812
52,-7.54522,-7.54511,0.00405854
53,-7.55247,-7.54525,0.00398434
54,-7.54059,-7.54516,0.00391149
55,-7.5348,-7.54497,0.00384491
56,-7.54077,-7.5449,0.00377698
57,-7.56965,-7.54533,0.00373559
58,-7.59621,-7.54621,0.00377278
59,-7.54222,-7.54614,0.00370944
60,-7.5819,-7.54674,0.00369519
61,-7.5155,-7.54623,0.00366991
62,-7.53261,-7.54601,0.00361729
63,-7.4802,-7.54496,0.00370764
64,-7.62778,-7.54626,0.00386893
65,-7.5271,-7.54596,0.00382061
66,-7.53733,-7.54583,0.00376496
67,-7.51048,-7.5453,0.00374556
68,-7.57755,-7.54578,0.00372037
69,-7.519,-7.54539,0.00368664
70,-7.6012,-7.54619,0.00371919
71,-7.57429,-7.54658,0.00368782
72,-7.54051,-7.5465,0.00363756
73,-7.54983,-7.54654,0.00358802
74,-7.50637,-7.546,0.00358036
75,-7.55201,-7.54608,0.00353351
76,-7.57977,-7.54652,0.00351472
77,-7.55679,-7.54666,0.0034716
78,-7.53271,-7.54648,0.00343169
79,-7.51397,-7.54607,0.00341284
80,-7.56535,-7.54631,0.00337868
81,-7.52559,-7.54605,0.00334663
82,-7.48518,-7.54531,0.00338715
83,-7.53963,-7.54524,0.00334703
84,-7.51884,-7.54493,0.00332191
85,-7.55709,-7.54507,0.00328591
86,-7.50917,-7.54465,0.0032741
87,-7.5022,-7.54416,0.00327263
88,-7.51395,-7.54382,0.0032534
89,-7.5229,-7.54359,0.00322533
90,-7.48782,-7.54297,0.00324847
91,-7.58929,-7.54348,0.00325241
92,-7.55439,-7.54359,0.00321922
93,-7.57345,-7.54391,0.00320058
94,-7.56856,-7.54418,0.00317725
95,-7.54271,-7.54416,0.00314384
96,-7.53539,-7.54407,0.00311242
97,-7.51852,-7.54381,0.00309146
98,-7.53017,-7.54367,0.00306304
99,-7.52388,-7.54347,0.00303862
100,-7.50868,-7.54312,0.00302807
