BLOCK,ACTUAL_T,T_AVE,ERROR
1,8.000000e-01,8.000000e-01,0.000000e+00
2,8.000000e-01,8.000000e-01,0.000000e+00
3,8.000000e-01,8.000000e-01,0.000000e+00
4,8.000000e-01,8.000000e-01,0.000000e+00
5,8.000000e-01,8.000000e-01,0.000000e+00
6,8.000000e-01,8.000000e-01,0.000000e+00
7,8.000000e-01,8.000000e-01,5.632110e-09
8,8.000000e-01,8.000000e-01,0.000000e+00
9,8.000000e-01,8.000000e-01,0.000000e+00
10,8.000000e-01,8.000000e-01,3.332001e-09
11,8.000000e-01,8.000000e-01,3.176938e-09
12,8.000000e-01,8.000000e-01,3.041687e-09
13,8.000000e-01,8.000000e-01,5.844716e-09
14,8.000000e-01,8.000000e-01,5.632110e-09
15,8.000000e-01,8.000000e-01,6.083374e-09
16,8.000000e-01,8.000000e-01,5.890201e-09
17,8.000000e-01,8.000000e-01,5.714334e-09
18,8.000000e-01,8.000000e-01,6.083374e-09
19,8.000000e-01,8.000000e-01,5.921121e-09
20,8.000000e-01,8.000000e-01,5.771195e-09
21,8.000000e-01,8.000000e-01,5.632110e-09
22,8.000000e-01,8.000000e-01,5.023180e-09
23,8.000000e-01,8.000000e-01,4.912767e-09
24,8.000000e-01,8.000000e-01,4.301595e-09
25,8.000000e-01,8.000000e-01,4.214685e-09
26,8.000000e-01,8.000000e-01,2.922358e-09
27,8.000000e-01,8.000000e-01,2.867730e-09
28,8.000000e-01,8.000000e-01,1.991251e-09
29,8.000000e-01,8.000000e-01,1.956618e-09
30,8.000000e-01,8.000000e-01,1.923732e-09
31,8.000000e-01,8.000000e-01,0.000000e+00
32,8.000000e-01,8.000000e-01,0.000000e+00
33,8.000000e-01,8.000000e-01,0.000000e+00
34,8.000000e-01,8.000000e-01,2.555528e-09
35,8.000000e-01,8.000000e-01,2.518756e-09
36,8.000000e-01,8.000000e-01,2.483527e-09
37,8.000000e-01,8.000000e-01,2.449736e-09
38,8.000000e-01,8.000000e-01,2.417288e-09
39,8.000000e-01,8.000000e-01,2.386095e-09
40,8.000000e-01,8.000000e-01,2.356080e-09
41,8.000000e-01,8.000000e-01,1.645558e-09
42,8.000000e-01,8.000000e-01,1.625850e-09
43,8.000000e-01,8.000000e-01,2.272406e-09
44,8.000000e-01,8.000000e-01,2.246435e-09
45,8.000000e-01,8.000000e-01,2.221334e-09
46,8.000000e-01,8.000000e-01,2.197056e-09
47,8.000000e-01,8.000000e-01,2.173558e-09
48,8.000000e-01,8.000000e-01,2.150797e-09
49,8.000000e-01,8.000000e-01,2.128737e-09
50,8.000000e-01,8.000000e-01,2.980232e-09
51,8.000000e-01,8.000000e-01,2.950870e-09
52,8.000000e-01,8.000000e-01,2.922358e-09
53,8.000000e-01,8.000000e-01,3.236325e-09
54,8.000000e-01,8.000000e-01,3.512237e-09
55,8.000000e-01,8.000000e-01,3.480161e-09
56,8.000000e-01,8.000000e-01,3.725290e-09
57,8.000000e-01,8.000000e-01,3.692468e-09
58,8.000000e-01,8.000000e-01,3.913237e-09
59,8.000000e-01,8.000000e-01,4.337896e-09
60,8.000000e-01,8.000000e-01,4.301595e-09
61,8.000000e-01,8.000000e-01,4.474418e-09
62,8.000000e-01,8.000000e-01,4.438187e-09
63,8.000000e-01,8.000000e-01,4.598598e-09
64,8.000000e-01,8.000000e-01,4.562530e-09
65,8.000000e-01,8.000000e-01,4.527298e-09
66,8.000000e-01,8.000000e-01,4.676326e-09
67,8.000000e-01,8.000000e-01,4.641297e-09
68,8.000000e-01,8.000000e-01,4.607044e-09
69,8.000000e-01,8.000000e-01,4.746184e-09
70,8.000000e-01,8.000000e-01,4.712161e-09
71,8.000000e-01,8.000000e-01,4.678859e-09
72,8.000000e-01,8.000000e-01,4.967054e-09
73,8.000000e-01,8.000000e-01,4.932916e-09
74,8.000000e-01,8.000000e-01,4.899472e-09
75,8.000000e-01,8.000000e-01,5.016478e-09
76,8.000000e-01,8.000000e-01,4.983366e-09
77,8.000000e-01,8.000000e-01,4.950901e-09
78,8.000000e-01,8.000000e-01,4.919062e-09
79,8.000000e-01,8.000000e-01,5.029535e-09
80,8.000000e-01,8.000000e-01,4.998001e-09
81,8.000000e-01,8.000000e-01,4.967054e-09
82,8.000000e-01,8.000000e-01,4.797585e-09
83,8.000000e-01,8.000000e-01,4.768596e-09
84,8.000000e-01,8.000000e-01,4.598598e-09
85,8.000000e-01,8.000000e-01,4.276216e-09
86,8.000000e-01,8.000000e-01,4.251282e-09
87,8.000000e-01,8.000000e-01,4.073026e-09
88,8.000000e-01,8.000000e-01,3.890939e-09
89,8.000000e-01,8.000000e-01,3.869018e-09
90,8.000000e-01,8.000000e-01,3.683666e-09
91,8.000000e-01,8.000000e-01,3.313643e-09
92,8.000000e-01,8.000000e-01,3.295585e-09
93,8.000000e-01,8.000000e-01,2.890764e-09
94,8.000000e-01,8.000000e-01,3.073875e-09
95,8.000000e-01,8.000000e-01,2.860173e-09
96,8.000000e-01,8.000000e-01,2.845237e-09
97,8.000000e-01,8.000000e-01,2.392237e-09
98,8.000000e-01,8.000000e-01,2.380001e-09
99,8.000000e-01,8.000000e-01,2.117959e-09
100,8.000000e-01,8.000000e-01,2.356080e-09
