BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-6.340856e+00,-6.340856e+00,0.000000e+00
2,-6.346797e+00,-6.343827e+00,2.100446e-03
3,-6.331894e+00,-6.339849e+00,3.536612e-03
4,-6.338290e+00,-6.339459e+00,2.673855e-03
5,-6.330900e+00,-6.337747e+00,2.630639e-03
6,-6.333819e+00,-6.337093e+00,2.272218e-03
7,-6.360446e+00,-6.340429e+00,3.651485e-03
8,-6.352240e+00,-6.341905e+00,3.480754e-03
9,-6.328016e+00,-6.340362e+00,3.419048e-03
10,-6.374352e+00,-6.343761e+00,4.457238e-03
11,-6.328133e+00,-6.342340e+00,4.272473e-03
12,-6.360978e+00,-6.343893e+00,4.189240e-03
13,-6.341272e+00,-6.343692e+00,3.871841e-03
14,-6.364117e+00,-6.345151e+00,3.860390e-03
15,-6.344243e+00,-6.345090e+00,3.603505e-03
16,-6.368681e+00,-6.346565e+00,3.667555e-03
17,-6.363016e+00,-6.347532e+00,3.577208e-03
18,-6.345026e+00,-6.347393e+00,3.381184e-03
19,-6.365763e+00,-6.348360e+00,3.338597e-03
20,-6.333716e+00,-6.347628e+00,3.250970e-03
21,-6.349795e+00,-6.347731e+00,3.097799e-03
22,-6.354371e+00,-6.348033e+00,2.971659e-03
23,-6.355095e+00,-6.348340e+00,2.858274e-03
24,-6.345262e+00,-6.348212e+00,2.742055e-03
25,-6.352706e+00,-6.348391e+00,2.638258e-03
26,-6.341977e+00,-6.348145e+00,2.548295e-03
27,-6.348731e+00,-6.348166e+00,2.454006e-03
28,-6.358912e+00,-6.348550e+00,2.396185e-03
29,-6.352224e+00,-6.348677e+00,2.316904e-03
30,-6.342716e+00,-6.348478e+00,2.248177e-03
31,-6.365954e+00,-6.349042e+00,2.245221e-03
32,-6.356417e+00,-6.349272e+00,2.186856e-03
33,-6.370160e+00,-6.349905e+00,2.210292e-03
34,-6.351078e+00,-6.349940e+00,2.145553e-03
35,-6.351746e+00,-6.349991e+00,2.084872e-03
36,-6.317550e+00,-6.349090e+00,2.213161e-03
37,-6.353307e+00,-6.349204e+00,2.156279e-03
38,-6.345862e+00,-6.349116e+00,2.101328e-03
39,-6.342275e+00,-6.348941e+00,2.054757e-03
40,-6.331846e+00,-6.348513e+00,2.047350e-03
41,-6.345893e+00,-6.348450e+00,1.998412e-03
42,-6.360703e+00,-6.348741e+00,1.972013e-03
43,-6.350510e+00,-6.348782e+00,1.926581e-03
44,-6.338760e+00,-6.348555e+00,1.896212e-03
45,-6.345821e+00,-6.348494e+00,1.855047e-03
