BLOCK,GOFR_AVE,ERROR
1,0.742114,0.0377107
2,0.824437,0.0248819
3,0.870169,0.0269528
4,0.877256,0.026979
5,0.872886,0.0275672
6,0.876023,0.0282454
7,0.89492,0.0285391
8,0.912757,0.0299816
9,0.905859,0.0294986
10,0.916602,0.032585
11,0.905199,0.0300043
12,0.910709,0.03266
13,0.901954,0.0308457
14,0.914935,0.0312203
15,0.912204,0.0314423
16,0.92768,0.035051
17,0.92692,0.0322226
18,0.928897,0.034041
19,0.931238,0.0330521
20,0.941983,0.0344837
21,0.915356,0.0323626
22,0.896158,0.0317483
23,0.879238,0.0296657
24,0.901543,0.0317536
25,0.890605,0.0300139
26,0.87207,0.0283417
27,0.878289,0.0286822
28,0.896592,0.0350321
29,0.89142,0.0318724
30,0.930264,0.0358852
31,0.923067,0.0316791
32,0.915924,0.0319438
33,0.901839,0.0303002
34,0.897972,0.03264
35,0.867161,0.0313269
36,0.890362,0.0328171
37,0.88689,0.0304428
38,0.886106,0.0336655
39,0.909994,0.031345
40,0.898537,0.0299585
41,0.883238,0.0295105
42,0.923678,0.0342172
43,0.943707,0.0339727
44,0.927946,0.0348595
45,0.897224,0.0312394
46,0.906768,0.031063
47,0.926454,0.0321259
48,0.96697,0.0364355
49,0.953636,0.0345417
50,0.949404,0.0329188
