STEP,DISTANCE,AVE_GOFR,ERROR
1,0.000000e+00,0.000000e+00,0.000000e+00
2,3.231652e-02,0.000000e+00,0.000000e+00
3,6.463304e-02,0.000000e+00,0.000000e+00
4,9.694956e-02,0.000000e+00,0.000000e+00
5,1.292661e-01,0.000000e+00,0.000000e+00
6,1.615826e-01,0.000000e+00,0.000000e+00
7,1.938991e-01,0.000000e+00,0.000000e+00
8,2.262156e-01,0.000000e+00,0.000000e+00
9,2.585322e-01,0.000000e+00,0.000000e+00
10,2.908487e-01,0.000000e+00,0.000000e+00
11,3.231652e-01,0.000000e+00,0.000000e+00
12,3.554817e-01,0.000000e+00,0.000000e+00
13,3.877982e-01,0.000000e+00,0.000000e+00
14,4.201148e-01,0.000000e+00,0.000000e+00
15,4.524313e-01,0.000000e+00,0.000000e+00
16,4.847478e-01,0.000000e+00,0.000000e+00
17,5.170643e-01,0.000000e+00,0.000000e+00
18,5.493808e-01,0.000000e+00,0.000000e+00
19,5.816974e-01,0.000000e+00,0.000000e+00
20,6.140139e-01,0.000000e+00,0.000000e+00
21,6.463304e-01,0.000000e+00,0.000000e+00
22,6.786469e-01,0.000000e+00,0.000000e+00
23,7.109634e-01,0.000000e+00,0.000000e+00
24,7.432800e-01,0.000000e+00,0.000000e+00
25,7.755965e-01,0.000000e+00,0.000000e+00
26,8.079130e-01,0.000000e+00,0.000000e+00
27,8.402295e-01,0.000000e+00,0.000000e+00
28,8.725460e-01,2.320788e-03,9.198625e-04
29,9.048626e-01,4.461351e-02,5.706669e-03
30,9.371791e-01,2.479461e-01,1.353797e-02
31,9.694956e-01,6.995925e-01,2.563539e-02
32,1.001812e+00,1.300395e+00,3.731348e-02
33,1.034129e+00,1.757802e+00,4.472888e-02
34,1.066445e+00,2.002045e+00,5.730288e-02
35,1.098762e+00,2.029172e+00,5.833386e-02
36,1.131078e+00,2.044074e+00,6.399269e-02
37,1.163395e+00,1.921478e+00,5.719657e-02
38,1.195711e+00,1.821347e+00,5.735274e-02
