BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-0.0352763,-0.0352763,0
2,-0.0358334,-0.0355549,0.000196987
3,-0.0371173,-0.0360757,0.000445065
4,-0.0391078,-0.0368337,0.00073646
5,-0.0418427,-0.0378355,0.00107238
6,-0.0455831,-0.0391268,0.00147922
7,-0.0508111,-0.040796,0.00199893
8,-0.0584176,-0.0429987,0.00270272
9,-0.0699962,-0.0459984,0.00371081
10,-0.0840422,-0.0498028,0.00491729
11,-0.0760084,-0.0521851,0.00501426
12,-0.118979,-0.0577513,0.00703758
13,-0.144723,-0.0644414,0.0091387
14,-0.147088,-0.0703448,0.0102162
15,-0.147577,-0.0754935,0.0107546
16,-0.168581,-0.0813115,0.0115494
17,-0.1896,-0.0876814,0.0125039
18,-0.180005,-0.0928105,0.0128181
19,-0.212853,-0.0991286,0.0136118
20,-0.233025,-0.105823,0.0144843
