BLOCK,ACTUAL_P,P_AVE,ERROR
1,0.0513965,0.0513965,0
2,0.0514135,0.051405,6.00002e-06
3,0.0514491,0.0514197,1.26325e-05
4,0.0515064,0.0514414,2.10184e-05
5,0.05159,0.0514711,3.14619e-05
6,0.0517079,0.0515106,4.4557e-05
7,0.0518747,0.0515626,6.14693e-05
8,0.052119,0.0516321,8.44135e-05
9,0.0524928,0.0517278,0.000117301
10,0.0529611,0.0518511,0.000157588
11,0.0527546,0.0519332,0.00016327
12,0.0541074,0.0521144,0.000229109
13,0.0549656,0.0523337,0.00029854
14,0.0551177,0.0525326,0.000336998
15,0.0551925,0.0527099,0.00035816
16,0.0558631,0.052907,0.000386205
17,0.0565373,0.0531205,0.000418382
18,0.0562357,0.0532936,0.000429444
19,0.0572214,0.0535003,0.000453878
20,0.0578448,0.0537176,0.00048036
