BLOCK,ACTUAL_T,T_AVE,ERROR
1,1.023337e+00,1.023337e+00,0.000000e+00
2,1.127839e+00,1.075588e+00,3.694682e-02
3,1.173614e+00,1.108263e+00,3.631082e-02
4,1.203197e+00,1.131997e+00,3.411894e-02
5,1.218666e+00,1.149330e+00,3.139099e-02
6,1.201969e+00,1.158104e+00,2.735765e-02
7,1.210962e+00,1.165655e+00,2.446938e-02
8,1.214978e+00,1.171820e+00,2.217384e-02
9,1.246490e+00,1.180117e+00,2.120550e-02
10,1.241652e+00,1.186270e+00,1.995782e-02
11,1.209408e+00,1.188374e+00,1.825398e-02
12,1.204648e+00,1.189730e+00,1.678312e-02
13,1.191160e+00,1.189840e+00,1.549247e-02
14,1.210419e+00,1.191310e+00,1.445543e-02
15,1.240988e+00,1.194622e+00,1.386594e-02
16,1.251781e+00,1.198194e+00,1.345165e-02
17,1.240043e+00,1.200656e+00,1.288366e-02
18,1.246368e+00,1.203196e+00,1.241567e-02
19,1.219182e+00,1.204037e+00,1.179069e-02
20,1.209878e+00,1.204329e+00,1.120478e-02
21,1.216825e+00,1.204924e+00,1.068701e-02
22,1.212394e+00,1.205264e+00,1.020663e-02
23,1.193122e+00,1.204736e+00,9.776501e-03
24,1.212509e+00,1.205060e+00,9.374510e-03
25,1.215717e+00,1.205486e+00,9.009218e-03
26,1.216729e+00,1.205918e+00,8.673082e-03
27,1.204077e+00,1.205850e+00,8.352125e-03
28,1.207961e+00,1.205926e+00,8.054175e-03
29,1.197366e+00,1.205630e+00,7.781851e-03
30,1.191096e+00,1.205146e+00,7.537523e-03
31,1.179662e+00,1.204324e+00,7.339067e-03
32,1.227886e+00,1.205060e+00,7.146563e-03
33,1.214265e+00,1.205339e+00,6.935441e-03
34,1.238673e+00,1.206319e+00,6.800401e-03
35,1.233952e+00,1.207109e+00,6.651775e-03
36,1.253999e+00,1.208411e+00,6.593292e-03
37,1.215716e+00,1.208609e+00,6.418049e-03
38,1.230808e+00,1.209193e+00,6.275684e-03
39,1.224539e+00,1.209587e+00,6.127092e-03
40,1.243497e+00,1.210434e+00,6.032280e-03
41,1.219136e+00,1.210647e+00,5.888884e-03
42,1.251389e+00,1.211617e+00,5.828022e-03
43,1.214782e+00,1.211690e+00,5.692951e-03
44,1.204282e+00,1.211522e+00,5.566055e-03
45,1.244445e+00,1.212253e+00,5.490238e-03
46,1.213886e+00,1.212289e+00,5.370999e-03
47,1.192482e+00,1.211868e+00,5.273230e-03
48,1.190205e+00,1.211416e+00,5.182648e-03
49,1.184172e+00,1.210860e+00,5.106616e-03
50,1.207520e+00,1.210793e+00,5.004921e-03
