BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,1.426515e+00,1.426515e+00,0.000000e+00
2,1.426414e+00,1.426465e+00,3.543600e-05
3,1.426363e+00,1.426431e+00,3.633911e-05
4,1.426295e+00,1.426397e+00,4.014186e-05
5,1.426305e+00,1.426378e+00,3.602352e-05
6,1.426349e+00,1.426374e+00,3.035408e-05
7,1.426272e+00,1.426359e+00,2.925298e-05
8,1.426174e+00,1.426336e+00,3.352639e-05
9,1.426228e+00,1.426324e+00,3.186281e-05
10,1.426332e+00,1.426325e+00,2.868738e-05
11,1.426254e+00,1.426318e+00,2.678671e-05
12,1.426372e+00,1.426323e+00,2.492130e-05
13,1.426307e+00,1.426322e+00,2.303320e-05
14,1.426286e+00,1.426319e+00,2.152976e-05
15,1.426274e+00,1.426316e+00,2.030630e-05
16,1.426307e+00,1.426315e+00,1.904554e-05
17,1.426291e+00,1.426314e+00,1.797979e-05
18,1.426262e+00,1.426311e+00,1.721099e-05
19,1.426267e+00,1.426309e+00,1.646261e-05
20,1.426345e+00,1.426311e+00,1.573627e-05
21,1.426298e+00,1.426310e+00,1.499827e-05
22,1.426314e+00,1.426310e+00,1.431771e-05
23,1.426286e+00,1.426309e+00,1.373295e-05
24,1.426173e+00,1.426304e+00,1.428037e-05
25,1.426141e+00,1.426297e+00,1.511342e-05
26,1.426265e+00,1.426296e+00,1.458368e-05
27,1.426286e+00,1.426295e+00,1.404797e-05
28,1.426326e+00,1.426296e+00,1.358861e-05
29,1.426242e+00,1.426295e+00,1.324729e-05
30,1.426299e+00,1.426295e+00,1.280659e-05
31,1.426234e+00,1.426293e+00,1.254243e-05
32,1.426207e+00,1.426290e+00,1.243399e-05
33,1.426272e+00,1.426290e+00,1.206928e-05
34,1.426169e+00,1.426286e+00,1.222471e-05
35,1.426021e+00,1.426278e+00,1.402355e-05
36,1.425987e+00,1.426270e+00,1.580299e-05
37,1.426073e+00,1.426265e+00,1.625325e-05
38,1.425994e+00,1.426258e+00,1.731485e-05
39,1.425971e+00,1.426251e+00,1.836617e-05
40,1.426028e+00,1.426245e+00,1.872924e-05
41,1.426192e+00,1.426244e+00,1.831653e-05
42,1.426259e+00,1.426244e+00,1.788399e-05
43,1.426370e+00,1.426247e+00,1.770540e-05
44,1.426232e+00,1.426247e+00,1.730627e-05
45,1.426221e+00,1.426246e+00,1.693108e-05
46,1.426310e+00,1.426247e+00,1.661974e-05
47,1.426293e+00,1.426248e+00,1.629392e-05
48,1.426323e+00,1.426250e+00,1.602911e-05
49,1.426245e+00,1.426250e+00,1.570228e-05
50,1.426282e+00,1.426251e+00,1.540137e-05
