BLOCK,GOFR_AVE,ERROR
1,0.891539,0.0291335
2,0.896707,0.0303495
3,0.89033,0.0305767
4,0.880578,0.0292918
5,0.904282,0.0310689
6,0.893308,0.0288557
7,0.891025,0.0279483
8,0.939993,0.0314126
9,0.96971,0.0315673
10,0.952626,0.0317698
11,0.911317,0.0315713
12,0.893101,0.0303513
13,0.877209,0.0280808
14,0.89457,0.0286082
15,0.933713,0.0309027
16,0.96847,0.0363138
17,0.940157,0.0316764
18,0.909235,0.0304529
19,0.865207,0.0269445
20,0.873032,0.0293693
21,0.902819,0.0303897
22,0.88703,0.0281616
23,0.876223,0.0285068
24,0.88961,0.030019
25,0.895362,0.0303737
26,0.905456,0.0297501
27,0.904368,0.0295295
28,0.909022,0.0304959
29,0.926576,0.0315459
30,0.95092,0.0340887
31,0.928124,0.0316367
32,0.934171,0.0338132
33,0.912679,0.0323157
34,0.885699,0.0290622
35,0.888147,0.0297725
36,0.904705,0.0309229
37,0.90395,0.0308798
38,0.904968,0.0312485
39,0.88918,0.0299739
40,0.907379,0.0305647
41,0.95333,0.0340895
42,0.992912,0.0373984
43,0.96026,0.0352914
44,0.970506,0.0372658
45,0.983299,0.0380857
46,0.954166,0.0338765
47,0.93222,0.032476
48,0.912958,0.0329044
49,0.890555,0.0307324
50,0.868927,0.027653
