STEP,DISTANCE,AVE_GOFR,ERROR
1,0,0,0
2,0.0323165,0,0
3,0.064633,0,0
4,0.0969496,0,0
5,0.129266,0,0
6,0.161583,0,0
7,0.193899,0,0
8,0.226216,0,0
9,0.258532,0,0
10,0.290849,0,0
11,0.323165,0,0
12,0.355482,0,0
13,0.387798,0,0
14,0.420115,0,0
15,0.452431,0,0
16,0.484748,0,0
17,0.517064,0,0
18,0.549381,0,0
19,0.581697,0,0
20,0.614014,0,0
21,0.64633,0,0
22,0.678647,0,0
23,0.710963,0,0
24,0.74328,0,0
25,0.775596,0,0
26,0.807913,0,0
27,0.84023,0,0
28,0.872546,0.000323294,0.000320045
29,0.904863,0.0404102,0.00386757
30,0.937179,0.269258,0.0124816
31,0.969496,0.768604,0.0239731
32,1.00181,1.29634,0.0387723
33,1.03413,1.72644,0.0415609
34,1.06645,2.03843,0.0443738
35,1.09876,2.18751,0.0504932
36,1.13108,2.18145,0.055369
37,1.16339,2.03973,0.047198
38,1.19571,1.90531,0.0450913
39,1.22803,1.78929,0.0421467
40,1.26034,1.69878,0.0437579
41,1.29266,1.55829,0.0406088
42,1.32498,1.51,0.0428998
43,1.35729,1.41956,0.0325616
44,1.38961,1.35422,0.0323044
45,1.42193,1.33435,0.0375359
46,1.45424,1.27584,0.0282304
47,1.48656,1.20268,0.0288447
48,1.51888,1.17319,0.0257118
49,1.55119,1.17161,0.0304243
50,1.58351,1.12567,0.0264794
51,1.61583,1.13135,0.0256923
52,1.64814,1.13188,0.0238499
53,1.68046,1.09053,0.0253225
54,1.71278,1.07788,0.0241049
55,1.74509,1.06041,0.0228721
56,1.77741,1.04696,0.0214842
57,1.80973,1.05771,0.020112
58,1.84204,1.04821,0.0187625
59,1.87436,1.05568,0.0184255
60,1.90667,1.03239,0.0171139
61,1.93899,1.02768,0.0167129
62,1.97131,1.0395,0.0186603
63,2.00362,1.04748,0.0170532
64,2.03594,1.05032,0.0220164
65,2.06826,1.03024,0.0194457
66,2.10057,1.05875,0.0204884
67,2.13289,1.04443,0.0181021
68,2.16521,1.02527,0.018109
69,2.19752,1.0444,0.0169805
70,2.22984,1.06172,0.0163326
71,2.26216,1.04629,0.0152859
72,2.29447,1.03394,0.0170589
73,2.32679,1.02599,0.0138141
74,2.35911,1.03327,0.0155378
75,2.39142,1.01564,0.0160587
76,2.42374,1.0093,0.0141841
77,2.45606,1.02386,0.0160824
78,2.48837,1.00287,0.0146519
79,2.52069,1.00754,0.0145119
80,2.55301,1.02933,0.0151045
81,2.58532,1.02951,0.0149827
82,2.61764,1.02896,0.0162278
83,2.64995,1.03819,0.0156282
84,2.68227,1.04172,0.0134709
85,2.71459,1.01954,0.0116557
86,2.7469,1.0292,0.0133823
87,2.77922,1.04448,0.0141021
88,2.81154,1.03852,0.0146564
89,2.84385,1.0346,0.0129915
90,2.87617,1.02768,0.0126086
91,2.90849,1.00047,0.0104649
92,2.9408,1.0077,0.00929557
93,2.97312,1.0168,0.0113792
94,3.00544,1.00549,0.0121571
95,3.03775,1.00986,0.0142828
96,3.07007,1.0136,0.0110073
97,3.10239,1.01284,0.00855818
98,3.1347,1.00572,0.010125
99,3.16702,0.996065,0.00910077
100,3.19934,0.995811,0.00922522
101,3.23165,1.00208,0.00928462
102,3.26397,1.00523,0.0114659
103,3.29629,1.02661,0.0129945
104,3.3286,1.02525,0.0112674
105,3.36092,1.01241,0.00854114
106,3.39323,1.00874,0.00856116
107,3.42555,1.00463,0.0108991
108,3.45787,1.01195,0.00954871
109,3.49018,0.999389,0.0115065
110,3.5225,1.00597,0.0119623
111,3.55482,0.996834,0.0110321
112,3.58713,0.983505,0.00933655
113,3.61945,0.99304,0.00926334
114,3.65177,1.00812,0.00808972
115,3.68408,1.00193,0.00895288
116,3.7164,1.01111,0.010573
117,3.74872,1.0015,0.0102088
118,3.78103,1.00393,0.0101118
119,3.81335,1.00868,0.0105421
120,3.84567,0.999294,0.00884495
121,3.87798,1.0002,0.00977416
122,3.9103,0.994023,0.00897635
123,3.94262,0.993568,0.00939533
124,3.97493,0.992422,0.00993966
125,4.00725,0.990373,0.00873109
126,4.03957,0.994359,0.00873947
127,4.07188,0.995172,0.0100023
128,4.1042,1.00277,0.0081394
129,4.13651,0.999412,0.00722049
130,4.16883,1.00444,0.00698158
131,4.20115,1.00458,0.00839093
132,4.23346,1.01205,0.00826345
133,4.26578,1.00664,0.00803529
134,4.2981,1.00892,0.00727495
135,4.33041,1.00448,0.00748405
136,4.36273,0.994859,0.00736251
137,4.39505,0.998393,0.00736658
138,4.42736,1.00089,0.00826728
139,4.45968,1.00013,0.00772744
140,4.492,1.00478,0.00833561
141,4.52431,1.00075,0.00788661
142,4.55663,1.0036,0.00789928
143,4.58895,0.997406,0.00778861
144,4.62126,0.997259,0.00688487
145,4.65358,0.990501,0.00738163
146,4.6859,0.986497,0.00624522
147,4.71821,0.992991,0.00590932
148,4.75053,0.995086,0.00605725
149,4.78285,1.00008,0.00684688
150,4.81516,1.00029,0.00818752
151,4.84748,1.00124,0.00782127
152,4.87979,1.00439,0.00905112
153,4.91211,1.00342,0.00772669
154,4.94443,1.00581,0.00777501
155,4.97674,0.997949,0.00641646
156,5.00906,0.99424,0.00660775
157,5.04138,0.997734,0.00688563
158,5.07369,1.00041,0.00629107
159,5.10601,0.990707,0.00613994
160,5.13833,0.996165,0.00606696
161,5.17064,0.999802,0.00597933
162,5.20296,0.998308,0.00657162
163,5.23528,1.00659,0.00728743
164,5.26759,0.996061,0.00581411
165,5.29991,0.999653,0.00724937
166,5.33223,1.0012,0.00673641
167,5.36454,1.00277,0.00764775
168,5.39686,1.00796,0.00658024
