BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-3.763434e-01,-3.763434e-01,0.000000e+00
2,-3.830251e-01,-3.796843e-01,2.362317e-03
3,-3.756226e-01,-3.783304e-01,1.924116e-03
4,-3.350560e-01,-3.675118e-01,9.479672e-03
5,-3.865497e-01,-3.713194e-01,8.313313e-03
6,-3.645674e-01,-3.701940e-01,7.003512e-03
7,-3.440999e-01,-3.664663e-01,6.924377e-03
8,-4.076844e-01,-3.716185e-01,7.741897e-03
9,-4.053282e-01,-3.753641e-01,7.734840e-03
10,-4.074872e-01,-3.785764e-01,7.599181e-03
11,-3.963054e-01,-3.801881e-01,7.077201e-03
12,-3.797839e-01,-3.801544e-01,6.487514e-03
13,-3.484499e-01,-3.777156e-01,6.430559e-03
14,-3.599337e-01,-3.764455e-01,6.095379e-03
15,-4.009746e-01,-3.780808e-01,5.904305e-03
16,-4.760104e-01,-3.842014e-01,8.109242e-03
17,-4.108299e-01,-3.857677e-01,7.782039e-03
18,-3.858750e-01,-3.857737e-01,7.349706e-03
19,-3.310282e-01,-3.828924e-01,7.506454e-03
20,-3.714430e-01,-3.823199e-01,7.152927e-03
21,-3.933237e-01,-3.828439e-01,6.831477e-03
22,-3.488913e-01,-3.813006e-01,6.693010e-03
23,-3.500922e-01,-3.799437e-01,6.538105e-03
24,-3.884514e-01,-3.802982e-01,6.275287e-03
25,-3.878235e-01,-3.805992e-01,6.031490e-03
26,-3.703916e-01,-3.802066e-01,5.812273e-03
27,-3.763470e-01,-3.800637e-01,5.598761e-03
28,-3.830656e-01,-3.801709e-01,5.399832e-03
29,-4.060800e-01,-3.810643e-01,5.287024e-03
30,-4.495540e-01,-3.833473e-01,5.581978e-03
31,-4.113035e-01,-3.842491e-01,5.474278e-03
32,-4.490574e-01,-3.862743e-01,5.665465e-03
33,-4.218955e-01,-3.873538e-01,5.595670e-03
34,-3.685227e-01,-3.867999e-01,5.458433e-03
35,-3.720534e-01,-3.863786e-01,5.318714e-03
36,-3.826811e-01,-3.862759e-01,5.171964e-03
37,-3.962329e-01,-3.865450e-01,5.039177e-03
38,-3.905836e-01,-3.866513e-01,4.907688e-03
39,-3.769918e-01,-3.864036e-01,4.788095e-03
40,-3.931786e-01,-3.865730e-01,4.671388e-03
41,-4.391624e-01,-3.878556e-01,4.730272e-03
42,-4.925793e-01,-3.903491e-01,5.233715e-03
43,-4.603929e-01,-3.919780e-01,5.359500e-03
44,-4.792646e-01,-3.939618e-01,5.592799e-03
45,-5.059140e-01,-3.964496e-01,5.996366e-03
46,-4.459643e-01,-3.975260e-01,5.961840e-03
47,-4.210569e-01,-3.980267e-01,5.855977e-03
48,-4.238304e-01,-3.985642e-01,5.758599e-03
49,-3.914949e-01,-3.984200e-01,5.642884e-03
50,-3.416844e-01,-3.972853e-01,5.642961e-03
