BLOCK,ACTUAL_P,P_AVE,ERROR
1,5.326358e-02,5.326358e-02,0.000000e+00
2,5.352227e-02,5.339292e-02,9.145773e-05
3,5.328513e-02,5.335699e-02,6.766353e-05
4,5.193549e-02,5.300162e-02,3.119202e-04
5,5.363941e-02,5.312917e-02,2.743813e-04
6,5.290001e-02,5.309098e-02,2.312942e-04
7,5.220356e-02,5.296420e-02,2.303901e-04
8,5.431468e-02,5.313301e-02,2.560733e-04
9,5.424923e-02,5.325704e-02,2.558985e-04
10,5.432966e-02,5.336430e-02,2.517872e-04
11,5.392542e-02,5.341531e-02,2.340076e-04
12,5.342093e-02,5.341578e-02,2.145075e-04
13,5.237087e-02,5.333540e-02,2.125333e-04
14,5.274914e-02,5.329353e-02,2.014355e-04
15,5.412682e-02,5.334908e-02,1.955168e-04
16,5.661097e-02,5.355295e-02,2.693741e-04
17,5.443646e-02,5.360492e-02,2.584935e-04
18,5.361074e-02,5.360524e-02,2.441330e-04
19,5.177765e-02,5.350905e-02,2.495147e-04
20,5.313567e-02,5.349038e-02,2.377364e-04
21,5.388612e-02,5.350923e-02,2.271613e-04
22,5.238963e-02,5.345834e-02,2.224633e-04
23,5.242752e-02,5.341352e-02,2.172586e-04
24,5.369631e-02,5.342530e-02,2.085255e-04
25,5.368348e-02,5.343563e-02,2.004400e-04
26,5.315326e-02,5.342477e-02,1.930248e-04
27,5.329652e-02,5.342002e-02,1.859342e-04
28,5.352783e-02,5.342387e-02,1.793335e-04
29,5.428716e-02,5.345364e-02,1.756030e-04
30,5.574334e-02,5.352996e-02,1.855963e-04
31,5.443452e-02,5.355914e-02,1.818886e-04
32,5.570722e-02,5.362627e-02,1.881844e-04
33,5.480101e-02,5.366187e-02,1.858183e-04
34,5.303517e-02,5.364343e-02,1.812650e-04
35,5.311063e-02,5.362821e-02,1.767240e-04
36,5.353471e-02,5.362561e-02,1.718341e-04
37,5.393610e-02,5.363401e-02,1.673947e-04
38,5.376725e-02,5.363751e-02,1.630263e-04
39,5.329295e-02,5.362868e-02,1.590854e-04
40,5.384199e-02,5.363401e-02,1.551976e-04
41,5.538443e-02,5.367670e-02,1.571749e-04
42,5.714026e-02,5.375917e-02,1.737246e-04
43,5.606386e-02,5.381277e-02,1.777602e-04
44,5.670523e-02,5.387850e-02,1.854776e-04
45,5.757014e-02,5.396054e-02,1.986715e-04
46,5.558615e-02,5.399588e-02,1.974706e-04
47,5.479162e-02,5.401281e-02,1.939936e-04
48,5.486493e-02,5.403056e-02,1.907626e-04
49,5.379075e-02,5.402567e-02,1.869322e-04
50,5.214072e-02,5.398797e-02,1.869564e-04
