BLOCK,ACTUAL_T,T_AVE,ERROR
1,1.20175,1.20175,0
2,1.20617,1.20396,0.00156256
3,1.20124,1.20305,0.00127811
4,1.17416,1.19583,0.00632999
5,1.20852,1.19837,0.00554948
6,1.19394,1.19763,0.00467345
7,1.18016,1.19513,0.00462447
8,1.2225,1.19855,0.0051588
9,1.22088,1.20104,0.00514766
10,1.22233,1.20316,0.00505409
11,1.21502,1.20424,0.00470805
12,1.20402,1.20422,0.00431575
13,1.18313,1.2026,0.00427795
14,1.1908,1.20176,0.00405462
15,1.21809,1.20285,0.00392775
16,1.26811,1.20693,0.00539978
17,1.22468,1.20797,0.00518216
18,1.20809,1.20798,0.00489427
19,1.17156,1.20606,0.00499793
20,1.19854,1.20568,0.00476214
21,1.2131,1.20604,0.00454846
22,1.18346,1.20501,0.00445597
23,1.18421,1.20411,0.00435307
24,1.20987,1.20435,0.00417832
25,1.20945,1.20455,0.00401618
26,1.19779,1.20429,0.00387011
27,1.20169,1.20419,0.00372798
28,1.20618,1.20427,0.00359551
29,1.22147,1.20486,0.00352014
30,1.25047,1.20638,0.0037167
31,1.22499,1.20698,0.00364495
32,1.25021,1.20833,0.00377306
33,1.23214,1.20905,0.00372709
34,1.19657,1.20869,0.00363552
35,1.19886,1.2084,0.00354246
36,1.2059,1.20833,0.00344474
37,1.21499,1.20851,0.00335634
38,1.21122,1.20859,0.00326877
39,1.20217,1.20842,0.00318909
40,1.21293,1.20853,0.00311135
41,1.24348,1.20939,0.00315004
42,1.27905,1.21104,0.00348446
43,1.25769,1.21213,0.00356826
44,1.27025,1.21345,0.00372364
45,1.28806,1.21511,0.003993
46,1.2481,1.21583,0.00397007
47,1.23153,1.21616,0.00389964
48,1.23344,1.21652,0.00383498
49,1.21187,1.21643,0.00375789
50,1.17868,1.21567,0.0037578
