BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,1.426285e+00,1.426285e+00,0.000000e+00
2,1.426232e+00,1.426259e+00,1.846978e-05
3,1.426239e+00,1.426252e+00,1.343401e-05
4,1.426177e+00,1.426233e+00,1.915326e-05
5,1.426230e+00,1.426232e+00,1.533605e-05
6,1.426338e+00,1.426250e+00,2.053116e-05
7,1.426138e+00,1.426234e+00,2.298255e-05
8,1.426067e+00,1.426213e+00,2.804197e-05
9,1.425995e+00,1.426189e+00,3.382947e-05
10,1.426004e+00,1.426170e+00,3.515553e-05
11,1.426217e+00,1.426175e+00,3.221824e-05
12,1.426250e+00,1.426181e+00,3.013425e-05
13,1.426244e+00,1.426186e+00,2.820256e-05
14,1.426261e+00,1.426191e+00,2.669858e-05
15,1.426157e+00,1.426189e+00,2.501723e-05
16,1.426156e+00,1.426187e+00,2.353839e-05
17,1.426190e+00,1.426187e+00,2.215465e-05
18,1.426262e+00,1.426191e+00,2.131551e-05
19,1.426310e+00,1.426197e+00,2.108345e-05
20,1.426372e+00,1.426206e+00,2.175903e-05
21,1.426329e+00,1.426212e+00,2.149997e-05
22,1.426300e+00,1.426216e+00,2.088925e-05
23,1.426217e+00,1.426216e+00,1.998112e-05
24,1.426357e+00,1.426222e+00,1.999578e-05
25,1.426358e+00,1.426227e+00,1.992403e-05
26,1.426297e+00,1.426230e+00,1.933522e-05
27,1.426185e+00,1.426228e+00,1.869168e-05
28,1.426209e+00,1.426228e+00,1.803701e-05
29,1.426128e+00,1.426224e+00,1.774147e-05
30,1.426155e+00,1.426222e+00,1.729775e-05
31,1.426177e+00,1.426221e+00,1.679954e-05
32,1.426252e+00,1.426222e+00,1.630300e-05
33,1.426321e+00,1.426225e+00,1.608286e-05
34,1.426329e+00,1.426228e+00,1.590194e-05
35,1.426238e+00,1.426228e+00,1.545016e-05
36,1.426170e+00,1.426226e+00,1.510306e-05
37,1.426257e+00,1.426227e+00,1.471757e-05
38,1.426245e+00,1.426228e+00,1.433754e-05
39,1.426264e+00,1.426229e+00,1.399957e-05
40,1.426212e+00,1.426228e+00,1.365540e-05
41,1.426055e+00,1.426224e+00,1.396184e-05
42,1.425995e+00,1.426218e+00,1.465526e-05
43,1.426136e+00,1.426216e+00,1.443994e-05
44,1.426111e+00,1.426214e+00,1.431069e-05
45,1.426179e+00,1.426213e+00,1.401378e-05
46,1.426181e+00,1.426213e+00,1.372672e-05
47,1.426239e+00,1.426213e+00,1.344575e-05
48,1.426331e+00,1.426216e+00,1.338796e-05
49,1.426315e+00,1.426218e+00,1.326830e-05
50,1.426331e+00,1.426220e+00,1.319516e-05
