BLOCK,GOFR_AVE,ERROR
1,0.709988,0.0467112
2,0.708591,0.0465653
3,0.710469,0.0467129
4,0.709312,0.0461812
5,0.708107,0.0466846
6,0.709775,0.0466835
7,0.70873,0.0462328
8,0.710154,0.0461123
9,0.709701,0.0464929
10,0.709207,0.0462017
11,0.709074,0.0462613
12,0.708991,0.0463027
13,0.711283,0.0462458
14,0.709741,0.046195
15,0.708746,0.0463921
16,0.709989,0.046549
17,0.709818,0.0460759
18,0.710221,0.0467363
19,0.70952,0.0463247
20,0.709273,0.0462468
21,0.708722,0.0465153
22,0.708693,0.0465531
23,0.708466,0.0467623
24,0.70942,0.0465608
25,0.70826,0.0466159
26,0.708607,0.0466638
27,0.709218,0.0462713
28,0.708955,0.0460589
29,0.709284,0.0460349
30,0.709649,0.0460016
31,0.709335,0.0462677
32,0.708168,0.0462856
33,0.710097,0.0463787
34,0.70846,0.0463266
35,0.709751,0.0461874
36,0.709484,0.0463941
37,0.710243,0.0462974
38,0.708523,0.0463545
39,0.709888,0.0464145
40,0.709747,0.0461556
41,0.708579,0.0462753
42,0.708793,0.0468283
43,0.708838,0.0465519
44,0.709873,0.046237
45,0.708754,0.0464528
46,0.70857,0.0460979
47,0.708833,0.0461438
48,0.709708,0.0463629
49,0.708241,0.0466957
50,0.709499,0.0462245
