STEP,DISTANCE,AVE_GOFR,ERROR
1,0,0,0
2,0.0128248,0,0
3,0.0256496,0,0
4,0.0384745,0,0
5,0.0512993,0,0
6,0.0641241,0,0
7,0.0769489,0,0
8,0.0897737,0,0
9,0.102599,0,0
10,0.115423,0,0
11,0.128248,0,0
12,0.141073,0,0
13,0.153898,0,0
14,0.166723,0,0
15,0.179547,0,0
16,0.192372,0,0
17,0.205197,0,0
18,0.218022,0,0
19,0.230847,0,0
20,0.243672,0,0
21,0.256496,0,0
22,0.269321,0,0
23,0.282146,0,0
24,0.294971,0,0
25,0.307796,0,0
26,0.32062,0,0
27,0.333445,0,0
28,0.34627,0,0
29,0.359095,0,0
30,0.37192,0,0
31,0.384745,0,0
32,0.397569,0,0
33,0.410394,0,0
34,0.423219,0,0
35,0.436044,0,0
36,0.448869,0,0
37,0.461694,0,0
38,0.474518,0,0
39,0.487343,0,0
40,0.500168,0,0
41,0.512993,0,0
42,0.525818,0,0
43,0.538642,0,0
44,0.551467,0,0
45,0.564292,0,0
46,0.577117,0,0
47,0.589942,0,0
48,0.602767,0,0
49,0.615591,0,0
50,0.628416,0,0
51,0.641241,0,0
52,0.654066,0,0
53,0.666891,0,0
54,0.679715,0,0
55,0.69254,0,0
56,0.705365,0,0
57,0.71819,0,0
58,0.731015,0,0
59,0.74384,0,0
60,0.756664,0,0
61,0.769489,0,0
62,0.782314,0,0
63,0.795139,0,0
64,0.807964,0,0
65,0.820788,0,0
66,0.833613,0,0
67,0.846438,0,0
68,0.859263,1.34164e-05,1.32815e-05
69,0.872088,0.000282883,9.78423e-05
70,0.884913,0.0029053,0.000438133
71,0.897737,0.0119123,0.00075627
72,0.910562,0.0418077,0.00133264
73,0.923387,0.108244,0.0024099
74,0.936212,0.239605,0.00264776
75,0.949037,0.443123,0.00408448
76,0.961861,0.714401,0.00583498
77,0.974686,1.0409,0.00610033
78,0.987511,1.3963,0.00916685
79,1.00034,1.74223,0.0106083
80,1.01316,2.03758,0.0096642
81,1.02599,2.2613,0.0113736
82,1.03881,2.43186,0.0136101
83,1.05164,2.53052,0.011701
84,1.06446,2.56681,0.0123093
85,1.07728,2.5494,0.0125259
86,1.09011,2.50642,0.00992816
87,1.10293,2.43578,0.0105661
88,1.11576,2.3434,0.00825634
89,1.12858,2.24645,0.00858287
90,1.14141,2.12296,0.00865515
91,1.15423,2.02324,0.0094125
92,1.16706,1.9252,0.00854937
93,1.17988,1.81425,0.00849182
94,1.19271,1.71197,0.0108228
95,1.20553,1.62664,0.0140142
96,1.21836,1.51929,0.00944716
97,1.23118,1.41664,0.00844043
98,1.24401,1.32797,0.0075929
99,1.25683,1.25428,0.00809458
100,1.26966,1.19914,0.00817406
101,1.28248,1.15092,0.00737515
102,1.29531,1.08749,0.00790891
103,1.30813,1.03911,0.00667841
104,1.32096,0.987868,0.00673132
105,1.33378,0.958713,0.00616739
106,1.34661,0.924403,0.00614632
107,1.35943,0.882945,0.00545324
108,1.37226,0.849721,0.00543467
109,1.38508,0.822621,0.00551445
110,1.39791,0.804571,0.00562223
111,1.41073,0.784317,0.00504737
112,1.42355,0.760918,0.00450024
113,1.43638,0.7473,0.00513921
114,1.4492,0.730344,0.00458424
115,1.46203,0.719061,0.00427398
116,1.47485,0.701783,0.00438048
117,1.48768,0.695124,0.00420852
118,1.5005,0.679832,0.00408405
119,1.51333,0.675006,0.00425185
120,1.52615,0.672815,0.0041523
121,1.53898,0.670364,0.00445708
122,1.5518,0.667234,0.00424178
123,1.56463,0.667271,0.00441802
124,1.57745,0.671351,0.00454159
125,1.59028,0.672227,0.00420737
126,1.6031,0.679026,0.00447067
127,1.61593,0.687053,0.00521618
128,1.62875,0.693853,0.00417455
129,1.64158,0.699524,0.00400876
130,1.6544,0.710637,0.00447305
131,1.66723,0.723509,0.00533339
132,1.68005,0.734998,0.00444141
133,1.69288,0.750028,0.00383555
134,1.7057,0.765737,0.00463626
135,1.71853,0.774748,0.00402922
136,1.73135,0.789619,0.00444428
137,1.74418,0.808423,0.00426563
138,1.757,0.829352,0.00398524
139,1.76983,0.853618,0.00425315
140,1.78265,0.868042,0.00434607
141,1.79547,0.890529,0.00414282
142,1.8083,0.906737,0.00478336
143,1.82112,0.929033,0.00430801
144,1.83395,0.951383,0.00489763
145,1.84677,0.968177,0.00480229
146,1.8596,0.989465,0.00479705
147,1.87242,1.01132,0.00524113
148,1.88525,1.02931,0.00490854
149,1.89807,1.06117,0.00499318
150,1.9109,1.07809,0.00435162
151,1.92372,1.09147,0.00370853
152,1.93655,1.11163,0.00433729
153,1.94937,1.12941,0.00371517
154,1.9622,1.14465,0.00438314
155,1.97502,1.16295,0.00450039
156,1.98785,1.17678,0.00428884
157,2.00067,1.1867,0.0038197
158,2.0135,1.19471,0.00469046
159,2.02632,1.20499,0.00438603
160,2.03915,1.2065,0.00546372
161,2.05197,1.21167,0.00487713
162,2.0648,1.20583,0.00445721
163,2.07762,1.21689,0.00604151
164,2.09045,1.21967,0.00703511
165,2.10327,1.20733,0.00527579
166,2.1161,1.20204,0.00399512
167,2.12892,1.19534,0.00422964
168,2.14174,1.18282,0.00442142
169,2.15457,1.17068,0.00377527
170,2.16739,1.16379,0.00402167
171,2.18022,1.15279,0.00494648
172,2.19304,1.13918,0.00517659
173,2.20587,1.12147,0.0049912
174,2.21869,1.10774,0.00522082
175,2.23152,1.09218,0.00429228
176,2.24434,1.07763,0.0047253
177,2.25717,1.06108,0.004373
178,2.26999,1.05088,0.00399313
179,2.28282,1.03438,0.00441645
180,2.29564,1.02151,0.00438737
181,2.30847,1.00894,0.00434838
182,2.32129,0.993782,0.00383908
183,2.33412,0.988454,0.0038255
184,2.34694,0.97379,0.00368611
185,2.35977,0.96296,0.0028585
186,2.37259,0.953808,0.00333407
187,2.38542,0.946351,0.00317123
188,2.39824,0.940515,0.00349182
189,2.41107,0.932069,0.00398085
190,2.42389,0.918984,0.00316695
191,2.43672,0.913824,0.00359396
192,2.44954,0.910067,0.00349741
193,2.46237,0.906628,0.00352118
194,2.47519,0.902807,0.00381917
195,2.48802,0.895277,0.00304808
196,2.50084,0.893665,0.002905
197,2.51366,0.891111,0.00277213
198,2.52649,0.892055,0.00299529
199,2.53931,0.893799,0.00353635
