BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-5.54228,-5.54228,0
2,-5.43962,-5.49095,0.0362974
3,-5.44357,-5.47516,0.0274198
4,-5.4771,-5.47564,0.0205691
5,-5.46053,-5.47262,0.0166759
6,-5.44136,-5.46741,0.0146877
7,-5.45691,-5.46591,0.0126659
8,-5.46064,-5.46525,0.0110998
9,-5.44741,-5.46327,0.0100419
10,-5.43764,-5.4607,0.009359
11,-5.48618,-5.46302,0.00879002
12,-5.42953,-5.46023,0.00848907
13,-5.44856,-5.45933,0.00788338
14,-5.43634,-5.45769,0.00748939
15,-5.45338,-5.4574,0.00699562
16,-5.44482,-5.45662,0.00660244
17,-5.43539,-5.45537,0.00633102
18,-5.46448,-5.45587,0.00599953
19,-5.44847,-5.45548,0.00569641
20,-5.46777,-5.4561,0.0054446
21,-5.43368,-5.45503,0.00528893
22,-5.45519,-5.45504,0.00504853
23,-5.46189,-5.45534,0.00483781
24,-5.43905,-5.45466,0.0046836
25,-5.43239,-5.45377,0.00458014
26,-5.46269,-5.45411,0.00441681
27,-5.44038,-5.4536,0.0042824
28,-5.44925,-5.45345,0.00413227
29,-5.4485,-5.45328,0.00399329
30,-5.47106,-5.45387,0.00390394
31,-5.40649,-5.45234,0.00406618
32,-5.41878,-5.45129,0.00407215
33,-5.43317,-5.45074,0.0039856
34,-5.43188,-5.45019,0.00390679
35,-5.45451,-5.45031,0.00379712
36,-5.4511,-5.45033,0.0036917
37,-5.46378,-5.4507,0.00360978
38,-5.47873,-5.45143,0.0035894
39,-5.45948,-5.45164,0.00350329
40,-5.44073,-5.45137,0.0034263
41,-5.41736,-5.45054,0.00344169
42,-5.46498,-5.45088,0.00337688
43,-5.45124,-5.45089,0.00329836
44,-5.43815,-5.4506,0.00323607
45,-5.44299,-5.45043,0.00316857
46,-5.44376,-5.45029,0.00310301
47,-5.46642,-5.45063,0.00305592
48,-5.48034,-5.45125,0.00305431
49,-5.47857,-5.45181,0.00304246
50,-5.44646,-5.4517,0.00298349
