BLOCK,ACTUAL_P,P_AVE,ERROR
1,8.051158e-02,8.051158e-02,0.000000e+00
2,3.936437e-02,5.993798e-02,1.454773e-02
3,6.561674e-02,6.183090e-02,9.820869e-03
4,3.491010e-02,5.510070e-02,9.392790e-03
5,5.114570e-02,5.430970e-02,7.547465e-03
6,3.529649e-02,5.114083e-02,6.922904e-03
7,4.406310e-02,5.012973e-02,6.007301e-03
8,3.610515e-02,4.837665e-02,5.506244e-03
9,4.477713e-02,4.797671e-02,4.908942e-03
10,3.206090e-02,4.638513e-02,4.668936e-03
11,4.151032e-02,4.594196e-02,4.265468e-03
12,4.333115e-02,4.572439e-02,3.915557e-03
13,4.728968e-02,4.584480e-02,3.616211e-03
14,3.789179e-02,4.527673e-02,3.402237e-03
15,3.884510e-02,4.484795e-02,3.202326e-03
16,2.329117e-02,4.350065e-02,3.273355e-03
17,4.096075e-02,4.335125e-02,3.084212e-03
18,4.859464e-02,4.364255e-02,2.926591e-03
19,2.518569e-02,4.267113e-02,2.929346e-03
20,4.955959e-02,4.301556e-02,2.803054e-03
21,5.398508e-02,4.353792e-02,2.717811e-03
22,4.021928e-02,4.338707e-02,2.598457e-03
23,5.756059e-02,4.400331e-02,2.557509e-03
24,3.043160e-02,4.343782e-02,2.512686e-03
25,5.425306e-02,4.387043e-02,2.449137e-03
26,3.724679e-02,4.361567e-02,2.368152e-03
27,4.048306e-02,4.349965e-02,2.283283e-03
28,2.813290e-02,4.295084e-02,2.266734e-03
29,1.600539e-02,4.202169e-02,2.371371e-03
30,3.562667e-02,4.180852e-02,2.301886e-03
31,4.114405e-02,4.178708e-02,2.227731e-03
32,3.576845e-02,4.159900e-02,2.166040e-03
33,4.884018e-02,4.181843e-02,2.111488e-03
34,2.840556e-02,4.142393e-02,2.085912e-03
35,3.442141e-02,4.122386e-02,2.035887e-03
36,4.324232e-02,4.127993e-02,1.980107e-03
37,3.250804e-02,4.104285e-02,1.940731e-03
38,4.067625e-02,4.103321e-02,1.889683e-03
39,4.756446e-02,4.120067e-02,1.848635e-03
40,4.371274e-02,4.126348e-02,1.803486e-03
41,4.150423e-02,4.126935e-02,1.759508e-03
42,3.958173e-02,4.122917e-02,1.718074e-03
43,3.724502e-02,4.113651e-02,1.680615e-03
44,4.657901e-02,4.126020e-02,1.646965e-03
45,3.357657e-02,4.108946e-02,1.619193e-03
46,3.520656e-02,4.096157e-02,1.589035e-03
47,4.365183e-02,4.101881e-02,1.556257e-03
48,4.883526e-02,4.118165e-02,1.532331e-03
49,4.349486e-02,4.122886e-02,1.501786e-03
50,3.146444e-02,4.103357e-02,1.484393e-03
