BLOCK,ACTUAL_T,T_AVE,ERROR
1,1.83802,1.83802,0
2,1.2116,1.52481,0.221476
3,1.06951,1.37304,0.192759
4,1.10439,1.30588,0.155832
5,1.01556,1.24782,0.13505
6,0.9806,1.20328,0.11966
7,1.043,1.18038,0.104734
8,1.01749,1.16002,0.0936003
9,1.10093,1.15346,0.0834303
10,1.11801,1.14991,0.0751625
11,1.0781,1.14338,0.0686125
12,1.10339,1.14005,0.0629756
13,1.04998,1.13312,0.0585113
14,0.995123,1.12326,0.0551559
15,1.02302,1.11658,0.0518822
16,1.03127,1.11125,0.0489128
17,1.09913,1.11054,0.0460407
18,1.16141,1.11336,0.0435696
19,1.00666,1.10775,0.0416368
20,1.0875,1.10673,0.0395673
