BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-3.79984,-3.79984,0
2,-3.79839,-3.79911,0.000513026
3,-3.79861,-3.79894,0.000368122
4,-3.79738,-3.79855,0.000437859
5,-3.79976,-3.79879,0.000411548
6,-3.79839,-3.79873,0.000348329
7,-3.7999,-3.7989,0.000336748
8,-3.79987,-3.79902,0.000315927
9,-3.79858,-3.79897,0.000284459
10,-3.79784,-3.79886,0.000277661
11,-3.7986,-3.79883,0.000253397
12,-3.79815,-3.79878,0.000238639
13,-3.79916,-3.79881,0.000222127
14,-3.79932,-3.79884,0.000209242
15,-3.79746,-3.79875,0.00021448
16,-3.79645,-3.79861,0.000244516
17,-3.79869,-3.79861,0.000230182
18,-3.80109,-3.79875,0.000255224
19,-3.79891,-3.79876,0.000241935
20,-3.79886,-3.79876,0.000229896
21,-3.79986,-3.79881,0.000224774
22,-3.79782,-3.79877,0.000219075
23,-3.79977,-3.79881,0.000213856
24,-3.79844,-3.7988,0.000205497
25,-3.79983,-3.79884,0.000201417
26,-3.79954,-3.79887,0.000195458
27,-3.79967,-3.7989,0.000190477
28,-3.79798,-3.79886,0.000186458
29,-3.79924,-3.79888,0.00018049
30,-3.7998,-3.79891,0.000177061
31,-3.79855,-3.7989,0.000171724
32,-3.79672,-3.79883,0.00017933
33,-3.79863,-3.79882,0.000173995
34,-3.79776,-3.79879,0.000171658
35,-3.79907,-3.7988,0.000166933
36,-3.79936,-3.79881,0.000163024
37,-3.79536,-3.79872,0.000183451
38,-3.79862,-3.79872,0.000178642
39,-3.79823,-3.79871,0.000174497
40,-3.80084,-3.79876,0.000178084
41,-3.79712,-3.79872,0.000178168
42,-3.79758,-3.79869,0.000175966
43,-3.79898,-3.7987,0.000172005
44,-3.79719,-3.79866,0.000171491
45,-3.80094,-3.79871,0.000175001
46,-3.79947,-3.79873,0.00017196
47,-3.79955,-3.79875,0.00016919
48,-3.80222,-3.79882,0.000180425
49,-3.80017,-3.79885,0.000178821
50,-3.79768,-3.79882,0.000176775
