BLOCK,GOFR_AVE,ERROR
1,7.088369e-01,4.644692e-02
2,7.086401e-01,4.629182e-02
3,7.101243e-01,4.631868e-02
4,7.098909e-01,4.677865e-02
5,7.089083e-01,4.668545e-02
6,7.080996e-01,4.578022e-02
7,7.088050e-01,4.590809e-02
8,7.087204e-01,4.605952e-02
9,7.089809e-01,4.612369e-02
10,7.089133e-01,4.603265e-02
11,7.103190e-01,4.614276e-02
12,7.114658e-01,4.632506e-02
13,7.087468e-01,4.621299e-02
14,7.101582e-01,4.616052e-02
15,7.095278e-01,4.666074e-02
16,7.095138e-01,4.644613e-02
17,7.088357e-01,4.661936e-02
18,7.079193e-01,4.648589e-02
19,7.093322e-01,4.649463e-02
20,7.099056e-01,4.644006e-02
21,7.083667e-01,4.642486e-02
22,7.086238e-01,4.597634e-02
23,7.088173e-01,4.654894e-02
24,7.093621e-01,4.681986e-02
25,7.101652e-01,4.687520e-02
26,7.096410e-01,4.663497e-02
27,7.110158e-01,4.642720e-02
28,7.086185e-01,4.613194e-02
29,7.083643e-01,4.646442e-02
30,7.091735e-01,4.613572e-02
31,7.096568e-01,4.657532e-02
32,7.087197e-01,4.587492e-02
33,7.087258e-01,4.660337e-02
34,7.103752e-01,4.635399e-02
35,7.097850e-01,4.640939e-02
36,7.113230e-01,4.631281e-02
37,7.088681e-01,4.619618e-02
38,7.096701e-01,4.676852e-02
39,7.088520e-01,4.632112e-02
40,7.074195e-01,4.658929e-02
41,7.097236e-01,4.670579e-02
42,7.100044e-01,4.635607e-02
43,7.098951e-01,4.611540e-02
44,7.080263e-01,4.640717e-02
45,7.103548e-01,4.625884e-02
46,7.088802e-01,4.636661e-02
47,7.100508e-01,4.591962e-02
48,7.102056e-01,4.630740e-02
49,7.105193e-01,4.650512e-02
50,7.093541e-01,4.694363e-02
