BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-5.46227,-5.46227,0
2,-5.4474,-5.45483,0.00525979
3,-5.46055,-5.45674,0.00383598
4,-5.46234,-5.45814,0.00312232
5,-5.43843,-5.4542,0.00432063
6,-5.41195,-5.44716,0.00736803
7,-5.4178,-5.44296,0.00741333
8,-5.41693,-5.43971,0.00716521
9,-5.46768,-5.44282,0.00701062
10,-5.44929,-5.44346,0.00633941
11,-5.45171,-5.44421,0.00580729
12,-5.44418,-5.44421,0.00532335
13,-5.43997,-5.44389,0.00492383
14,-5.46435,-5.44535,0.00478413
15,-5.4401,-5.445,0.00447793
16,-5.45437,-5.44558,0.00423618
17,-5.4434,-5.44545,0.00398893
18,-5.44603,-5.44549,0.00376745
19,-5.49993,-5.44835,0.00452958
20,-5.45272,-5.44857,0.00430837
21,-5.46018,-5.44912,0.00413852
22,-5.41103,-5.44739,0.00429733
23,-5.45258,-5.44762,0.0041164
24,-5.4488,-5.44767,0.00394518
25,-5.43829,-5.44729,0.00380516
26,-5.45354,-5.44753,0.00366638
27,-5.42621,-5.44674,0.00361459
28,-5.401,-5.44511,0.00383692
29,-5.45697,-5.44552,0.00372633
30,-5.45337,-5.44578,0.00361131
31,-5.46504,-5.4464,0.00354786
32,-5.43801,-5.44614,0.00344666
33,-5.46748,-5.44679,0.00340235
34,-5.43856,-5.44654,0.00331087
35,-5.44911,-5.44662,0.00321709
36,-5.44172,-5.44648,0.0031306
37,-5.43965,-5.4463,0.00305143
38,-5.45717,-5.44658,0.00298451
39,-5.41422,-5.44575,0.00302112
40,-5.41157,-5.4449,0.00306404
41,-5.48095,-5.44578,0.00311291
42,-5.44639,-5.44579,0.00303883
43,-5.46323,-5.4462,0.00299509
44,-5.44205,-5.4461,0.00292851
45,-5.45012,-5.44619,0.00286479
46,-5.44786,-5.44623,0.00280274
47,-5.46579,-5.44664,0.00277385
48,-5.45462,-5.44681,0.00272103
49,-5.4454,-5.44678,0.00266565
50,-5.45168,-5.44688,0.00261413
