BLOCK,ACTUAL_P,P_AVE,ERROR
1,0.0504928,0.0504928,0
2,0.0426103,0.0465515,0.00278688
3,0.0478562,0.0469864,0.00189155
4,0.0506135,0.0478932,0.0016215
5,0.0387584,0.0460662,0.00208637
6,0.0248887,0.0425366,0.00366121
7,0.0274213,0.0403773,0.00372086
8,0.0280159,0.0388321,0.00356217
9,0.051161,0.040202,0.00341965
10,0.0422925,0.0404111,0.00308406
11,0.0434167,0.0406843,0.00281577
12,0.040109,0.0406364,0.00258153
13,0.0386656,0.0404848,0.0023874
14,0.049479,0.0411272,0.00230169
15,0.0404783,0.0410839,0.00214865
16,0.0458845,0.041384,0.0020352
17,0.0411312,0.0413691,0.00191554
18,0.0423506,0.0414236,0.00180989
19,0.0671326,0.0427767,0.00216206
20,0.0439652,0.0428362,0.00205478
21,0.048396,0.0431009,0.00197391
22,0.0247937,0.0422688,0.00205211
23,0.0452516,0.0423985,0.00196698
24,0.0443847,0.0424812,0.00188676
25,0.0404837,0.0424013,0.00181299
26,0.0462758,0.0425503,0.00174937
27,0.0330276,0.0421976,0.00171976
28,0.0204536,0.0414211,0.00182528
29,0.048103,0.0416515,0.00177682
30,0.0435553,0.0417149,0.00171872
31,0.0511213,0.0420184,0.00168985
32,0.0369467,0.0418599,0.00164446
33,0.053172,0.0422027,0.00162997
34,0.0379387,0.0420773,0.00158684
35,0.0437688,0.0421256,0.00154224
36,0.0384132,0.0420225,0.00150284
37,0.0392006,0.0419462,0.00146416
38,0.0478044,0.0421004,0.00143372
39,0.0270573,0.0417146,0.00144792
40,0.0268106,0.041342,0.00145887
41,0.0589794,0.0417722,0.00148536
42,0.0416787,0.04177,0.00145
43,0.0492892,0.0419449,0.00142678
44,0.0407753,0.0419183,0.0013946
45,0.0422891,0.0419265,0.00136364
46,0.042598,0.0419411,0.00133407
47,0.0492624,0.0420969,0.00131475
48,0.0452603,0.0421628,0.00128901
49,0.0416854,0.0421531,0.00126274
50,0.0468803,0.0422476,0.00124102
