BLOCK,ACTUAL_T,T_AVE,ERROR
1,1.11807,1.11807,0
2,1.10799,1.11303,0.00356497
3,1.11563,1.1139,0.00247971
4,1.11744,1.11478,0.00201169
5,1.10204,1.11223,0.0027897
6,1.08507,1.10771,0.00474206
7,1.08813,1.10491,0.00481937
8,1.08861,1.10287,0.00462786
9,1.12082,1.10487,0.00452284
10,1.10844,1.10522,0.00408466
11,1.10942,1.10561,0.00373114
12,1.10424,1.10549,0.00342195
13,1.10288,1.10529,0.0031646
14,1.11822,1.10621,0.00307028
15,1.10345,1.10603,0.00287113
16,1.11221,1.10642,0.00271753
17,1.10536,1.10635,0.00255838
18,1.10757,1.10642,0.00241714
19,1.14204,1.1083,0.00292807
20,1.11033,1.1084,0.00278343
21,1.11621,1.10877,0.00267562
22,1.0844,1.10766,0.0027738
23,1.11115,1.10781,0.00265734
24,1.10935,1.10788,0.00254739
25,1.10267,1.10767,0.00245401
26,1.1118,1.10783,0.00236476
27,1.09336,1.10729,0.00233709
28,1.07772,1.10624,0.00248083
29,1.1154,1.10655,0.00241532
30,1.11042,1.10668,0.00233826
31,1.11873,1.10707,0.0022949
32,1.10158,1.1069,0.00222958
33,1.12175,1.10735,0.00220698
34,1.10124,1.10717,0.00214937
35,1.10921,1.10723,0.00208875
36,1.10233,1.10709,0.00203516
37,1.10307,1.10698,0.00198306
38,1.11412,1.10717,0.00193975
39,1.08616,1.10663,0.00196341
40,1.08534,1.1061,0.00198516
41,1.1294,1.10667,0.00201643
42,1.10628,1.10666,0.00196845
43,1.11786,1.10692,0.00193985
44,1.10515,1.10688,0.00189618
45,1.10824,1.10691,0.00185428
46,1.10788,1.10693,0.00181409
47,1.11871,1.10718,0.00179272
48,1.11177,1.10728,0.00175792
49,1.10572,1.10724,0.00172233
50,1.11129,1.10733,0.00168978
