BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-3.78516,-3.78516,0
2,-3.78541,-3.78529,8.76617e-05
3,-3.7871,-3.78589,0.000497549
4,-3.78618,-3.78597,0.000378422
5,-3.78537,-3.78585,0.000321223
6,-3.78434,-3.7856,0.000352074
7,-3.78561,-3.7856,0.000301784
8,-3.78402,-3.7854,0.000321821
9,-3.78645,-3.78552,0.00030648
10,-3.78663,-3.78563,0.00029538
11,-3.78758,-3.78581,0.000317212
12,-3.78782,-3.78597,0.000332061
13,-3.78565,-3.78595,0.000307448
14,-3.78702,-3.78603,0.00029489
15,-3.78493,-3.78595,0.000284069
16,-3.78605,-3.78596,0.000266386
17,-3.78536,-3.78592,0.000253008
18,-3.78467,-3.78585,0.000248321
19,-3.78687,-3.78591,0.00024088
20,-3.78723,-3.78597,0.000237717
21,-3.78587,-3.78597,0.000226452
22,-3.78443,-3.7859,0.000226696
23,-3.78586,-3.7859,0.000216847
24,-3.78478,-3.78585,0.000212722
25,-3.78429,-3.78579,0.000213135
26,-3.78584,-3.78579,0.000204945
27,-3.78617,-3.7858,0.000197846
28,-3.78442,-3.78576,0.000196825
29,-3.78386,-3.78569,0.000200539
30,-3.78774,-3.78576,0.000205145
31,-3.78695,-3.7858,0.000202091
32,-3.78564,-3.78579,0.000195839
33,-3.78485,-3.78576,0.000191957
34,-3.7867,-3.78579,0.000188287
35,-3.78529,-3.78578,0.000183444
36,-3.78823,-3.78584,0.000190575
37,-3.78504,-3.78582,0.000186653
38,-3.78598,-3.78583,0.000181789
39,-3.78499,-3.78581,0.000178401
40,-3.78356,-3.78575,0.000182549
41,-3.78685,-3.78578,0.000180059
42,-3.78697,-3.7858,0.000178
43,-3.78643,-3.78582,0.000174459
44,-3.78433,-3.78579,0.000173745
45,-3.78775,-3.78583,0.000175285
46,-3.78604,-3.78583,0.000171534
47,-3.78773,-3.78587,0.000172561
48,-3.78696,-3.7859,0.000170447
49,-3.78682,-3.78592,0.000168
50,-3.78475,-3.78589,0.000166247
