BLOCK,GOFR_AVE,ERROR
1,0.693937,0.0767409
2,0.694373,0.0757092
3,0.695276,0.075759
4,0.694405,0.0758217
5,0.694716,0.0757149
6,0.694122,0.0765297
7,0.695501,0.0752278
8,0.694079,0.0759939
9,0.694769,0.0754398
10,0.694536,0.0756233
11,0.694414,0.0757049
12,0.694943,0.0756007
13,0.695082,0.0756275
14,0.694825,0.0756105
15,0.695447,0.0755028
16,0.695069,0.0756198
17,0.695608,0.0751119
18,0.694659,0.0755309
19,0.69505,0.0751935
20,0.694975,0.0757926
21,0.693935,0.0759361
22,0.69423,0.0760794
23,0.694184,0.0755157
24,0.694662,0.0755996
25,0.69436,0.0759083
26,0.694283,0.0757312
27,0.694045,0.0758419
28,0.694365,0.0758785
29,0.694803,0.0756589
30,0.695481,0.0751042
31,0.69555,0.0752315
32,0.695291,0.0749801
33,0.694813,0.075632
34,0.695829,0.0751536
35,0.694558,0.0753808
36,0.694568,0.0754979
37,0.69472,0.0752713
38,0.694962,0.0755711
39,0.694979,0.075523
40,0.695,0.0756239
41,0.69376,0.0763621
42,0.694551,0.0756456
43,0.694448,0.0758352
44,0.694787,0.075119
45,0.695822,0.0751843
46,0.695263,0.0755708
47,0.694947,0.0758951
48,0.695026,0.0753108
49,0.696227,0.0752138
50,0.695247,0.0756558
