BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-7.524455e+00,-7.524455e+00,0.000000e+00
2,-7.520864e+00,-7.522659e+00,1.269895e-03
3,-7.520160e+00,-7.521826e+00,1.086003e-03
4,-7.517574e+00,-7.520763e+00,1.229225e-03
5,-7.523999e+00,-7.521410e+00,1.141086e-03
6,-7.529864e+00,-7.522819e+00,1.599505e-03
7,-7.520387e+00,-7.522472e+00,1.408238e-03
8,-7.528802e+00,-7.523263e+00,1.437391e-03
9,-7.518671e+00,-7.522753e+00,1.365228e-03
10,-7.527237e+00,-7.523201e+00,1.300259e-03
11,-7.524231e+00,-7.523295e+00,1.185420e-03
12,-7.522569e+00,-7.523234e+00,1.088177e-03
13,-7.520666e+00,-7.523037e+00,1.022253e-03
14,-7.523877e+00,-7.523097e+00,9.509963e-04
15,-7.528351e+00,-7.523447e+00,9.499162e-04
16,-7.526449e+00,-7.523635e+00,9.088801e-04
17,-7.523367e+00,-7.523619e+00,8.555532e-04
18,-7.523166e+00,-7.523594e+00,8.083932e-04
19,-7.524048e+00,-7.523618e+00,7.661996e-04
20,-7.521613e+00,-7.523517e+00,7.344198e-04
21,-7.521745e+00,-7.523433e+00,7.042799e-04
22,-7.527747e+00,-7.523629e+00,6.990354e-04
23,-7.522905e+00,-7.523598e+00,6.693506e-04
24,-7.522270e+00,-7.523542e+00,6.437432e-04
25,-7.529518e+00,-7.523781e+00,6.608874e-04
26,-7.516923e+00,-7.523518e+00,6.861014e-04
27,-7.521140e+00,-7.523430e+00,6.663184e-04
28,-7.521008e+00,-7.523343e+00,6.481114e-04
29,-7.523152e+00,-7.523336e+00,6.257963e-04
30,-7.523239e+00,-7.523333e+00,6.049448e-04
31,-7.526681e+00,-7.523441e+00,5.949917e-04
32,-7.518338e+00,-7.523282e+00,5.973893e-04
33,-7.523895e+00,-7.523300e+00,5.795758e-04
34,-7.518644e+00,-7.523163e+00,5.784817e-04
35,-7.519475e+00,-7.523058e+00,5.714730e-04
36,-7.527569e+00,-7.523183e+00,5.691718e-04
37,-7.521206e+00,-7.523130e+00,5.562927e-04
38,-7.522067e+00,-7.523102e+00,5.423561e-04
39,-7.526650e+00,-7.523193e+00,5.360261e-04
40,-7.525335e+00,-7.523246e+00,5.252947e-04
41,-7.525980e+00,-7.523313e+00,5.166969e-04
42,-7.526795e+00,-7.523396e+00,5.110006e-04
43,-7.526857e+00,-7.523476e+00,5.054173e-04
44,-7.527137e+00,-7.523560e+00,5.007303e-04
45,-7.526851e+00,-7.523633e+00,4.949173e-04
46,-7.525460e+00,-7.523673e+00,4.857496e-04
47,-7.532515e+00,-7.523861e+00,5.105472e-04
48,-7.519045e+00,-7.523760e+00,5.096722e-04
49,-7.531650e+00,-7.523921e+00,5.240857e-04
50,-7.517419e+00,-7.523791e+00,5.294917e-04
