BLOCK,ACTUAL_P,P_AVE,ERROR
1,-0.761251,-0.761251,0
2,-0.762638,-0.761945,0.000490223
3,-0.76346,-0.76245,0.000526232
4,-0.764979,-0.763082,0.000675006
5,-0.76023,-0.762512,0.000742864
6,-0.757285,-0.761641,0.00100772
7,-0.763003,-0.761835,0.000882362
8,-0.757546,-0.761299,0.000920636
9,-0.763798,-0.761577,0.000859184
10,-0.758496,-0.761269,0.000826661
11,-0.760245,-0.761176,0.000756732
12,-0.760885,-0.761152,0.000694058
13,-0.762885,-0.761285,0.000653358
14,-0.760577,-0.761234,0.000608643
15,-0.758076,-0.761024,0.000603385
16,-0.759207,-0.76091,0.000576261
17,-0.761034,-0.760918,0.00054241
18,-0.760862,-0.760914,0.000512285
19,-0.760629,-0.760899,0.000485543
20,-0.762496,-0.760979,0.000467786
21,-0.762153,-0.761035,0.000448839
22,-0.757834,-0.76089,0.000451413
23,-0.760748,-0.760883,0.000431829
24,-0.762472,-0.76095,0.000418875
25,-0.756012,-0.760752,0.000446253
26,-0.765527,-0.760936,0.000465352
27,-0.762352,-0.760988,0.000451063
28,-0.762229,-0.761033,0.000437124
29,-0.760955,-0.76103,0.000422059
30,-0.761074,-0.761031,0.000407993
31,-0.758329,-0.760944,0.000404037
32,-0.76402,-0.76104,0.000402679
33,-0.760649,-0.761028,0.000390651
34,-0.763858,-0.761112,0.000387923
35,-0.763412,-0.761177,0.000382368
36,-0.757729,-0.761082,0.000383557
37,-0.762318,-0.761115,0.000374643
38,-0.761462,-0.761124,0.000364895
39,-0.75866,-0.761061,0.000360966
40,-0.759793,-0.761029,0.000353332
41,-0.759257,-0.760986,0.000347348
42,-0.758904,-0.760936,0.000342596
43,-0.758706,-0.760885,0.000338532
44,-0.758414,-0.760828,0.000335463
45,-0.7582,-0.76077,0.000333055
46,-0.759891,-0.760751,0.000326362
47,-0.754942,-0.760627,0.000342021
48,-0.763411,-0.760685,0.000339777
49,-0.755448,-0.760578,0.000349247
50,-0.76529,-0.760673,0.000354746
