BLOCK,ACTUAL_T,T_AVE,ERROR
1,0.798931,0.798931,0
2,0.797337,0.798134,0.000563494
3,0.79664,0.797636,0.000553504
4,0.795129,0.797009,0.000683273
5,0.799693,0.797546,0.00072744
6,0.802613,0.798391,0.000980692
7,0.797094,0.798205,0.000857894
8,0.802311,0.798719,0.000891015
9,0.79611,0.798429,0.00083782
10,0.801352,0.798721,0.000803408
11,0.799784,0.798818,0.000736154
12,0.799099,0.798841,0.000675181
13,0.797136,0.79871,0.000635861
14,0.799394,0.798759,0.000592315
15,0.80187,0.798966,0.000588027
16,0.800748,0.799078,0.000561719
17,0.798977,0.799072,0.000528708
18,0.79923,0.79908,0.000499408
19,0.799542,0.799105,0.000473715
20,0.797511,0.799025,0.00045668
21,0.797999,0.798976,0.000437537
22,0.802104,0.799118,0.000440138
23,0.79925,0.799124,0.000421039
24,0.79765,0.799063,0.000407951
25,0.803925,0.799257,0.000435536
26,0.794602,0.799078,0.000454094
27,0.797683,0.799026,0.000440208
28,0.797799,0.798983,0.000426664
29,0.799074,0.798986,0.000411963
30,0.798934,0.798984,0.000398234
31,0.801575,0.799068,0.000394063
32,0.796098,0.798975,0.000392522
33,0.799327,0.798985,0.000380772
34,0.796334,0.798908,0.000377474
35,0.796754,0.798846,0.000371669
36,0.802326,0.798943,0.000373708
37,0.797663,0.798908,0.000365204
38,0.79851,0.798898,0.000355744
39,0.80119,0.798956,0.000351444
40,0.80007,0.798984,0.000343758
41,0.800636,0.799024,0.000337725
42,0.800922,0.79907,0.000332691
43,0.801233,0.79912,0.000328734
44,0.801342,0.79917,0.000325118
45,0.801526,0.799223,0.000322079
46,0.799737,0.799234,0.000315271
47,0.804937,0.799355,0.000331095
48,0.796493,0.799296,0.000329522
49,0.804321,0.799398,0.000338381
50,0.794708,0.799304,0.000344368
