BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-6.326059e+00,-6.326059e+00,0.000000e+00
2,-6.324858e+00,-6.325458e+00,4.246537e-04
3,-6.325200e+00,-6.325372e+00,2.917367e-04
4,-6.324880e+00,-6.325249e+00,2.433802e-04
5,-6.324460e+00,-6.325091e+00,2.404771e-04
6,-6.325945e+00,-6.325234e+00,2.387693e-04
7,-6.324745e+00,-6.325164e+00,2.145978e-04
8,-6.325335e+00,-6.325185e+00,1.888428e-04
9,-6.324506e+00,-6.325110e+00,1.823235e-04
10,-6.325209e+00,-6.325120e+00,1.643633e-04
11,-6.324556e+00,-6.325068e+00,1.572099e-04
12,-6.323921e+00,-6.324973e+00,1.707376e-04
13,-6.324962e+00,-6.324972e+00,1.576059e-04
14,-6.324787e+00,-6.324959e+00,1.469033e-04
15,-6.325546e+00,-6.324998e+00,1.422268e-04
16,-6.325327e+00,-6.325018e+00,1.348165e-04
17,-6.324901e+00,-6.325012e+00,1.270617e-04
18,-6.324321e+00,-6.324973e+00,1.256612e-04
19,-6.324735e+00,-6.324961e+00,1.196725e-04
20,-6.325346e+00,-6.324980e+00,1.152270e-04
21,-6.324746e+00,-6.324969e+00,1.102771e-04
22,-6.324592e+00,-6.324952e+00,1.065885e-04
23,-6.324030e+00,-6.324912e+00,1.092204e-04
24,-6.325795e+00,-6.324948e+00,1.106989e-04
25,-6.323631e+00,-6.324896e+00,1.181498e-04
26,-6.325019e+00,-6.324900e+00,1.137012e-04
27,-6.324616e+00,-6.324890e+00,1.099771e-04
28,-6.324309e+00,-6.324869e+00,1.079871e-04
29,-6.324540e+00,-6.324858e+00,1.048567e-04
30,-6.324838e+00,-6.324857e+00,1.013636e-04
31,-6.324318e+00,-6.324840e+00,9.957435e-05
32,-6.324190e+00,-6.324820e+00,9.850832e-05
33,-6.324905e+00,-6.324822e+00,9.555746e-05
34,-6.324143e+00,-6.324802e+00,9.480952e-05
35,-6.324344e+00,-6.324789e+00,9.300167e-05
36,-6.324080e+00,-6.324769e+00,9.248241e-05
37,-6.324711e+00,-6.324768e+00,8.999622e-05
38,-6.324301e+00,-6.324755e+00,8.846043e-05
39,-6.324865e+00,-6.324758e+00,8.623710e-05
40,-6.325231e+00,-6.324770e+00,8.488694e-05
41,-6.325027e+00,-6.324776e+00,8.304685e-05
42,-6.325412e+00,-6.324792e+00,8.243808e-05
43,-6.325009e+00,-6.324797e+00,8.067530e-05
44,-6.325124e+00,-6.324804e+00,7.918500e-05
45,-6.324563e+00,-6.324799e+00,7.760692e-05
46,-6.325854e+00,-6.324822e+00,7.923947e-05
47,-6.325109e+00,-6.324828e+00,7.778830e-05
48,-6.324305e+00,-6.324817e+00,7.692576e-05
49,-6.325168e+00,-6.324824e+00,7.568902e-05
50,-6.325357e+00,-6.324835e+00,7.492131e-05
