BLOCK,GOFR_AVE,ERROR
1,0.694755,0.0760431
2,0.693676,0.0764418
3,0.693804,0.0760517
4,0.695496,0.0752799
5,0.694934,0.0752887
6,0.694771,0.0755215
7,0.693861,0.0756846
8,0.694388,0.0761523
9,0.694441,0.0755957
10,0.694292,0.075808
11,0.694949,0.0757328
12,0.694545,0.0757887
13,0.694533,0.076248
14,0.694317,0.0758671
15,0.695323,0.0755501
16,0.695457,0.0751399
17,0.693987,0.0760601
18,0.694572,0.0760577
19,0.694873,0.0760155
20,0.694429,0.0759801
21,0.69469,0.0756429
22,0.694056,0.0761464
23,0.695561,0.0751809
24,0.695289,0.0755038
25,0.694638,0.0756885
26,0.695133,0.0759317
27,0.695098,0.0759008
28,0.695084,0.0750349
29,0.695503,0.0749731
30,0.694466,0.0759823
31,0.695092,0.0751174
32,0.694878,0.0756143
33,0.694462,0.0759937
34,0.694715,0.0755976
35,0.695454,0.0756117
36,0.694866,0.076133
37,0.694445,0.0757974
38,0.694289,0.0760852
39,0.694911,0.0755119
40,0.695202,0.0756192
41,0.694123,0.0761064
42,0.696764,0.0749076
43,0.695804,0.0749446
44,0.694678,0.0754502
45,0.694787,0.0754652
46,0.695031,0.0754765
47,0.695012,0.0753803
48,0.695009,0.0754189
49,0.694233,0.0760643
50,0.693319,0.0763443
