BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-7.52396,-7.52396,0
2,-7.52953,-7.52675,0.00196842
3,-7.52474,-7.52608,0.00142136
4,-7.52258,-7.5252,0.00130778
5,-7.52051,-7.52427,0.00134148
6,-7.52033,-7.52361,0.00126794
7,-7.52013,-7.52311,0.00118024
8,-7.5286,-7.5238,0.00121552
9,-7.52273,-7.52368,0.00108627
10,-7.52513,-7.52382,0.000987271
11,-7.52434,-7.52387,0.000898621
12,-7.52686,-7.52412,0.000857663
13,-7.52727,-7.52436,0.000825196
14,-7.52316,-7.52428,0.000770737
15,-7.52403,-7.52426,0.000719529
16,-7.52011,-7.524,0.000719833
17,-7.52796,-7.52423,0.000714147
18,-7.53208,-7.52467,0.000796568
19,-7.52541,-7.52471,0.000755593
20,-7.52929,-7.52494,0.000751758
21,-7.52106,-7.52475,0.000738269
22,-7.52807,-7.5249,0.000719912
23,-7.51937,-7.52466,0.000727681
24,-7.52525,-7.52469,0.000697778
25,-7.52007,-7.5245,0.00069385
26,-7.52899,-7.52468,0.000688252
27,-7.52754,-7.52478,0.000670866
28,-7.51882,-7.52457,0.000679814
29,-7.51967,-7.5244,0.000677054
30,-7.52688,-7.52448,0.000659502
31,-7.51893,-7.5243,0.000662138
32,-7.52735,-7.5244,0.000648244
33,-7.52429,-7.5244,0.000628609
34,-7.52046,-7.52428,0.000620706
35,-7.51964,-7.52415,0.000616947
36,-7.52614,-7.5242,0.000602278
37,-7.52549,-7.52424,0.000587011
38,-7.52507,-7.52426,0.000571968
39,-7.52719,-7.52433,0.000562214
40,-7.52521,-7.52436,0.000548585
41,-7.52804,-7.52445,0.000542519
42,-7.51897,-7.52432,0.000545056
43,-7.51905,-7.52419,0.000545964
44,-7.52151,-7.52413,0.000536951
45,-7.52518,-7.52416,0.000525528
46,-7.52291,-7.52413,0.0005148
47,-7.51751,-7.52399,0.000522747
48,-7.52439,-7.524,0.000511925
49,-7.53141,-7.52415,0.000523385
50,-7.5246,-7.52416,0.000512997
