BLOCK,ACTUAL_P,P_AVE,ERROR
1,-7.606844e-01,-7.606844e-01,0.000000e+00
2,-7.568100e-01,-7.587472e-01,1.369801e-03
3,-7.601165e-01,-7.592036e-01,9.863148e-04
4,-7.614750e-01,-7.597714e-01,8.882770e-04
5,-7.627544e-01,-7.603680e-01,8.886590e-04
6,-7.627343e-01,-7.607624e-01,8.234211e-04
7,-7.631627e-01,-7.611053e-01,7.739011e-04
8,-7.569698e-01,-7.605884e-01,8.320912e-04
9,-7.610750e-01,-7.606424e-01,7.413917e-04
10,-7.595895e-01,-7.605371e-01,6.746884e-04
11,-7.603086e-01,-7.605164e-01,6.136729e-04
12,-7.579739e-01,-7.603045e-01,5.979901e-04
13,-7.586311e-01,-7.601758e-01,5.656765e-04
14,-7.609288e-01,-7.602296e-01,5.278221e-04
15,-7.605727e-01,-7.602524e-01,4.931294e-04
16,-7.625736e-01,-7.603975e-01,4.831774e-04
17,-7.578725e-01,-7.602490e-01,4.770379e-04
18,-7.557355e-01,-7.599982e-01,5.122165e-04
19,-7.597049e-01,-7.599828e-01,4.854903e-04
20,-7.564225e-01,-7.598048e-01,4.927728e-04
21,-7.629848e-01,-7.599562e-01,4.920250e-04
22,-7.580486e-01,-7.598695e-01,4.772392e-04
23,-7.628948e-01,-7.600010e-01,4.742701e-04
24,-7.595531e-01,-7.599824e-01,4.548759e-04
25,-7.636511e-01,-7.601291e-01,4.597433e-04
26,-7.576455e-01,-7.600336e-01,4.518758e-04
27,-7.581106e-01,-7.599624e-01,4.407169e-04
28,-7.635009e-01,-7.600888e-01,4.427258e-04
29,-7.629703e-01,-7.601881e-01,4.384680e-04
30,-7.582589e-01,-7.601238e-01,4.285420e-04
31,-7.635091e-01,-7.602330e-01,4.284063e-04
32,-7.578389e-01,-7.601582e-01,4.215010e-04
33,-7.605759e-01,-7.601709e-01,4.089183e-04
34,-7.626850e-01,-7.602448e-01,4.035217e-04
35,-7.628311e-01,-7.603187e-01,3.987009e-04
36,-7.589988e-01,-7.602820e-01,3.893080e-04
37,-7.597543e-01,-7.602678e-01,3.790474e-04
38,-7.600141e-01,-7.602611e-01,3.691312e-04
39,-7.583549e-01,-7.602122e-01,3.628878e-04
40,-7.602032e-01,-7.602120e-01,3.538157e-04
41,-7.574937e-01,-7.601457e-01,3.513431e-04
42,-7.638799e-01,-7.602346e-01,3.540486e-04
43,-7.641410e-01,-7.603254e-01,3.572800e-04
44,-7.625941e-01,-7.603770e-01,3.528608e-04
45,-7.596245e-01,-7.603603e-01,3.454154e-04
46,-7.606917e-01,-7.603675e-01,3.379815e-04
47,-7.654758e-01,-7.604762e-01,3.478272e-04
48,-7.608301e-01,-7.604835e-01,3.406589e-04
49,-7.556146e-01,-7.603842e-01,3.478969e-04
50,-7.601998e-01,-7.603805e-01,3.409585e-04
