BLOCK,ACTUAL_T,T_AVE,ERROR
1,7.993403e-01,7.993403e-01,0.000000e+00
2,8.029332e-01,8.011367e-01,1.270253e-03
3,7.998897e-01,8.007211e-01,9.123190e-04
4,7.985349e-01,8.001745e-01,8.319929e-04
5,7.973672e-01,7.996131e-01,8.337929e-04
6,7.972374e-01,7.992171e-01,7.832177e-04
7,7.967694e-01,7.988674e-01,7.453082e-04
8,8.027826e-01,7.993568e-01,7.967806e-04
9,7.988943e-01,7.993054e-01,7.099046e-04
10,8.002698e-01,7.994019e-01,6.454311e-04
11,7.994652e-01,7.994076e-01,5.867812e-04
12,8.019926e-01,7.996231e-01,5.760666e-04
13,8.012880e-01,7.997511e-01,5.458048e-04
14,7.990610e-01,7.997018e-01,5.090400e-04
15,7.992582e-01,7.996723e-01,4.759622e-04
16,7.974403e-01,7.995328e-01,4.662082e-04
17,8.020403e-01,7.996803e-01,4.615291e-04
18,8.041683e-01,7.999296e-01,4.987111e-04
19,8.000303e-01,7.999349e-01,4.724913e-04
20,8.032219e-01,8.000992e-01,4.765933e-04
21,7.969177e-01,7.999477e-01,4.773720e-04
22,8.018191e-01,8.000328e-01,4.631894e-04
23,7.971665e-01,7.999082e-01,4.595100e-04
24,8.002713e-01,7.999233e-01,4.406127e-04
25,7.963130e-01,7.997789e-01,4.460261e-04
26,8.021723e-01,7.998710e-01,4.382678e-04
27,8.015950e-01,7.999348e-01,4.266617e-04
28,7.966226e-01,7.998165e-01,4.275078e-04
29,7.971117e-01,7.997232e-01,4.228178e-04
30,8.015453e-01,7.997840e-01,4.130631e-04
31,7.966646e-01,7.996834e-01,4.118130e-04
32,8.021517e-01,7.997605e-01,4.061038e-04
33,7.994314e-01,7.997505e-01,3.939200e-04
34,7.972487e-01,7.996769e-01,3.891458e-04
35,7.970833e-01,7.996028e-01,3.850181e-04
36,8.009263e-01,7.996396e-01,3.760743e-04
37,8.002018e-01,7.996548e-01,3.662169e-04
38,7.998605e-01,7.996602e-01,3.566196e-04
39,8.016510e-01,7.997113e-01,3.511100e-04
40,7.996472e-01,7.997097e-01,3.423359e-04
41,8.021921e-01,7.997702e-01,3.392983e-04
42,7.962185e-01,7.996856e-01,3.415954e-04
43,7.961160e-01,7.996026e-01,3.435902e-04
44,7.975164e-01,7.995552e-01,3.390370e-04
45,8.003049e-01,7.995719e-01,3.319119e-04
46,7.991842e-01,7.995634e-01,3.248033e-04
47,7.946488e-01,7.994589e-01,3.343011e-04
48,7.992065e-01,7.994536e-01,3.273778e-04
49,8.042615e-01,7.995517e-01,3.350783e-04
50,7.994973e-01,7.995506e-01,3.283785e-04
