BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,-6.324954e+00,-6.324954e+00,0.000000e+00
2,-6.325132e+00,-6.325043e+00,6.304504e-05
3,-6.324907e+00,-6.324998e+00,5.596651e-05
4,-6.324778e+00,-6.324943e+00,6.345192e-05
5,-6.324460e+00,-6.324846e+00,1.001566e-04
6,-6.324477e+00,-6.324785e+00,1.005878e-04
7,-6.324976e+00,-6.324812e+00,8.986616e-05
8,-6.324422e+00,-6.324763e+00,9.089064e-05
9,-6.324386e+00,-6.324721e+00,8.993897e-05
10,-6.324724e+00,-6.324722e+00,8.094556e-05
11,-6.325140e+00,-6.324760e+00,8.203580e-05
12,-6.323876e+00,-6.324686e+00,1.030934e-04
13,-6.325338e+00,-6.324736e+00,1.066697e-04
14,-6.324566e+00,-6.324724e+00,9.974563e-05
15,-6.325143e+00,-6.324752e+00,9.693488e-05
16,-6.323948e+00,-6.324702e+00,1.030839e-04
17,-6.324898e+00,-6.324713e+00,9.766564e-05
18,-6.325831e+00,-6.324775e+00,1.102225e-04
19,-6.325363e+00,-6.324806e+00,1.086781e-04
20,-6.324459e+00,-6.324789e+00,1.046235e-04
21,-6.325685e+00,-6.324832e+00,1.080000e-04
22,-6.325338e+00,-6.324855e+00,1.055182e-04
23,-6.323622e+00,-6.324801e+00,1.137254e-04
24,-6.324848e+00,-6.324803e+00,1.090033e-04
25,-6.325604e+00,-6.324835e+00,1.092504e-04
26,-6.325728e+00,-6.324869e+00,1.103117e-04
27,-6.325144e+00,-6.324880e+00,1.066936e-04
28,-6.323890e+00,-6.324844e+00,1.085795e-04
29,-6.324000e+00,-6.324815e+00,1.086658e-04
30,-6.324559e+00,-6.324807e+00,1.053780e-04
31,-6.323929e+00,-6.324778e+00,1.057114e-04
32,-6.324120e+00,-6.324758e+00,1.043904e-04
33,-6.325138e+00,-6.324769e+00,1.018614e-04
34,-6.324583e+00,-6.324764e+00,9.901316e-05
35,-6.324017e+00,-6.324742e+00,9.845367e-05
36,-6.324746e+00,-6.324743e+00,9.571890e-05
37,-6.325191e+00,-6.324755e+00,9.389672e-05
38,-6.325274e+00,-6.324768e+00,9.241637e-05
39,-6.324712e+00,-6.324767e+00,9.005803e-05
40,-6.325739e+00,-6.324791e+00,9.102531e-05
41,-6.324753e+00,-6.324790e+00,8.881000e-05
42,-6.324640e+00,-6.324787e+00,8.676798e-05
43,-6.324875e+00,-6.324789e+00,8.477460e-05
44,-6.325235e+00,-6.324799e+00,8.345151e-05
45,-6.324727e+00,-6.324797e+00,8.161239e-05
46,-6.324134e+00,-6.324783e+00,8.110218e-05
47,-6.325537e+00,-6.324799e+00,8.094889e-05
48,-6.325585e+00,-6.324815e+00,8.090192e-05
49,-6.325022e+00,-6.324820e+00,7.936042e-05
50,-6.325358e+00,-6.324830e+00,7.850184e-05
