BLOCK,GOFR_AVE,ERROR
1,9.203332e-01,3.163754e-02
2,9.164529e-01,3.114165e-02
3,9.157102e-01,3.121563e-02
4,9.152985e-01,3.134072e-02
5,9.163981e-01,3.147674e-02
6,9.184670e-01,3.135968e-02
7,9.171048e-01,3.138697e-02
8,9.174880e-01,3.135872e-02
9,9.149539e-01,3.136081e-02
10,9.185341e-01,3.138993e-02
11,9.183502e-01,3.162347e-02
12,9.190614e-01,3.147400e-02
13,9.174697e-01,3.118533e-02
14,9.118621e-01,3.098107e-02
15,9.167985e-01,3.136653e-02
16,9.192666e-01,3.160332e-02
17,9.168677e-01,3.123035e-02
18,9.165289e-01,3.166524e-02
19,9.166517e-01,3.148747e-02
20,9.158347e-01,3.128316e-02
21,9.225704e-01,3.194970e-02
22,9.186247e-01,3.142907e-02
23,9.135302e-01,3.111900e-02
24,9.158995e-01,3.123926e-02
25,9.116531e-01,3.109315e-02
26,9.172893e-01,3.135226e-02
27,9.176515e-01,3.121736e-02
28,9.197241e-01,3.161117e-02
29,9.145263e-01,3.113224e-02
30,9.100036e-01,3.093801e-02
31,9.141474e-01,3.116502e-02
32,9.179355e-01,3.133403e-02
33,9.144802e-01,3.118989e-02
34,9.162726e-01,3.140043e-02
35,9.148279e-01,3.121234e-02
36,9.174647e-01,3.169454e-02
37,9.121637e-01,3.094296e-02
38,9.155428e-01,3.143310e-02
39,9.143190e-01,3.124693e-02
40,9.124692e-01,3.100821e-02
41,9.218219e-01,3.176830e-02
42,9.195031e-01,3.175869e-02
43,9.130276e-01,3.097349e-02
44,9.184447e-01,3.145982e-02
45,9.136696e-01,3.100090e-02
46,9.171178e-01,3.141036e-02
47,9.155239e-01,3.129809e-02
48,9.179028e-01,3.159775e-02
49,9.134383e-01,3.098134e-02
50,9.195859e-01,3.170677e-02
