STEP,DISTANCE,AVE_GOFR,ERROR
1,0,0,0
2,0.0323165,0,0
3,0.064633,0,0
4,0.0969496,0,0
5,0.129266,0,0
6,0.161583,0,0
7,0.193899,0,0
8,0.226216,0,0
9,0.258532,0,0
10,0.290849,0,0
11,0.323165,0,0
12,0.355482,0,0
13,0.387798,0,0
14,0.420115,0,0
15,0.452431,0,0
16,0.484748,0,0
17,0.517064,0,0
18,0.549381,0,0
19,0.581697,0,0
20,0.614014,0,0
21,0.64633,0,0
22,0.678647,0,0
23,0.710963,0,0
24,0.74328,0,0
25,0.775596,0,0
26,0.807913,0,0
27,0.84023,0,0
28,0.872546,0.00147791,0.000200758
29,0.904863,0.0416679,0.000777182
30,0.937179,0.249552,0.00198843
31,0.969496,0.738979,0.00350642
32,1.00181,1.3559,0.00557529
33,1.03413,1.88016,0.0065684
34,1.06645,2.19858,0.00738138
35,1.09876,2.28566,0.0082124
36,1.13108,2.24181,0.00628374
37,1.16339,2.15513,0.00711255
38,1.19571,2.03314,0.00729291
39,1.22803,1.90503,0.00473274
40,1.26034,1.77185,0.00558694
41,1.29266,1.6588,0.00494311
42,1.32498,1.57337,0.00492243
43,1.35729,1.49103,0.00416521
44,1.38961,1.41884,0.00490828
45,1.42193,1.36578,0.00343863
46,1.45424,1.30446,0.00378116
47,1.48656,1.26412,0.00359183
48,1.51888,1.23331,0.00412073
49,1.55119,1.20165,0.00269909
50,1.58351,1.17734,0.0028611
51,1.61583,1.15804,0.00335163
52,1.64814,1.13241,0.00270697
53,1.68046,1.11826,0.00274818
54,1.71278,1.10235,0.00318692
55,1.74509,1.09393,0.00253555
56,1.77741,1.08214,0.00223712
57,1.80973,1.0782,0.00276653
58,1.84204,1.07465,0.00259459
59,1.87436,1.06487,0.00239888
60,1.90667,1.06083,0.00285628
61,1.93899,1.0642,0.00234653
62,1.97131,1.05887,0.00207199
63,2.00362,1.05593,0.00243576
64,2.03594,1.05596,0.0021711
65,2.06826,1.05934,0.00240565
66,2.10057,1.05459,0.00229626
67,2.13289,1.05515,0.00197731
68,2.16521,1.0522,0.00235168
69,2.19752,1.04584,0.00231338
70,2.22984,1.04436,0.00199055
71,2.26216,1.04302,0.00187853
72,2.29447,1.03946,0.00190445
73,2.32679,1.03995,0.0017242
74,2.35911,1.03668,0.00249583
75,2.39142,1.03344,0.00167761
76,2.42374,1.0331,0.00172042
77,2.45606,1.02562,0.00199133
78,2.48837,1.02517,0.00138694
79,2.52069,1.02578,0.00179163
80,2.55301,1.01931,0.00178889
81,2.58532,1.01561,0.00154966
82,2.61764,1.01357,0.00157529
83,2.64995,1.01364,0.00190878
84,2.68227,1.0119,0.00144035
85,2.71459,1.00931,0.0013965
86,2.7469,1.01035,0.00156657
87,2.77922,1.00659,0.00142861
88,2.81154,1.00389,0.00151163
89,2.84385,1.00587,0.00116225
90,2.87617,1.00351,0.00141036
91,2.90849,1.00325,0.00172417
92,2.9408,1.00167,0.00155544
93,2.97312,1.00251,0.00132732
94,3.00544,1.00322,0.00124492
95,3.03775,0.999665,0.00170528
96,3.07007,0.998783,0.00153521
97,3.10239,0.999225,0.00124478
98,3.1347,1.00056,0.00131033
99,3.16702,0.998486,0.00130715
100,3.19934,0.996222,0.00108804
101,3.23165,0.994274,0.00144021
102,3.26397,0.996633,0.00130344
103,3.29629,0.996686,0.0013804
104,3.3286,0.994393,0.00127721
105,3.36092,0.99417,0.00118404
106,3.39323,0.994475,0.00135777
107,3.42555,0.993045,0.00115148
108,3.45787,0.993802,0.00103844
109,3.49018,0.992975,0.00106623
110,3.5225,0.991365,0.00129676
111,3.55482,0.990863,0.000846245
112,3.58713,0.992642,0.00114528
113,3.61945,0.990834,0.00135457
114,3.65177,0.990522,0.000974999
115,3.68408,0.990715,0.00115799
116,3.7164,0.991255,0.00120457
117,3.74872,0.990141,0.00125904
118,3.78103,0.989684,0.00093386
119,3.81335,0.990492,0.00100903
120,3.84567,0.991072,0.00096916
121,3.87798,0.98914,0.00114573
122,3.9103,0.991966,0.00118898
123,3.94262,0.990426,0.00112848
124,3.97493,0.98919,0.000957672
125,4.00725,0.989231,0.00101844
126,4.03957,0.98969,0.00101458
127,4.07188,0.987093,0.000963418
128,4.1042,0.989113,0.00106058
129,4.13651,0.987258,0.00134206
130,4.16883,0.990621,0.00107479
131,4.20115,0.987002,0.000869907
132,4.23346,0.989629,0.000968981
133,4.26578,0.987714,0.000972774
134,4.2981,0.988274,0.000893017
135,4.33041,0.988937,0.000917134
136,4.36273,0.987546,0.000888499
137,4.39505,0.988363,0.000940176
138,4.42736,0.986822,0.00104474
139,4.45968,0.988498,0.000973438
140,4.492,0.988179,0.000787891
141,4.52431,0.986405,0.000767274
142,4.55663,0.98547,0.000843694
143,4.58895,0.987252,0.000852506
144,4.62126,0.985272,0.000855873
145,4.65358,0.987291,0.000924328
146,4.6859,0.987734,0.00102407
147,4.71821,0.986099,0.000911406
148,4.75053,0.988112,0.000948841
149,4.78285,0.987008,0.000846292
150,4.81516,0.985975,0.000763993
151,4.84748,0.987378,0.000853981
152,4.87979,0.986028,0.000731889
153,4.91211,0.986028,0.000631429
154,4.94443,0.987482,0.000810821
155,4.97674,0.987063,0.000834786
156,5.00906,0.986406,0.000856342
157,5.04138,0.986841,0.000979973
158,5.07369,0.986179,0.000633752
159,5.10601,0.985935,0.000614342
160,5.13833,0.986419,0.000668789
161,5.17064,0.987041,0.000703785
162,5.20296,0.986948,0.000816934
163,5.23528,0.986862,0.000707615
164,5.26759,0.985165,0.000839888
165,5.29991,0.986273,0.000804261
166,5.33223,0.985793,0.000707049
167,5.36454,0.986412,0.000819428
