BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-0.418622,-0.418622,0
2,-0.412069,-0.415346,0.00231684
3,-0.412037,-0.414243,0.0017879
4,-0.414621,-0.414338,0.00134342
5,-0.415433,-0.414557,0.00109245
6,-0.415044,-0.414638,0.000913388
7,-0.414113,-0.414563,0.000785974
8,-0.414387,-0.414541,0.000688035
9,-0.41424,-0.414507,0.000612396
10,-0.416391,-0.414696,0.000579396
11,-0.41859,-0.41505,0.000625616
12,-0.416843,-0.415199,0.000591055
13,-0.410946,-0.414872,0.000629666
14,-0.408939,-0.414448,0.000713171
15,-0.415276,-0.414504,0.00066776
16,-0.418528,-0.414755,0.000671738
17,-0.413419,-0.414677,0.000636803
18,-0.418716,-0.414901,0.000639747
19,-0.416444,-0.414982,0.000611209
20,-0.41383,-0.414925,0.000583357
21,-0.423268,-0.415322,0.000677498
22,-0.415693,-0.415339,0.000646913
23,-0.411948,-0.415191,0.000635363
24,-0.413069,-0.415103,0.000615012
25,-0.409996,-0.414899,0.000623408
26,-0.414407,-0.41488,0.000599718
27,-0.41256,-0.414794,0.000583629
28,-0.417696,-0.414897,0.000571915
29,-0.411227,-0.414771,0.000566024
30,-0.407871,-0.414541,0.000592042
31,-0.411788,-0.414452,0.000579566
32,-0.414654,-0.414458,0.000561489
33,-0.412464,-0.414398,0.000547717
34,-0.415531,-0.414431,0.000532621
35,-0.412067,-0.414364,0.000521671
36,-0.418994,-0.414492,0.000522794
37,-0.408178,-0.414322,0.000535794
38,-0.414991,-0.414339,0.000521983
39,-0.412394,-0.414289,0.000510976
40,-0.409655,-0.414174,0.000511167
41,-0.419883,-0.414313,0.000517321
42,-0.419984,-0.414448,0.000522327
43,-0.408226,-0.414303,0.000529839
44,-0.416163,-0.414345,0.000519482
45,-0.408753,-0.414221,0.000522589
46,-0.415299,-0.414245,0.000511754
47,-0.41421,-0.414244,0.000500866
48,-0.418697,-0.414337,0.000498951
49,-0.409634,-0.414241,0.000497911
50,-0.419891,-0.414354,0.000500615
