BLOCK,ACTUAL_P,P_AVE,ERROR
1,5.319680e-02,5.319680e-02,0.000000e+00
2,5.319572e-02,5.319626e-02,3.831490e-07
3,5.320133e-02,5.319795e-02,1.402731e-06
4,5.319924e-02,5.319827e-02,1.088481e-06
5,5.320318e-02,5.319925e-02,1.236106e-06
6,5.320109e-02,5.319956e-02,1.067343e-06
7,5.320073e-02,5.319973e-02,9.278869e-07
8,5.320074e-02,5.319985e-02,8.204634e-07
9,5.320148e-02,5.320003e-02,7.490138e-07
10,5.319542e-02,5.319957e-02,8.037315e-07
11,5.319949e-02,5.319956e-02,7.306992e-07
12,5.319816e-02,5.319945e-02,6.790598e-07
13,5.320293e-02,5.319972e-02,6.775192e-07
14,5.320136e-02,5.319983e-02,6.391974e-07
15,5.319641e-02,5.319960e-02,6.359846e-07
16,5.320104e-02,5.319969e-02,6.025522e-07
17,5.319821e-02,5.319961e-02,5.733921e-07
18,5.320061e-02,5.319966e-02,5.442613e-07
19,5.319955e-02,5.319966e-02,5.156473e-07
20,5.319954e-02,5.319965e-02,4.898988e-07
21,5.319659e-02,5.319951e-02,4.877573e-07
22,5.320202e-02,5.319962e-02,4.787738e-07
23,5.319487e-02,5.319941e-02,5.004817e-07
24,5.320132e-02,5.319949e-02,4.858837e-07
25,5.320025e-02,5.319952e-02,4.673853e-07
26,5.319893e-02,5.319950e-02,4.499575e-07
27,5.319656e-02,5.319939e-02,4.463109e-07
28,5.320127e-02,5.319946e-02,4.353658e-07
29,5.320085e-02,5.319951e-02,4.229824e-07
30,5.320491e-02,5.319969e-02,4.455277e-07
31,5.319773e-02,5.319962e-02,4.356049e-07
32,5.320008e-02,5.319964e-02,4.222219e-07
33,5.319923e-02,5.319962e-02,4.096061e-07
34,5.319845e-02,5.319959e-02,3.990111e-07
35,5.319664e-02,5.319951e-02,3.964102e-07
36,5.319464e-02,5.319937e-02,4.077606e-07
37,5.319982e-02,5.319938e-02,3.969232e-07
38,5.319824e-02,5.319935e-02,3.876094e-07
39,5.320431e-02,5.319948e-02,3.979965e-07
40,5.320020e-02,5.319950e-02,3.884538e-07
41,5.319770e-02,5.319945e-02,3.814478e-07
42,5.319696e-02,5.319940e-02,3.769558e-07
43,5.320223e-02,5.319946e-02,3.739270e-07
44,5.320087e-02,5.319949e-02,3.667923e-07
45,5.319832e-02,5.319947e-02,3.595728e-07
46,5.320066e-02,5.319949e-02,3.526959e-07
47,5.319708e-02,5.319944e-02,3.488981e-07
48,5.319334e-02,5.319931e-02,3.640249e-07
49,5.320385e-02,5.319941e-02,3.681670e-07
50,5.319684e-02,5.319936e-02,3.643685e-07
