BLOCK,ACTUAL_TE,TE_AVE,ERROR
1,1.38018,1.38018,0
2,1.38674,1.38346,0.00231943
3,1.38257,1.38316,0.00156521
4,1.37836,1.38196,0.00156797
5,1.38302,1.38217,0.00126852
6,1.39024,1.38352,0.00161969
7,1.38718,1.38404,0.00147046
8,1.3893,1.3847,0.00142594
9,1.38807,1.38507,0.00131586
10,1.38419,1.38498,0.00118726
11,1.38597,1.38507,0.00108269
12,1.38126,1.38476,0.00103805
13,1.38644,1.38489,0.000966216
14,1.38785,1.3851,0.000920105
15,1.38551,1.38512,0.000859174
16,1.38232,1.38495,0.000823115
17,1.39096,1.3853,0.000847326
18,1.38446,1.38526,0.000801546
19,1.38643,1.38532,0.000761728
20,1.38691,1.3854,0.000727773
21,1.38394,1.38533,0.000696431
22,1.38122,1.38514,0.000689383
23,1.38154,1.38498,0.000676952
24,1.3867,1.38506,0.000652496
25,1.38444,1.38503,0.000626863
26,1.38393,1.38499,0.000604176
27,1.38185,1.38487,0.00059289
28,1.3862,1.38492,0.000573605
29,1.38449,1.38491,0.000554019
30,1.39112,1.38511,0.000572925
31,1.38634,1.38515,0.000555802
32,1.38471,1.38514,0.000538605
33,1.38493,1.38513,0.000522321
34,1.38581,1.38515,0.000507345
35,1.38743,1.38522,0.000497013
36,1.38378,1.38518,0.00048481
37,1.3866,1.38522,0.000473236
38,1.38491,1.38521,0.00046085
39,1.39038,1.38534,0.000467706
40,1.38377,1.3853,0.00045766
41,1.38963,1.38541,0.000458537
42,1.38781,1.38546,0.000451185
43,1.38239,1.38539,0.000446305
44,1.39005,1.3855,0.000448556
45,1.38538,1.3855,0.000438596
46,1.38546,1.38549,0.000429062
47,1.38975,1.38559,0.000429386
48,1.38275,1.38553,0.00042447
49,1.38454,1.38551,0.000416286
50,1.38525,1.3855,0.000407992
