N_BLOCK,ACCEPTANCE
1,0.635241
2,0.63709
3,0.636662
4,0.636906
5,0.63703
6,0.637709
7,0.638185
8,0.638453
9,0.638853
10,0.638984
11,0.638954
12,0.638824
13,0.638917
14,0.639015
15,0.638921
16,0.638888
17,0.639151
18,0.63924
19,0.639332
20,0.639361
21,0.63933
22,0.639256
23,0.639238
24,0.639155
25,0.639141
26,0.639049
27,0.638988
28,0.639055
29,0.639102
30,0.639269
31,0.639285
32,0.639289
33,0.639271
34,0.639227
35,0.639226
36,0.639153
37,0.639124
38,0.63917
39,0.639257
40,0.639245
41,0.639276
42,0.639275
43,0.63926
44,0.639283
45,0.639315
46,0.63931
47,0.639367
48,0.639336
49,0.639331
50,0.639352
1,0.643139
2,0.641718
3,0.640718
4,0.640016
5,0.640012
6,0.640211
7,0.639891
8,0.640072
9,0.640083
10,0.640071
11,0.640065
12,0.639862
13,0.639828
14,0.639807
15,0.639562
16,0.639467
17,0.639541
18,0.639643
19,0.639512
20,0.639573
21,0.63957
22,0.639611
23,0.639607
24,0.639554
25,0.639515
26,0.639494
27,0.639501
28,0.639445
29,0.639442
30,0.639498
31,0.639489
32,0.63941
33,0.639386
34,0.639499
35,0.639435
36,0.639431
37,0.639364
38,0.639407
39,0.639416
40,0.639436
41,0.639464
42,0.639458
43,0.639525
44,0.639434
45,0.639363
46,0.639399
47,0.639469
48,0.639474
49,0.639538
50,0.63952
