BLOCK,GOFR_AVE,ERROR
1,0.91583,0.0311442
2,0.918832,0.0315942
3,0.916382,0.0313884
4,0.917297,0.0313187
5,0.9207,0.0317971
6,0.91747,0.0313683
7,0.92333,0.0315671
8,0.91891,0.0315692
9,0.912224,0.0309318
10,0.917215,0.0315663
11,0.917414,0.0314673
12,0.916652,0.0311795
13,0.917233,0.0314492
14,0.914709,0.0311889
15,0.917696,0.0313044
16,0.918093,0.0314187
17,0.913279,0.0311756
18,0.918014,0.0315682
19,0.915813,0.0314143
20,0.912057,0.0310527
21,0.912788,0.031076
22,0.914221,0.0309923
23,0.912152,0.0309689
24,0.911275,0.0309442
25,0.915532,0.0311418
26,0.921075,0.0316858
27,0.919535,0.0314467
28,0.91748,0.0314417
29,0.916794,0.0313095
30,0.919299,0.0315069
31,0.915292,0.0311619
32,0.915248,0.0312956
33,0.919772,0.0314839
34,0.912598,0.0310286
35,0.91426,0.0312141
36,0.916601,0.0314245
37,0.921793,0.0318128
38,0.921136,0.0317039
39,0.912811,0.0311329
40,0.917903,0.0314966
41,0.915523,0.0312769
42,0.917904,0.0311454
43,0.915023,0.0314259
44,0.919131,0.0317494
45,0.916848,0.0314975
46,0.919965,0.0316985
47,0.914025,0.0311531
48,0.92102,0.0315744
49,0.915583,0.0313522
50,0.916944,0.0312943
