STEP,DISTANCE,AVE_GOFR,ERROR
1,0,0,0
2,0.0323165,0,0
3,0.064633,0,0
4,0.0969496,0,0
5,0.129266,0,0
6,0.161583,0,0
7,0.193899,0,0
8,0.226216,0,0
9,0.258532,0,0
10,0.290849,0,0
11,0.323165,0,0
12,0.355482,0,0
13,0.387798,0,0
14,0.420115,0,0
15,0.452431,0,0
16,0.484748,0,0
17,0.517064,0,0
18,0.549381,0,0
19,0.581697,0,0
20,0.614014,0,0
21,0.64633,0,0
22,0.678647,0,0
23,0.710963,0,0
24,0.74328,0,0
25,0.775596,0,0
26,0.807913,0,0
27,0.84023,2.48679e-05,1.7229e-05
28,0.872546,0.00158183,0.000188178
29,0.904863,0.0391524,0.000835946
30,0.937179,0.252501,0.00184668
31,0.969496,0.741532,0.00387741
32,1.00181,1.36205,0.00547597
33,1.03413,1.89406,0.00638336
34,1.06645,2.188,0.00822197
35,1.09876,2.27744,0.00715614
36,1.13108,2.2526,0.00716369
37,1.16339,2.15032,0.00660103
38,1.19571,2.01739,0.00630838
39,1.22803,1.89048,0.0063202
40,1.26034,1.7708,0.00461946
41,1.29266,1.65852,0.00566989
42,1.32498,1.57416,0.00448536
43,1.35729,1.484,0.00413102
44,1.38961,1.42507,0.00332948
45,1.42193,1.36453,0.00370622
46,1.45424,1.31511,0.00366076
47,1.48656,1.2665,0.00293548
48,1.51888,1.2394,0.00297732
49,1.55119,1.20421,0.00345657
50,1.58351,1.1741,0.00304027
51,1.61583,1.15352,0.00271626
52,1.64814,1.13268,0.00338686
53,1.68046,1.11679,0.00324192
54,1.71278,1.10777,0.00255651
55,1.74509,1.09079,0.00297068
56,1.77741,1.08534,0.00299426
57,1.80973,1.07807,0.00264374
58,1.84204,1.06876,0.00220548
59,1.87436,1.0643,0.00211838
60,1.90667,1.06352,0.00202928
61,1.93899,1.05887,0.00228217
62,1.97131,1.05768,0.00218048
63,2.00362,1.05575,0.00285721
64,2.03594,1.05504,0.00235588
65,2.06826,1.05457,0.00235637
66,2.10057,1.05264,0.00252586
67,2.13289,1.05291,0.00206715
68,2.16521,1.05051,0.00180693
69,2.19752,1.04639,0.00220115
70,2.22984,1.0493,0.00200916
71,2.26216,1.04263,0.00177271
72,2.29447,1.04204,0.00218841
73,2.32679,1.0388,0.00193582
74,2.35911,1.03391,0.00193257
75,2.39142,1.03304,0.00177736
76,2.42374,1.03035,0.00177674
77,2.45606,1.02466,0.00172684
78,2.48837,1.02626,0.00188383
79,2.52069,1.02243,0.00165016
80,2.55301,1.02018,0.00177238
81,2.58532,1.01698,0.00183084
82,2.61764,1.01395,0.00148768
83,2.64995,1.01456,0.00141891
84,2.68227,1.00858,0.00178152
85,2.71459,1.01169,0.00146221
86,2.7469,1.00782,0.00128323
87,2.77922,1.00879,0.00126893
88,2.81154,1.00545,0.00166523
89,2.84385,1.00489,0.00134054
90,2.87617,1.00291,0.00119384
91,2.90849,1.00394,0.00162222
92,2.9408,1.00414,0.00136212
93,2.97312,1.00118,0.00149211
94,3.00544,0.99776,0.00152836
95,3.03775,1.00126,0.00127229
96,3.07007,0.999697,0.00165547
97,3.10239,1,0.00119211
98,3.1347,0.997533,0.00136728
99,3.16702,0.99709,0.00116883
100,3.19934,0.99423,0.00137996
101,3.23165,0.996278,0.0014245
102,3.26397,0.995796,0.00111179
103,3.29629,0.995169,0.00134488
104,3.3286,0.995673,0.00103686
105,3.36092,0.997266,0.00117875
106,3.39323,0.995872,0.00123775
107,3.42555,0.994974,0.00125491
108,3.45787,0.993975,0.0013523
109,3.49018,0.992403,0.00129906
110,3.5225,0.99435,0.00132529
111,3.55482,0.994351,0.00116396
112,3.58713,0.992345,0.00152063
113,3.61945,0.990386,0.00130524
114,3.65177,0.990853,0.00139975
115,3.68408,0.991982,0.00117697
116,3.7164,0.9899,0.00118872
117,3.74872,0.989671,0.00108499
118,3.78103,0.989882,0.00133144
119,3.81335,0.990404,0.00117112
120,3.84567,0.990936,0.00123903
121,3.87798,0.989996,0.00122646
122,3.9103,0.991218,0.00116908
123,3.94262,0.989131,0.00101899
124,3.97493,0.99047,0.00124521
125,4.00725,0.989478,0.00110382
126,4.03957,0.98954,0.00119467
127,4.07188,0.988814,0.001062
128,4.1042,0.989494,0.000962631
129,4.13651,0.988343,0.00104046
130,4.16883,0.98873,0.000978934
131,4.20115,0.988593,0.000917713
132,4.23346,0.987767,0.00100871
133,4.26578,0.989638,0.000984719
134,4.2981,0.989048,0.000995999
135,4.33041,0.98848,0.00118254
136,4.36273,0.988422,0.000980953
137,4.39505,0.988202,0.000866619
138,4.42736,0.988068,0.000995499
139,4.45968,0.987229,0.000987162
140,4.492,0.989588,0.000958795
141,4.52431,0.988608,0.000843716
142,4.55663,0.986977,0.000852902
143,4.58895,0.986166,0.000947535
144,4.62126,0.988441,0.000920425
145,4.65358,0.987332,0.000886128
146,4.6859,0.986635,0.000825399
147,4.71821,0.986285,0.00102615
148,4.75053,0.988594,0.000953643
149,4.78285,0.986643,0.000844549
150,4.81516,0.988397,0.000872742
151,4.84748,0.987573,0.000742544
152,4.87979,0.987595,0.000815573
153,4.91211,0.98619,0.000875807
154,4.94443,0.987581,0.000663402
155,4.97674,0.986161,0.000864449
156,5.00906,0.98604,0.00075115
157,5.04138,0.987333,0.000810803
158,5.07369,0.986493,0.000868817
159,5.10601,0.985644,0.000872161
160,5.13833,0.985542,0.000864668
161,5.17064,0.986267,0.000704677
162,5.20296,0.985549,0.000682892
163,5.23528,0.986094,0.000757976
164,5.26759,0.98667,0.000881745
165,5.29991,0.985529,0.000754059
166,5.33223,0.987228,0.000599808
167,5.36454,0.986573,0.000876658
