BLOCK,ACTUAL_PE,PE_AVE,ERROR
1,-4.118687e-01,-4.118687e-01,0.000000e+00
2,-4.180184e-01,-4.149435e-01,2.174256e-03
3,-4.148550e-01,-4.149140e-01,1.449704e-03
4,-4.145413e-01,-4.148208e-01,1.090268e-03
5,-4.195518e-01,-4.157670e-01,1.215305e-03
6,-4.146395e-01,-4.155791e-01,1.027181e-03
7,-4.173617e-01,-4.158338e-01,9.114621e-04
8,-4.183310e-01,-4.161459e-01,8.493031e-04
9,-4.090699e-01,-4.153597e-01,1.058017e-03
10,-4.174205e-01,-4.155658e-01,9.720769e-04
11,-4.169359e-01,-4.156903e-01,8.916508e-04
12,-4.124001e-01,-4.154161e-01,8.584686e-04
13,-4.160722e-01,-4.154666e-01,7.939145e-04
14,-4.119364e-01,-4.152145e-01,7.762181e-04
15,-4.145349e-01,-4.151692e-01,7.257912e-04
16,-4.156898e-01,-4.152017e-01,6.811584e-04
17,-4.118846e-01,-4.150066e-01,6.684540e-04
18,-4.172710e-01,-4.151324e-01,6.430467e-04
19,-4.146918e-01,-4.151092e-01,6.096201e-04
20,-4.103250e-01,-4.148700e-01,6.243091e-04
21,-4.100537e-01,-4.146406e-01,6.353114e-04
22,-4.097033e-01,-4.144162e-01,6.448558e-04
23,-4.090374e-01,-4.141823e-01,6.578587e-04
24,-4.089934e-01,-4.139661e-01,6.650283e-04
25,-4.111705e-01,-4.138543e-01,6.477606e-04
26,-4.190965e-01,-4.140559e-01,6.534724e-04
27,-4.164666e-01,-4.141452e-01,6.353400e-04
28,-4.158235e-01,-4.142052e-01,6.154702e-04
29,-4.144563e-01,-4.142138e-01,5.943080e-04
30,-4.171581e-01,-4.143120e-01,5.825448e-04
31,-4.116997e-01,-4.142277e-01,5.698150e-04
32,-4.139158e-01,-4.142179e-01,5.520916e-04
33,-4.162316e-01,-4.142790e-01,5.387230e-04
34,-4.097615e-01,-4.141461e-01,5.390137e-04
35,-4.126875e-01,-4.141044e-01,5.252219e-04
36,-4.157419e-01,-4.141499e-01,5.125983e-04
37,-4.210594e-01,-4.143367e-01,5.316729e-04
38,-4.200510e-01,-4.144870e-01,5.385280e-04
39,-4.113861e-01,-4.144075e-01,5.305567e-04
40,-4.179054e-01,-4.144950e-01,5.244499e-04
41,-4.129234e-01,-4.144566e-01,5.130573e-04
42,-4.113663e-01,-4.143831e-01,5.060902e-04
43,-4.151852e-01,-4.144017e-01,4.946644e-04
44,-4.202878e-01,-4.145355e-01,5.011844e-04
45,-4.166599e-01,-4.145827e-01,4.922654e-04
46,-4.193034e-01,-4.146853e-01,4.921449e-04
47,-4.119324e-01,-4.146267e-01,4.851466e-04
48,-4.183858e-01,-4.147051e-01,4.813187e-04
49,-4.147253e-01,-4.147055e-01,4.714961e-04
50,-4.137970e-01,-4.146873e-01,4.624161e-04
