BLOCK,ACTUAL_P,P_AVE,ERROR
1,0.0532,0.0532,0
2,0.0531969,0.0531984,1.08766e-06
3,0.0532008,0.0531992,9.72553e-07
4,0.0532006,0.0531996,7.88979e-07
5,0.0531995,0.0531996,6.31465e-07
6,0.0531994,0.0531995,5.26859e-07
7,0.0531993,0.0531995,4.52991e-07
8,0.053197,0.0531992,4.90881e-07
9,0.0532034,0.0531997,6.25118e-07
10,0.0532013,0.0531998,5.85175e-07
11,0.0532018,0.0532,5.58693e-07
12,0.053197,0.0531998,5.64788e-07
13,0.0531996,0.0531997,5.21543e-07
14,0.053201,0.0531998,4.91636e-07
15,0.0532019,0.0532,4.7708e-07
16,0.0531977,0.0531998,4.67757e-07
17,0.0531995,0.0531998,4.40601e-07
18,0.0532006,0.0531998,4.18177e-07
19,0.0531974,0.0531997,4.15708e-07
20,0.0532034,0.0531999,4.34579e-07
21,0.0531986,0.0531998,4.17946e-07
22,0.0531999,0.0531998,3.98974e-07
23,0.0531993,0.0531998,3.82394e-07
24,0.0531962,0.0531997,3.94918e-07
25,0.0531999,0.0531997,3.79202e-07
26,0.053202,0.0531998,3.74773e-07
27,0.0532023,0.0531999,3.72615e-07
28,0.0532004,0.0531999,3.59724e-07
29,0.0531999,0.0531999,3.4732e-07
30,0.0532009,0.0531999,3.37341e-07
31,0.0531999,0.0531999,3.26459e-07
32,0.0531993,0.0531999,3.16827e-07
33,0.0531978,0.0531998,3.1374e-07
34,0.0532041,0.0532,3.28284e-07
35,0.0532021,0.0532,3.24681e-07
36,0.0532004,0.0532,3.15846e-07
37,0.0531962,0.0531999,3.24063e-07
38,0.053203,0.0532,3.25804e-07
39,0.0532005,0.0532,3.17706e-07
40,0.0532009,0.0532,3.10618e-07
41,0.0531997,0.0532,3.03174e-07
42,0.0532015,0.0532001,2.98073e-07
43,0.0532006,0.0532001,2.91371e-07
44,0.0531983,0.0532,2.87466e-07
45,0.0531972,0.0532,2.8801e-07
46,0.0532002,0.0532,2.81777e-07
47,0.0532012,0.0532,2.77025e-07
48,0.0532003,0.0532,2.71336e-07
49,0.053197,0.0531999,2.72544e-07
50,0.0531999,0.0531999,2.67098e-07
